,ID,shortcode,text,hashtags,comments,likes
1,,,CONGRATULATIONS KENNETH! Our own @kennethmoton is finally moving on up officially becoming World News Now’s co-anchor! #wnnfans #congratskenneth,wnnfans congratskenneth,"|Congrats bro👏|🙌🏼Congratulations! You two are the best @WNN anchors ✌🏼|Congratulations|Whahoo! I watch y'all every morning at 3am before work...from the awesome state of Montana 👊.|Congratulations Kenneth 💙💙 continued blessings 🙏🏿🙏🏿|❤️❤️❤️❤️❤️|Congratulations 🎈|Congratulations😊💕💕💖💖|Huge congratulations 🥂😊|Congratulations!!|Congratulations @kennethmoton 🎉🎉🎉|Good job ABC execs. A better choice you could not have made. Kenneth simply radiates energy & joy. Definitely a wonder team you have anchoring the best news show on television. ❤️💙❤️💙|💕|Congratulations Kenneth! 🍀🍀🍀|Love you 2 that you both for a great sense of Humor ❤️|Congrats🎉|Congratulations!!|👏👏👏 Congratulations!|I’m gonna miss him in the morn😫BIG CONGRATS!🎉|Congratulations Kenneth!! I love watching you and Janai!|Congratulations 👍|😊👍|Congratulations 🎉|Awesome Congratulations|Congratulations 🎉 🎉🎉🎉🎉|Congrats|It's official official‼️ I go to sleep and then wake up to watch these two👑🙌🏾|Congratulations 🎉🍾|Kenneth is so cute and lovable.|Congratulations Kenneth!|Awesome!!|Congratulations❤️💕💞|🎉💙🎉💙🎉💙🎉|Well deserved!! Love watching you guys.|Congratulations! ...👍thought he was already?!🤣|❤️|CONGRATULATIONS!!! I go to work 530 n the morning so I watch y'all at 430 n u two are great. Luv listening to u two.❤|Excellent News - Watched it live this morning!|WOW. Congratulations|We like your positivity k-mo!  Keep up the excellent work! Congratulations'|👏❤️|That's great we watch every day!  the two if you make an amazing team!|Congratulations!!!|Could you please post the Skinny on IG because here in Chicago they cutoff the first half hour of the show. Please I miss it so much.|Congratulations! 🤙🏾🤙🏾🤙🏾|😎❤️🤗|👏👏👏|Congrats|👍🙌Happy for you and sad because you and Janai have a great chemistry. I recognize that this show is a training ground for the network anchors. I try not to get too attached but I have enjoyed your show together ❤!|Congratulations 👏👏|🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽|Congratulations 🙌|Congratulations|👍🏾 congrats 🎉🍾|Welcome Mr. Official  official|Congratulations 🙏🏽💯♥️♥️|Congratulations!|Congratulations Ken|Congrats. Well deserved. #insomniacs|Congratulations Kenneth!! Love watching you!|Love the chemistry between these two. Congratulations @kennethmoton|Way to go Kenneth!  Well deserved!  Congratulations! 🥳|BEST Wishes 🎉 🎈🎉🎈|Congratulations 💯😍|Love these two 👨🏾‍💼👩🏽‍💼that’s why I follow here and on tv 📺!!!|That’s great! You guys have such an amazing energy. Congratulations @kennethmoton 👏🏻👏🏻|Congratulations|Congratulations|Congrats🤗|Love y'all together!|🙌🏾 Congratulations 🎊|What took the bosses so long???? They lose the paperwork? 😄 Congrats @kennethmoton! (I always considered you a co-anchor)|Congratulations!!! 🙏🏽❤️|Congrats!!|💞🎉 Congratulations 🎉💞|Congratulations @kennethmoton! 👏👏👏🎉🥂🎊|Congratulations 💕💕💕|I watch you guys every morning 💕💕|Well deserved!|Congratulations 👏|Congratulations!
I have been watching you since Philadelphia!  Well deserved!  You are doing a great job!|Awwww 🥰 congratulations!!|Congratulations!!!|Congratulations 👍🏾❤️💙❤️|Congratulations|Great!  Loved him in Philadelphia.|Congratulations|Congrats!!♥️♥️|👏👏👏|🎉🎉🎉|💕 koi👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼|Congrats!!! Long over due!!🎊🎉🐐|Congrats!!! Long over due!!🎊🎉🐐|Congratulations! Well Deserved!!! 🎉🎉🎉|Wtf have you been doing since Candice left! Seems you’ve had this job before|CONGRATULATIONS! I'll miss you in the morning 👏👏👏|❤️|Congratulations #funcousins!!🔥🔥🙌🏾🙌🏾|Congratulations🌹|Congratulations Kenneth!! Great anchor duo.|Congratulation|👌",917
2,,,GEARING UP FOR HALLOWEEN! @janai.norman and @KennethMoton showed off their own peculiar ways to eat their chocolate. Tell us the special ways you eat your candy! #wnnfans,wnnfans,|You guys 😍|Y'all need to tell @nickelodeon to reboot ghostwriter!|Really enjoyed watching @janai.norman eat that candy! Probably a bit too much. 😄|These two 🤦‍♂️|Lol.  I love u guys!|I eat it quickly cuz it's hot in L.A.|😂😂😂😂😂😂|You both made the AMSR segment kill!! 😂😂😂😂😂🔥🔥🔥🔥,298
3,,,A special shout-out to our incredible Graphics Department for making our set look so great! And check out @willganss’ new segment ‘Kids News Now’ on our Facebook page. Link in bio. #wnnfans #kidsnewsnow #fashionweek,wnnfans kidsnewsnow fashionweek,|Showing Love!|When will Linsey Davis get her own show?,245
4,,,Friendly bet: Congrats to @janai.norman’s #Mizzou tigers who defeated @kennethmoton’s #SouthCarolina #gamecocks over the weekend in football. Loser had to wear the other school’s shirt during #themix...Kenneth looks...pleased. 😂😂 #tightfit #goodsport #abcwnn #collegefootball,mizzou southcarolina gamecocks themix tightfit goodsport abcwnn collegefootball,|About to go live and share our story about growing up in foster care and how we were treated and I also will be talking about some of the things we experienced in life🤧 everyone tune in please|Love you guys!!!!|That’s his just wait my turn is coming. @janai.norman is going to be toast face. 😂|MIZ...|Hello there my deer...so what's going on in world of thrones...i hope alot better than 5yrs ago...if not i think that trump..may be able two in next 4.your thoughts on that my deer..|Look like Kenneth is listening to the Big DM 😂😂😂|MIZ...|😂😂😂😂👍🏻|👍🏾😂😂love it,323
5,,,As @abcwnn says hello to #fall...here are some facts about the season...complete with some autumn fashion brought to you by @kennethmoton! 😳😂,fall,|😂😂😂😂|🍃🍂🍂🌼😂😂👋🏽|HILARIOUS!!! Love you guys... you get me thru my sleepless nights!!!|You two are the best ever😊|😂|Hello Fall👍|So hilarious....🤣🤣I LOVE THEM‼️|Lol...funny.. Big fan watch you guys every morning before I go to work|I love fall🍁🍂🍁🍂🍁🍂🍁,255
6,,,"Well @janai.norman and @kennethmoton are excited about #fall! 😂
.
.
.
#backtogether #abcwnn #insomniacs",fall backtogether abcwnn insomniacs,|Ugh!|Me too it'd be nicer if it wasn't like 90 in L.A. 🍂🍃🍁🍂🍃🍁🍂🍃🍁🍂🍃🍁🍂🍃🍁🍂🍃🍁|I get to see them at 230am pacific time.. like waking up with them!! Well television that is lol 😝 happy Monday!!|About to go live and share our story about growing up in foster care and how we were treated and I also will be talking about some of the things we experienced in life🤧 everyone tune in please|Love My Alarm Clock!!! 🤣❤️,224
7,,,@KennethMoton doing it big on this National Pepperoni Pizza Day! A big thanks to ours friends at @pizzabarnyonkers for these massive slices. #wnnfans #nationalpepperonipizzaday,wnnfans nationalpepperonipizzaday,|🤦🏾‍♂️😂😋🤤|@isabellagracecaruso us|Eat the whole thing Kenneth|You don’t have to work tomorrow so.......|Wow 😄|😁😄😅|wow so big|The man loves his slice!! 😍|Honestly this is a dream scenario|Disgusting😮|😂😂😂🤣🤣|I’d be constipated for a week eating that size 🍕|I love watching him. ❤️ He's so funny in the early morning. 👍😊|omg 😱😱|#KennethMoton well done a great pic wondering did you eat the whole slice of pizza 🍕🍕🍕👍👍|Um that looks amazing|Um that looks amazing|Um that looks amazing|😘😘😘🙌🙌|He was great when he was in Philadelphia.  Now he seems silly.🤦🏼‍♀️|😮|Save some for later 😋|@tiffaneereyes the coincidences move onward 🍕|😂 You’re funny 👏🏽👏🏽👏🏽♥️,600
8,,,It's #NationalCheesePizzaDay 🍕 and we're celebrating the only way we know how: by stuffing our faces!,nationalcheesepizzaday,|👏|Give me some!! But that’s pepperoni and cheese. Not just cheese 🍕 @janai.norman @kennethmoton|With ranch and ketchup... lol|Damn a day for everything..even though I love cheese pizza🤣|@lights_out_confuorto|You made me hungry at 3 in the morning !|Love you guys 💕|Love you guys 💕|I'm addicted to this show|Sounds like a great way to spend 3 AM! 😋,404
9,,,Here @abcwnn we’re wishing Queen @beyonce HAPPY BIRTHDAY!!!! 🐝🎊🎂🎈🎁🎉 #bday #celebration #beyonce #beyday #swipe #theskinny #abcwnn #insomniacs,bday celebration beyonce beyday swipe theskinny abcwnn insomniacs,|Why? What has @beyonce done for this nation that would warrant a national holiday? She’s never even gone overseas to support any of our troops on a USO tour. Not even during President Obama’s time in office. She’s done absolutely nothing to help our nation. Only helps herself and her career.|Happy birthday 🎁🎊🎂🎉🎈|Happy Birthday Queen 👑 🐝🎂🎉🎊💃🏻💃🏻💃🏻💃🏻,220
10,,,HAPPY NATIONAL COLLEGE COLORS DAY! Dressed head to toe in their respective alma maters’ swag our anchors @janai.norman and @kennethmoton went all out with the school spirit to mark the collegiate holiday. Check it out! #wnnfans #mizzou #usc,wnnfans mizzou usc,|Go Tigers! 🤘|@uncchapelhill 💙💙💙💙💙|😍 JANAI  you are BEAUTIFUL !!! 😍|Hey Janai  and Kenneth you two are super fun to watch every morning . Today you were talking about autographed pictures i would love to have one of each of you  or more like Kenneth photo bombing you Janai . Is it possible to beg for one ? If so I am begging lol . Ps I didn’t see Friday funnies today . Please pleazzzz . Let me know|Reppin’ @uofsc’s @uofsc_sjmc!!!!!|M I Z..|GO MULES!! #SnoutsOut #TeamUCM|Smack that girl! Traitor|♥️♥️|You guys are funny! 😂 I love watching you early in the morning. 👍😊|Three cheers for Affirmative Action!|They hate us cuz they ain't us!  Go OHIO STATE BUCKEYES!!!!|@janai.norman M I Z 🐅|Love you guys but GO BLUE|Y’all look so comfy,488
