,ID,shortcode,text,hashtags,comments,likes
1,,,"AFP Photo 📷 @anne.christine.poujoulat - Australia's flanker Jack Dempsey (C) jumps for the ball  during the Japan 2019 Rugby World Cup Pool D match between Australia and Georgia at the Shizuoka Stadium Ecopa in Shizuoka on October 11, 2019. #AFPsport #SportPhoto #SportPhotography #Sport #RWC #RWC2019 #Rugby #Rugbygram #RugbyWorldCup #InstaRugby",afpsport sportphoto sportphotography sport rwc rwc2019 rugby rugbygram rugbyworldcup instarugby,|𝐄𝐝𝐮𝐜𝐚𝐭𝐢𝐨𝐧 𝐰𝐢𝐭𝐡𝐨𝐮𝐭 𝐞𝐱𝐚𝐦 𝐚𝐭 𝐔𝐤𝐫𝐚𝐢𝐧𝐞. 𝐅𝐨𝐫 𝐦𝐨𝐫𝐞 𝐢𝐧𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐨𝐧 --> ▁ ▂ ▄ ▅ ▆ ▇ █ @egitim.ukrayna24 █ ▇ ▆ ▅ ▄ ▂ ▁|Beautiful shot and moment!!,167
2,,,"AFP Photo 📷 Thomas Kienzle- This multi-exposure picture shows USA's Simone Biles performing on the beam during the women's team final at the FIG Artistic Gymnastics World Championships at the Hanns-Martin-Schleyer-Halle in Stuttgart, southern Germany, on October 8, 2019.  #AFPsport #SportPhoto #SportPhotography #Sport #Gymnastics #Gymnast #SimoneBiles",afpsport sportphoto sportphotography sport gymnastics gymnast simonebiles,|Beautiful! 👏🏽 👏🏽 👏🏽|📷👏|👏👏👏👍,780
3,,,"AFP Photo 📷 @photogator96 - A surfer flips into the water as he crashes over the top of a wave in the ocean at Omaezaki in October, 2019. Japan is hosting the 2019 Rugby World Cup from September 20, to November 2, 2019. #surf #instajapan",surf instajapan,|😳😳😳😳👍|👏🏿👏🏿👏🏿,446
4,,,"AFP Photo 📷 @lionelbonaventure - USA's Simone Biles performs during the women's qualifying session at the FIG Artistic Gymnastics World Championships at the Hanns-Martin-Schleyer-Halle in Stuttgart, southern Germany, on October 5, 2019.  #AFPsport #SportPhoto #SportPhotography #Sport #Gymnastics #Gymnast #SimoneBiles",afpsport sportphoto sportphotography sport gymnastics gymnast simonebiles,|👏📷,272
5,,,"AFP Photo 📷@iandrej - Venezuela's Yulimar Rojas competes in the Women's Triple Jump final at the 2019 IAAF Athletics World Championships at the Khalifa International stadium in Doha on October 5, 2019.  #AFPsport #SportPhoto #SportPhotography #Sport #YulimarRojas #Athletics #Athlete",afpsport sportphoto sportphotography sport yulimarrojas athletics athlete,|👏📷,285
6,,,"AFP Photo 📷 Kazuhiro Nogi - Novak Djokovic powers through to Japan Open final -
.
World number one Novak Djokovic on Saturday cruised into the Japan Open final, thrashing David Goffin 6-3, 6-4.
.
In the final, Djokovic will face Australian qualifier John Millman, who squeezed past American opponent Reilly Opelka 6-3, 7-6 (7/4).
.
The Serbian star dominated his semi-final, starting strong by winning the first three games, picking up an early break while fending off fierce attempts by the Belgian to fight back.
.
 #AFPsport #SportPhoto #SportPhotography #Sport #tennis #NovakDjokovic #Djokovic #Djoko",afpsport sportphoto sportphotography sport tennis novakdjokovic djokovic djoko,|👏|😨📷👌...☺|Well spotted.👏,398
7,,,"AFP Photo 📷 @lionelbonaventure - China's Tang Xijing performs during the women's qualifying session at the FIG Artistic Gymnastics World Championships at the Hanns-Martin-Schleyer-Halle in Stuttgart, southern Germany, on October 4, 2019.  #AFPsport #SportPhoto #SportPhotography #Sport #Gymnastics #Gymnast",afpsport sportphoto sportphotography sport gymnastics gymnast,|👏📷|👏,278
8,,,"AFP Photo 📷 Antonin Thuillier - Italy's Daisy Osakue competes in the Women's Discus Throw heats at the 2019 IAAF Athletics World Championships at the Khalifa International stadium in Doha. October, 2019.  #AFPsport #SportPhoto #SportPhotography #Sport #NoiretBlanc #BlackandWhite #bn #bnw #Athletics #Athlete #Athletes #doha",afpsport sportphoto sportphotography sport noiretblanc blackandwhite bn bnw athletics athlete athletes doha,|✌️✌️|👍|Wow! 🔥,431
9,,,"AFP Photo 📷 @thelilyfish - Petronas Yamaha SRT's Italian rider Franco Morbidelli rides during the third practice session of Thailand's MotoGP at Buriram International Circuit in Buriram on October 5, 2019.  #AFPsport #SportPhoto #SportPhotography #Sport #moto #MotoGP",afpsport sportphoto sportphotography sport moto motogp,|Great👌|🔥🙌🏼🔥,406
10,,,"AFP Photo 📷 @lionelbonaventure - 2018 world champion at the uneven bars, Belgian Nina Derwael, performs during the women's qualifying session of the FIG Artistic Gymnastics World Championships at the Hanns-Martin-Schleyer-Halle in Stuttgart, southern Germany, on October 4, 2019.  #AFPsport #SportPhoto #SportPhotography #Sport #Gymnastics #Gymnast #ninaderwael",afpsport sportphoto sportphotography sport gymnastics gymnast ninaderwael,|👏📷,316
