,ID,shortcode,text,hashtags,comments,likes
1,,,"❗ You all have cracked the code! You found Elric to unlock the website! ✅ http://msft.social/MhiQDx 
Next step, Find ""Baabaarossa""! Take pictures in the real world with #HaveYouSeenElric and win some #AoE2DE codes! FULL DETAILS on the website linked above! Good luck, everyone!",haveyouseenelric aoe2de,"|By the way, did you know? A lot of the big conversations about #HaveYouSeenElric has been discussed on our discord! Please join us for the continued search and puzzle fun discussion on http://discord.gg/ageofempires !|😍",126
2,,,#HaveYouSeenElric?,haveyouseenelric,"|I love this|This is the guy who invented msn gaming zone, right? ;)|Roggan?|I always thought it sounded more like ul-rig or something.|So is there a new age of empires coming?|@gyarasq 😂|hello good afternoon, it turns out that I bought the game by steam, register on the page, but still do not give me the beta, what step should I do to give me a beta ????|Hey age of empires team! Can you please fix aoe3 lore in DE and replace Ivan  by imperial era leader, since Ivan ruled Russia a hundred years before foundation of St.Petersburg, which is also in game|Wolololo",364
3,,,"Today, we want to celebrate YOU! Have you created Age of Empires art or music? Maybe you have pictures of you playing the game with friends? Cosplay? Vast collection of CDs, t-shirts, mugs and more? We want to see it and share it! ❤️ Thank you for being part of our #AOECommunity!",aoecommunity,|I trucchi quelli belli hahahaah @gabrygonzales|CobraCar! Saudades|Roggan?|COINAGE!!!|I love the monkey head|How about the most Age of Empires memes around?,430
4,,,"Hey Instagram! Did you hear? In celebration of ECL & PAX, we're ⚔️ CHALLENGING YOU ⚔️ to an RT #GIVEAWAY on Twitter! Starting at 5 codes, RT and Like our post on http://msft.social/f1iF1m to UNLOCK UP TO 40 CODES TOTAL before AUG.30th @ 8PM PT! Winners choice of AoE:DE or AoEII:DE pre-purchase for Steam or Windows! 
Check this thread for details: http://msft.social/oPuStS",giveaway,"|No. We don't want to do it on twitter. For that we use instagram.|Do the giveaway here 👎🏻|🔥👌|First. Make it compatible with windows 8.1, 8 and 7. Then ask whatever you want|Why can’t we love both for what they are??? Each bring their own set of love and memories 😍😍❤️❤️👍👍",336
5,,,"⭐AoE2:HD Steam Owners, did you get your 25% Discount for #AoE2DE pre-order yet?⭐ ▶️ Head over to the AOE2:DE pre-order page: https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/
▶️ Scroll down to the AoE2:HD&DE Bundle
▶️ ""Complete your collection"" to save 25% off the 1 item you don't have!
▶️ Enjoy!",aoe2de,"|We want age 4 stop with fucking age 2|I didn't get my 25% discount because I'm a beta insider and steam thinks that I already own the game 😒|Got my copy already!💪😀|For AOE DE videos: https://www.youtube.com/GamingHouseYT|I did, looking forward to it|Nice|Is there a way to get aoe2de on windows store for 25% less if you have HD on steam?|@gabriellecassard 😍😍😍|I payed $15 for the bundle cause it said I own AOE:DE already. Is that normal?|Hi there,; I'm having issues with the game on steam. I think it's an issue with my resolution settings. I'm trying to find a way I can contact support. Please let me know;",408
6,,,"During an interview with MAX, Aaron Greenberg slipped in some exciting news about XO19! ""Our Audience...hoped for news on #AoE4.. Can you give them hope?"" ""...Our next big beat is X019. I’d suggest that people watch that."" Watch the stream clip here! 
https://clips.twitch.tv/ResoluteWealthyWatercressEagleEye",aoe4,|👏💪|I hope this is the good one. We got clickbaited so many times by now...|Yeah already baited into Gamescon without a single new announcement on age series since 2017.|So what s the big ageofempires4 annoncement at xcom?|Gameplay,145
7,,,"If you missed the #InsideXbox Stream on Monday and the announcements we had, it is now highlighted on our youtube! Recap the launch details about #AoEDE, while also giving the date for #AoE2DE, where it will be available, and what comes with the game! https://youtu.be/Z4iWcIuVrqQ",insidexbox aoede aoe2de,"|How can I beta test? I’m an insider and have preordered it|I wish that YouTube link was clickable....|Any news on ageofempires 4?|@boris_alexandre 👀💖|I typed the link into my browser and it says that the video is unavailable. Is the 14 minute German (I think it's German, at least..) the same?|Celt Ottoman Habsburg Byzantine etc... I really hope they come with good shapes.",220
8,,,"In celebration of #AoE I & II DE news, we're running #giveaways all week! The first being held on our discord server: http://msft.social/Et9NpQ 
Stay tuned to our social channels, we will have more fun and games for you all coming soon!",aoe giveaways,|link doesn’t work 😕|🙌🏼🙌🏼|Doesn't work 😕|What about III ?,259
9,,,"We've had a lot of questions asking about #AoEDE steam release! The answer is: NOW! Steam, Windows, Xbox Game Pass, all cross-platform! 🔴 Steam: https://store.steampowered.com/app/1017900/Age_of_Empires_Definitive_Edition/
🔴 Windows Store: https://www.microsoft.com/store/productid/9njwtjsvgvlj
🔴 Xbox Game Pass: https://news.xbox.com/en-us/2019/08/19/gamescom-2019-xbox-game-pass-details/",aoede,"|Lol. No age 4 new wtf.|I will have to instal bootcamp on my mac 🖥 oh dear It’s worth it 😄👏|Age 4?|sacá el cuarto o te quemo el rancho por gil|Anything on age 4? Age 3 de? No? Alrighty then 😞|Question: if I already bought AoE Definitve Edition on the Microsoft store, do I get to install the product and play it on steam as well?|🍎？|Más humo|IF I have the game pass on xbox one, can I play this game that way?  I have played all 3 AOE games, Warchiefs and Asian Dynasties. ( ALONG TIME AGO )  Would love to play it on Xbox one if that's even possible?|I need help, I can't buy the bundle because I have the age of empires 2 beta on steam, how can I deactivate the beta?|@snickaarn",334
10,,,"🔴 HUGE #GAMESCOM ANNOUNCEMENT 🔴 
You can now:
▶️ Buy Age of Empires: Definitive Edition
▶️ Pre-order Age of Empires II: Definitive Edition ▶️ or do both! (Both is good!) All the IN-DEPTH details can be found HERE: http://msft.social/W5JvIk",gamescom,"|For Xbox one???|FUCK YOUR ANNOUNCEMENT WE WANT AOE IV|Fuck want fucking AOG 4|Purchased* I want it,  I got it. 🔥|@juliandgr|@abneresqueda|Aoe 2 is better than aoe 4 will ever be... Cant wait!!|Aoe 2 can run on a i5 laptop with intel hd 4000?|Good stuff! 🙌🏻 Is this all that was announced on stream today? I really hope AOE2:DE will give us a good multiplayer experience. Even on Voobly 4v4s lag sometimes, so I am really hoping for this to be fixed with a better hosting! ☺️🤓|THANK YOU!!!! ive been asking since  the 360 first came out|@barthomas103|Where is AoE4 though 🤔?|@cristian6793 🙌|AOE2 what day i can buy?|Purchased both instantly. Let's see them!|Is AOE 2 definitive edition any different from HD edition?|Huge 🤯|Dislike Microsoft say the same things😡😡😡|Ummmmm isn’t AOE 2 almost 16-20 years old???? Why are we going backwards? Why not change a couple sprites to AOE 4?|Where is age of mythology 2 ?|@caleb_tooley|Where's age of mythology 2 and age of empires 4?|go fuck yourself!!!|🔥|When the 2DE will be released?|@jack.vanhoorn @ericengele|omg! omg! omg! 😍😍😍|I'm curious as to why it's cheaper for me to get the Aoe2hd and definitive bundle than just definitive on its own despite owning hd and all expansions.|I need help, I can't buy the bundle because I have the age of empires 2 beta on steam, how can I deactivate the beta?|Where is my AOE2:DE beta key??",789
