,ID,shortcode,text,hashtags,comments,likes
1,,,"Young people and senior Rwandan officials have kicked-off the countdown to the 12th Commonwealth Youth Forum
.
Taking place in Kigali next June the Youth Forum will bring together 1000 youth leaders from 53 member countries to brainstorm policy solutions to global challenges such as unemployment gender inequality crime and lack of quality education
.
Proposed solutions will be presented to leaders at the 2020 Commonwealth Heads of Government Meeting (CHOGM)
.
The forum will focus on capturing the aspirations of young people and ensuring they play a key role in shaping the future of an inclusive Commonwealth
.
📷: The launch of the Commonwealth Youth Forum held in the margins of @youthconnektafrica summit Kigali
__________________________________
#commonwealth #commonwealthsecretariat #commonwealthyouth #CYF #CHOGM2020 #CHOGM #rwanda #🇷🇼 #kigali #youth #youngleaders #youngentrepreneur #development #empowerment #youthempowerment #genderequality",commonwealth commonwealthsecretariat commonwealthyouth cyf chogm2020 chogm rwanda kigali youth youngleaders youngentrepreneur development empowerment youthempowerment genderequality,|light travels at a constant speed of 1079252848.8 1.07 billion km per hour. that works out to 299792458 m/s or about 670616629 mph miles per hour to put that in perspective if you could travel at the speed of light you would be able to circumnavigate the globe approximately seven and a half times in one second. meanwhile a person flying at an average speed of about 800 km/h 500 mph would take over 50 hours to circle the planet just once. personally  I'm thinking  you utilizing the following insights to develop ways variation of ways to explore the cosmos|Make money with @paid_by_david_bitcoins,102
2,,,"Commonwealth finance ministers will meet in Washington D.C. on 17 October 2019 to discuss coordinated interventions to prevent future debt crises
.
The Commonwealth Finance Ministers Meeting (#CFMM) will be chaired by the Finance Minister of Cyprus under the theme ‘Preventing Debt Crises: The Roles of Creditors and Debtors’. It will be preceded by sessions for senior finance ministry officials and central bank governors
.
Ministers will explore policy options and strategies by which debtor countries can work with creditors to prevent the recurrence of debt crises. Debt crises as witnessed recently in Greece and Argentina can devastate economic growth increase poverty and derail global agendas such as the UN Sustainable Development Goals and Paris Agreement
.
The Secretary-General will present findings of the 2019 Commonwealth Economic Development Report which examines the debt challenges member countries had to tackle in the aftermath of the 2008 global financial crisis
.
At the meeting ministers will also consider ways in which the newly-developed Commonwealth financial technology (fin-tech) toolkit can be deployed to help countries create and share innovative technology-driven responses to emerging financial challenges
.
📸: Finance Ministers at the Commonwealth Finance Ministers Meeting in Bali Indonesia in 2018
—————————————————
#commonwealth #commonwealthsecretartiat #commonwealthsecretarygeneral #connectedcommonwealth #ourcommonwealth #finance #debt #debtcrisis #fintech #climatefinance #washingtondc #cyprus #indonesia #bali #economy #riskassessment #sustainability #economicdevelopment #innovation #technology",cfmm commonwealth commonwealthsecretartiat commonwealthsecretarygeneral connectedcommonwealth ourcommonwealth finance debt debtcrisis fintech climatefinance washingtondc cyprus indonesia bali economy riskassessment sustainability economicdevelopment innovation technology,|@commonwealth_sec Wonderful,88
3,,,"Trade ministers from across the Commonwealth made a commitment to resist all forms of protectionism and to work urgently together towards reforming the World Trade Organisation which sets the global rules for international trade
.
Following a meeting in London ministers from the 53 Commonwealth member countries declared their collective support for free trade in a transparent inclusive fair and open multilateral trading system with the WTO as its core institution
.
Ministers also endorsed an action plan designed to boost trade among their countries to at least $2 trillion by 2030 through the Commonwealth Connectivity Agenda. Intra-Commonwealth trade is projected to reach $700 billion by next year
.
📷: Trade Ministers at the Commonwealth Trade Ministers Meeting
_________________________________
#commonwealth #commonwealthsecretariat #commonwealthtrade #connectivityagenda #connectedcommonwealth #ourcommonwealth #trade #regulatory #supply #business #businesstobusiness #b2b #wto #investment #digital #infrastructure #connectivity #london #uk #unitedkingdom #🇬🇧 #chogm #chogm2018 #chogm2020 #rwanda #technology #supplychain #blockchain",commonwealth commonwealthsecretariat commonwealthtrade connectivityagenda connectedcommonwealth ourcommonwealth trade regulatory supply business businesstobusiness b2b wto investment digital infrastructure connectivity london uk unitedkingdom chogm chogm2018 chogm2020 rwanda technology supplychain blockchain,|new set of crises would emerge in the 2020s. Climate change was beginning to have a significant impact on worldwide commodities; in particular food and water supplies. In the Middle East Africa and elsewhere growing instability led to a number of resource wars. Perversely the hunt for fossil fuels continued with even the Arctic becoming a political and economic battleground as nations sought to claim the last remaining deposits.|😊🙌💪🍃🍂🍁🍀,137
4,,,"Today the Secretary-General of the Commonwealth Patricia Scotland met with the Prime Minister of The Bahamas Hubert Minnis
.
The Secretary-General and the Prime Minister discussed Hurricane Dorian the relief efforts and Commonwealth initiatives that address and tackle climate change
.
The Secretary-General also met with members of the government and parliament to discuss issues such as climate change women’s empowerment trade and youth
.
📸:
.
1/2. The Secretary-General and the Prime Minister of The Bahamas Hubert Minnis
.
3/4. The Secretary-General and the Foreign Affair’s Minister Darren Henfield
.
5/6. The Secretary-General and Mrs. Patricia Minnis
.
7/8. The Secretary-General with members of the government and parliament
———————————————
#commonwealth #commonwealthsecretariat #commonwealthsecretarygeneral #connectedcommonwealth #ourcommonwealth #bluecharter #commonwealthcfah #commonearth #connectivityagenda #commonwealthtrade #commonwealthyouth #women #youth #trade #thebahamas #bahamas #🇧🇸 #bahamasstrong #climateaction #climatecrisis #climateaction #hurricanedorian #dorian #hurricane #naturaldisaster",commonwealth commonwealthsecretariat commonwealthsecretarygeneral connectedcommonwealth ourcommonwealth bluecharter commonwealthcfah commonearth connectivityagenda commonwealthtrade commonwealthyouth women youth trade thebahamas bahamas bahamasstrong climateaction climatecrisis climateaction hurricanedorian dorian hurricane naturaldisaster,"|😊💟🍃🍂🍁🍀|I have never believe in forex trade, you @trade_with_cheryl_murray prove me wrong with is 100% trading strategies, I and my family are earning not less than $1000 weekly. Thanks you @trade_with_cheryl_murray for helping my family and I",99
5,,,"The Commonwealth Secretary-General Patricia Scotland is in the The Bahamas on a three day visit to witness the devastation caused by Hurricane Dorian and see the relief efforts that are underway
.
The Secretary-General and Foreign Affairs Minister Darren Henfield visited Abaco to meet army police and volunteers on the ground
.
The Secretary-General said : “The devastation Hurricane Dorian caused was something I have sadly seen before in Dominica and other Commonwealth countries‬ but what I saw and heard was the resilience and determination of the Bahamian people to build back better
.
📸: Secretary-General Patricia Scotland on the ground in Abaco The Bahamas —————————————————
#commonwealth #commonwealthsecretariat #commonwealthsecretarygeneral #connectedcommonwealth #ourcommonwealth #thebahamas #bahamas #🇧🇸 #abaco #hurricanedorian #dorian #hurricane #climatechange #climatecrisis #naturaldisaster #bahamasstrong #buildbackbetter #resilience #commonwealthcfah #commonearth #bluecharter #climateaction",commonwealth commonwealthsecretariat commonwealthsecretarygeneral connectedcommonwealth ourcommonwealth thebahamas bahamas abaco hurricanedorian dorian hurricane climatechange climatecrisis naturaldisaster bahamasstrong buildbackbetter resilience commonwealthcfah commonearth bluecharter climateaction,|😊💟🍀🍁🍂🍃🌺,143
6,,,"At the launch of Common Earth Commonwealth Secretary-General Patricia Scotland urged scientists environmentalists and governments to draw on the wisdom of indigenous communities in the quest for climate change solutions
.
The Secretary-General said 'The launch of the Common Earth programme today advances regenerative / restorative climate action and offers fresh hope to countries most at risk of climate change impacts'
.
Tap the link in our bio to learn more about the CommonEarth programme
.
📸: The launch of the CommonEarth programme
—————————————————
#commonwealth #commonwealthsecretariat #connectedcommonwealth #CommonEarth #ourCommonwealth  #climatecrisis #climatestrike #climatechange #climateaction #sids #lcds #smallstates #development #sustainabledevelopment #ocean #protectouroceans #saveourocean #indigenous #communities #regenerative #restorative #regenerativedevelopment",commonwealth commonwealthsecretariat connectedcommonwealth commonearth ourcommonwealth climatecrisis climatestrike climatechange climateaction sids lcds smallstates development sustainabledevelopment ocean protectouroceans saveourocean indigenous communities regenerative restorative regenerativedevelopment,|We are human in the earth.I strongly urge everyone in the world lovelifeunite and uphold spirit better world and good planet.Humble and simplenot overload.Let world beautifulharmonypeaceful|Wanna make 💰5⃣0⃣0⃣0⃣ real quick❓no catches..lmk ASAP 🇨🇦🇺🇸🇬🇧|Wanna make 💰5⃣0⃣0⃣0⃣ real quick❓no catches..lmk ASAP 🇨🇦🇺🇸🇬🇧|@commonwealthocean|@commonwealthocean,206
7,,,"Exciting news! The Commonwealth has passed 10000 followers on Instagram!
.
Thank you for helping to deliver the Commonwealth Secretariat’s work
.
Interested in the work of the Commonwealth? Make sure to follow our official social media channels to get all the latest news 🗞
.
Follow the link in our bio to find out more
_______________________________________
#Commonwealth #ConnectedCommonwealth #CommonwealthAt70 #CommonwealthSecretariat #peace #democracy #development #internationaldevelopment #equality #inclusive #diversity #sustainabledevelopment #youth #women",commonwealth connectedcommonwealth commonwealthat70 commonwealthsecretariat peace democracy development internationaldevelopment equality inclusive diversity sustainabledevelopment youth women,|😊💝✊👏🌹🍀|🌹🍀👍,56
8,,,"The Commonwealth Trade Ministers Meeting (#CTMM) is scheduled to take place in London on 10 October 2019 at Marlborough House
.
The high level event will bring together trade ministers from 53 Commonwealth countries to discuss major trade issues with a special focus on the Commonwealth Connectivity Agenda for Trade and Investment
.
This flagship initiative launched at the 2018 Commonwealth Heads of Government Meeting aims to boost intra-Commonwealth trade to $2 trillion by 2030 by strengthening five key areas of connectivity:
.
🔹Digital connectivity
.
🔹Physical connectivity
.
🔹Regulatory connectivity
.
🔹Supply side connectivity
.
🔹Business-to-business connectivity
.
Ministers will review the progress achieved to date and decide on tangible and effective actions to implement in the lead up to the next Commonwealth Heads of Government Meeting (CHOGM) in June 2020 in Rwanda
.
📸: A worker inspecting seedlings at the Kastom Garden Association - a centre specialising in sustainable crop education in the Solomon Islands
—————————————————
#commonwealth #commonwealthsecretariat #commonwealthtrade #connectivityagenda #connectedcommonwealth #ourcommonwealth #trade #investment #digital #infrastructure #regulatory #supply #business #businesstobusiness #b2b #connectivity #london #uk #unitedkingdom #chogm #chogm2018 #chogm2020 #rwanda  #technology #supplychain #blockchain",ctmm commonwealth commonwealthsecretariat commonwealthtrade connectivityagenda connectedcommonwealth ourcommonwealth trade investment digital infrastructure regulatory supply business businesstobusiness b2b connectivity london uk unitedkingdom chogm chogm2018 chogm2020 rwanda technology supplychain blockchain,|Good day.  How do we tap into the business to businesses forum. Are their any funding opportunities,88
9,,,"Women’s affairs ministers have agreed on actions to accelerate gender equality to be presented to Commonwealth leaders when they meet in Rwanda 🇷🇼 next year
.
The approaches agreed by ministers are being put forward for consideration by leaders when they meet for the Commonwealth Heads of Government Meeting
.
The actions can directly benefit 1.1 billion women and girls living in the Commonwealth and include:
.
🔹increasing women’s participation in decision-making and leadership
.
🔹ensuring access to at least 12 years of free quality education for girls
.
🔹putting in place and upholding comprehensive sexual and reproductive health rights for women and girls
.
🔹providing resources to enforce laws which protect women from violence in the workplace public spaces and in their homes
.
🔹focusing on women and girls in national plans for addressing climate change and disaster
.
Ministers agreed that implementation of these actions would accelerate progress towards achieving gender equality targets in the 53 member countries of the Commonwealth by the UN-agreed 2030 deadline for the 2030 Agenda for Sustainable Development
.
In response ministers agreed to strengthen women and girls access to quality healthcare which they said is highly important for the delivery of the 2030 Agenda
.
Ministers also asked the Commonwealth to establish a Women’s Ministers Action Group to boost collective action on promoting gender equality in member countries
.

The next meeting will be in the Caribbean in 2022
.
📸: @amb_aminacmohamed The Countess of Wessex Secretary-General of the Commonwealth Patricia Scotland and @csmargaretkobia and other delegates from the 12th Commonwealth Women’s Affairs Ministers Meeting
—————————————————
#commonwealth #commonwealthsecretariat #connectedcommonwealth #ourcommonwealth #WAMM #kenya #🇰🇪 #africa #women #womenempowerment #empowerment #womenentrepreneurs #genderequality #equality #inclusive #diversity #sustainabledevelopment #sdgs 
#CHOGM2020 #leadership #womeninpolitics #2030agenda #education #health #womeninleadership #vawg #endvawg #climatechange #FBF #FlashBackFriday",commonwealth commonwealthsecretariat connectedcommonwealth ourcommonwealth wamm kenya africa women womenempowerment empowerment womenentrepreneurs genderequality equality inclusive diversity sustainabledevelopment sdgs chogm2020 leadership womeninpolitics 2030agenda education health womeninleadership vawg endvawg climatechange fbf flashbackfriday,|Nice|The Commonwealth😊💝🌹🍀|Great 💪🏾|Where there is a Will there is a Way. 🙌|The Commonwealth the power 💪|@lewispugh 🙌🏼|🎊🎉🎂❤️,350
10,,,"A Commonwealth reception co-hosted by President of Rwanda 🇷🇼 @paulkagame and British 🇬🇧 Prime Minister @borisjohnsonmp was hosted on the sidelines of the United Nations General Assembly in New York
.
The United Kingdom is currently the chair-in-office for the Commonwealth and Rwanda will become the next chair-in-office when the country hosts the Commonwealth Heads of Government Meeting in Kigali in June 2020
.
📸: Secretary-General of the Commonwealth Patricia Scotland with President Kagame and Prime Minister Johnson
—————————————————
#commonwealth #commonwealthsecretariat #commonwealthsecretarygeneral #connectedcommonwealth #chogm #chogm2020 #chogm2018 #unga #unga74 #rwanda #kigali #🇷🇼 #unitedkingdom #uk #🇬🇧 #newyork #connecting #innovating #transforming #governance #ict #innovation #youth #environment #trade #commonwealthcharter #democracy #multilateralism #sustainabledevelopment #womenempowerment #youth",commonwealth commonwealthsecretariat commonwealthsecretarygeneral connectedcommonwealth chogm chogm2020 chogm2018 unga unga74 rwanda kigali unitedkingdom uk newyork connecting innovating transforming governance ict innovation youth environment trade commonwealthcharter democracy multilateralism sustainabledevelopment womenempowerment youth,|😊🌻🌹🍀|pelosi for president|Excellent|That's great! I request you to please check your inbox once @commonwealth_sec . I'm eagerly waiting for the response. Thank you  Regards|One day @borisjohnsonmp will be named Baron Johnson with a seat in Great Britain's House of Lords for his support of Brexit me and the #Commonwealth are looking forward to this.|Speaking of forex I never had an experience sir @adams_greenway_btc is indeed great in trading. He help me earn $12050 weekly with a minimum amount|Paul kagame kill more people in Africa,285
