,ID,shortcode,text,hashtags,comments,likes
1,,,"Meet Vaidas a Lithuanian journalist on a mission to fight disinformation. He works on the Debunk.eu project that scans 20 000 articles daily to detect disinformation. Watch to learn more:
#europeans🇪🇺 Susipažink – Vaidas žurnalistas iš Lietuvos kovojantis su melagingomis naujienomis ir dezinformacija. Jis dirba su projektu Debunk.eu. Tai įrankis kuris siekiant aptikti dezinformaciją nuskenuoja 20 000 straipsnių per dieną. Daugiau žiūrėk:
#europeans🇪🇺 #disinformation",europeans europeans disinformation,"|I want to share my success story with you. Last year I was broke and in debt . Then I met  a man @stilesbrown133 on Instagram and My life has not been the same. Now I make over $6000💵 weekly and $20.000💵 monthly form my investment .This post is my way of saying Thanks to him. You can reach him on @stilesbrown133|❤️🇺🇸🙏🏼👍🏻🌎✌🏻😉🙌❤️🇺🇸🙏🏼👍🏻🌎✌🏻😉🙌|https://pin.it/ewkyyu6j7ardps|Come si fa a lasciare un pazzo turco distruggere una nazione nel 2019 come si fa? Gheddafi che teneva la Libia unità lo avete eliminato a questo pazzo invece? ... Lasciate la Siria libera .. volete diminuire i migranti date loro la possibilità di non dover scappare dalla loro terra . #stoperdogan|##saverojava|#riseup4rojava|#rojava|#savasakarsirojavayasesver|what the heck is turkey trying to do.""we will send 3.6 million refugees if you recognize the true fact that the nation is invading syria"" can we please not bow and act like its just crimea. This is a threat to entire europe and shouldnt be taken unserious|Why does the European Union protect terrorists?|#unitednations #usa #uk and #europe they have shut their eyes on the #turkey #genocide|#noflyzone4rojava is minimum you could do to stop this genocide|🚫🚫🚫If you have a good conscience avoid attacking defenseless Kurds. Peace for the world is a human rights dream not just for you🚫🚫🚫|🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷|Alayınız gelsin Aslan parçası🇹🇷🇹🇷🇹🇷🇹🇷|We're destroying terrorism damn terrorists. Are you a terrorist? Ha. WE DON'T CARE. 🇹🇷|I still cannot believe something can be as  profitable as what I have experience online have been scammed several times  by people who claim to be forex trader and bitcoin account manager to a point i was hopeless but now I'm financially buoyant under the effectiveness of a professional account manager Bobby @bobbyjeffersonofficial i have proofs to evalute my success under the help of  Bobby @bobbyjeffersonofficial i really don't know how to thank you  other than let people know about his good work inbox hin @bobbyjeffersonofficial and start to earn over 5000$ weekly.|Imagine being the person running this account lol|🖕|#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava|#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava|#Save_Rojava#Save_Rojava#Save_Rojava|#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava|#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava#Save_Rojava|#saverojava #saverojava #saverojava #saverojava|#saverojava #saverojava #saverojava #saverojava|#saverojava|#noflyzone4rojava|#saverojava 
#noflyzone4rojava|#saverojava 
#noflyzone4rojava|#saverojava|#noflyzoneforrojava|🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺|Llibertat presos politics!|FREEDOM FOR ALL THE POLITICAL PRISIONERS 🎗#thisistherealspain  #WAKEUPEUROPE|FREEDOM FOR ALL THE POLITICAL PRISIONERS 🎗#thisistherealspain  #WAKEUPEUROPE|FREEDOM FOR ALL THE POLITICAL PRISONERS 🎗#thisistherealspain  #WAKEUPEUROPE|#shame Free political prisioners 🎗️🎗️|Rojava|Save kurdistan💛|🎗|لقد أتعبنا الحصار.  واصبح الفقر لايطاق. لايريدون ان أتوظف وكل ما تقدمت إلى وظيفه تذهب هذه العصابات وتبطلها.. لاأستطيع أن أرى أطفالي يحتاجون الى النقود وانا لاأستطيع توفير المال لهم ولالنفسي. حتى المنزل الذي اسكنه لااستطيع النوم فيه بسبب مايفعلونه من أذيه. من قبل هذه العصابات... وعلى حسب علمي اني مدعوم من الإتحاد الأوربي ولجان حقوق الإنسان. ولايريدون ايضا الكنيسه تتدخل.. إلى متى هذا الحصار.  وكم رسالة إستغاثه أطلقتها وأنتم لاتستجيبون.  كيف يفعل ذالك بي وبأطفالي. من تشرد وظلم وفقر،  في دولة قانون وثروه نفطيه. وانا واطفالي نعاني من الفقر والتشرد.  كل شئ يتحكمون به.  وانا وأطفالي نعاني من الفقر.. حتى زوجتي لاأستطيع رؤيتها.. أرجوكم تدخلوا.. فليساعدنا أحد وينقذنا من هذا التشرد والفقر.. بإسم الإنسانيه ساعدونا 
We are tired of the siege. Poverty has become unbearable. They don't want to get to your job? Even the house I live cannot sleep by these gangs ... As far as I know I am supported by the European Union and human rights committees. They also want the church to intervene. And how much the message of his relief and you do not respond. How to do that to me and my children. Displacement injustice and thought in a state of law and oil wealth. I and my children suffer from poverty and homelessness. Everything they control. And my children and I suffer from poverty .. Even my wife I can not see .. Please intervene .. Let us help one and save us from this displacement and poverty .. In the name of humanity Help us|#saverojava|#saverojava|#noflyzone4rojava|#riseup4rojava|#sosrojava|لازال العصابات المتشدده تهتك حرمات البيوت وتضرب على الجدار. ولازالت السلطات القانونيه تسكت عن هذا بالرغم اني ذهبت للقانون لكن لم يفعل شئ. لان هذه العصابات مدعومه من السلطه القانونيه.. مع العلم بان قضيتي مدعومه من قبل الإتحاد الأوربي. ولجنة حقوق الإنسان.. ولكن لااحد هنا يحترم ذالك.. الفقر والحصار والعصابات اجتمع كل ذالك علي.. وكم ابعث رسالة استغاثه ولامن مجيب.. اسمي AHMED FALAH SGHEER
Hard-line gangs still ravage the sanctities of homes and hit the wall. I sleep either in the desert or in my mother's room. My room can not sleep out because it is dilapidated and bothering me and still the legal authorities silent about this although I went to the law but did not do anything. Because these gangs are supported by the legal authority .. Knowing that my case is supported by the European Union. And the Commission on Human Rights .. But no one here respects that .. Poverty siege and gangs met all that on .. How I send a message for help and security respondent .. My name is AHMED FALAH SGHEER|🇪🇺|من با داشتن سِه حساب بانکی نزد بانک ملی به آسانی به عدد سِه می رسیدم، بانک ملی شعبه باغ فردوس حاصل جمع منطقه با کد شعبه عدد شِش می شود، بانک ملی شعبه آفرینش حاصل جمع منطقه با کد شعبه عدد پنج می شود ،بانک ملی شعبه میدان هفتم تیر باجه نوبانک مبارزان حاصل جمع منطقه با کد شعبه عدد دَه می شود که حاصل جمع اعداد شِش و پنج و دَه عدد دوازده می شود که در اصل همان عدد سِه است، اما من در حال حاضر با نُه حساب بانکی نزد بانک ملی به عدد سِه رسیده ام|@pingvidas 🤤|Say yes to Albania 🇦🇱🇦🇱🇪🇺🇪🇺 🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱|@devrimbozcuk|🔥",429
2,,,"A safer internet for kids
Stay safe online! Kids are more digital savvy these days but they do not always know how to stay safe online. The Save the Children organisation in Finland helps to identify and fight against online child abuse. #onlinechildabuse
#EUropeans 🇪🇺",onlinechildabuse europeans,|👏👏👏👏|❤️🇪🇺👏👏👏|The European Union must give a house and work for Turkish/Dutch citizens in the Netherlands. Many Turkish/Dutch citizens in the Netherlands can’t marry because the EU doesn’t support marriage.|👏👏👏|🇪🇺|Multicultrialism does NOT work! Look at history! Warning from America..Fight multicultialism! #poland # austria|🔝🔝🔝|👏|❤️❤️❤️❤️❤️❤️❤️😍👏👏👏|EU = one jewish control over europe|#unitednations #usa #uk and #europe they have shut their eyes on the #turkey #genocide,496
3,,,"The EU is on the way to become the world’ first climate-neutral continent. At a time when our climate and the rules based international order are under great threat the EU will lead the fight against climate change and champion the values of multilateralism and the free world.

Follow @donaldtusk in New-York while he represents the EU at the 74th @UN general
Assembly. 
#UNGA #ClimateAcrionSummit #FreeWorld
 #EUatUN",unga climateacrionsummit freeworld euatun,|Why don't you talk about pollution gliphosate Monsanto? This climate change Is only to encrease the power of the New World Order.|“Climate-neutral” 😂 sounds like gender neutral. What happend to environmetal friendly or low emmitting etc|That’s not strictly true Eastern Europe’s pollution is unbelievable. With Coal fired power stations that create cancerous smog.|A free Europe? 😂😂😂😂|😍😍😍🌏🌱🌳🏡🌺🌿|Trafiking. Children from Romania 400 children. Dispiparing in September from Romania 2019????!!!!!! Whay.  Europaaaaaaaa|@jamesjasperfield  whoop🙌|Too little too late!|If we connect all the countries of the world like a puzzle we will find that Iran and Damavand Peak is the center of the world.|The EU is NOT a continent. The EU does not include all European nations.|The world and the EU also have more serious problems - the economy declining entrepreneurship an aging population migrant threats the international mafia.|🇨🇺🌻🌻🌻🌻🌻LIBERTAD 🇨🇺🌻🌻🌻🌻🌻🇨🇺🇨🇺🇨🇺🇨🇺LIBERTAD 🇨🇺🌻🌻🌻🌻🌻🌻LIBERTAD LIBERTAD 🇨🇺🌻🌻🌻🌻LIBERTAD 🌻🌻🇨🇺🇨🇺🌻🌻🌻🇨🇺LIBERTAD 🌻🌻🇨🇺🌻🌻🇨🇺🇨🇺🌻🇨🇺LIBERTAD 🇨🇺🌻🌻🌻🇨🇺|#savekurds #saverojava #stopturkey #stopwar #erdogan_terrorist #erdogan_isis|🎗🎗🎗🎗🎗🎗🎗🎗🎗🎗🎗🎗,1776
4,,,"We need to work together to ensure a better future for all. We won't achieve the UN's 17 global goals for 2030 if we act alone. The EU is ready to lead the way for the common good.
#globalgoals #sdgs #2030agenda #unga73 #eu #euatun #unga #developmentgoals",globalgoals sdgs 2030agenda unga73 eu euatun unga developmentgoals,|🙌👏|We also have to care about the situation of human rights and arbitrary all over the world even there where we maybe seemingly don‘t expect it. 🙏For further information:  www.bni-de.jimdofree.cm|@jamesjasperfield 🇺🇳🇪🇺|DOWN WITH THE EU!EUROPE FOR EUROPEANS!MAY THE FOREIGN SNAKES BE DRIVEN OUT!|@elenaruffilli 😂 ovunque|🇨🇺🌻🌻🌻🌻🌻LIBERTAD 🇨🇺🌻🌻🌻🌻🌻🇨🇺🇨🇺🇨🇺🇨🇺LIBERTAD 🇨🇺🌻🌻🌻🌻🌻🌻LIBERTAD LIBERTAD 🇨🇺🌻🌻🌻🌻LIBERTAD 🌻🌻🇨🇺🇨🇺🌻🌻🌻🇨🇺LIBERTAD 🌻🌻🇨🇺🌻🌻🇨🇺🇨🇺🌻🇨🇺LIBERTAD 🇨🇺🌻🌻🌻🇨🇺|How about you focus on the real problems in your own countries cuck|🎗🎗🎗🎗🎗🎗🎗🎗🎗🎗🎗🎗,546
5,,,"Ready steady go! 🤸‍♂
Gvido swapped his computer games for street workout and now motivates other young people to become more active.
🇪🇺 European funding for sports facilities allows young people to escape their daily routines and adopt a healthier lifestyle.
🎽European week of sport encourages people to be more active! #BeActive #EU4SPORTS
#europeans🇪🇺",beactive eu4sports europeans,|inspiring <3|Gamers are oppressed minorities|Implying active people can't enjoy some gaming.|Also implying that people who play are necessarily unhealthy.|This is dumb let people game|Gaming is considered a healthy lifestyle here in Latvia🇱🇻 😂,343
6,,,"Oceans are rising global temperature is increasing biodiversity is decreasing…''We need to take measures now & reduce the effects of climate change today'' says Dr. Anna Hogg who studies effects of the climate change. 🇪🇺The EU leads the fight against #ClimateChange. 
TODAY @unitednations #ClimateActionSummit we need to show the world we are ready to #ActNow:
🌏 to reduce further global emissions
🌍 to provide finance to enable the change
🌎 to save #OurPlanet #UNGA #EU #environment #UN #generalassembly",climatechange climateactionsummit actnow ourplanet unga eu environment un generalassembly,|Save our planet!!|To all European countries specially France and Germany: You have to join U.S coalition.You have to.Cyrus.Out.|I have a quick question. I know the EU greatly contributes to combating climate change🙏🏻 however what are the EU’s policies towards countries that are currently developing and or industrializing and do not view climate change as their #1 concern? How do you go about that?|We have a big problem ....|I swear to God the EU was a trading organisation #4thReich|🌏🌍🌎❤️❤️❤️🙏🙏🙏|global impact has happen and we are going through and we will do what has to be doen and as I egt closer and closer to the goal and this you g7 I wont forgive I know as I egt close things in me had scarfice but I made sure cut scissors the sister in me and daughter in me doesn't happen to the orginal copy I broke the mold|https://www.youtube.com/watch?v=8F6zKlj6MSU|this is time there only be one brady and lauren and susan and with this as scarficed that in me fire shoto through bones that you hurt me and you did to me https://www.youtube.com/watch?v=8F6zKlj6MSU,365
7,,,"Stephanie is a designer from Malta who creates a unique art collection inspired by her home country. The EU works actively to protect European heritage sites. A valuable source of inspiration for artists.
#europeans🇪🇺 #EHDs #heritagedays #culture #malta #eu #europe #artist #culturalheritage",europeans ehds heritagedays culture malta eu europe artist culturalheritage,"|@handeozke|Beautiful 😊!|@etude_theater_festival / beautiful 😍👏👏|😍😍😍🇪🇺🇪🇺🇪🇺👏👏👏|Rabat is also the name of one of the castles in Georgia|Awesome bro. Prefect job stay blessed|⏳|Thank you @eucouncil for this opportunity to share with my fellow EU citizens and the rest of the world what I do and my country’s colours and patterns! 🇲🇹😍|Nice one Stephanie 👍👍|Help me get my child into school. No one here wants to help my child to complete his education. There is a fee of 150 kd. I do not have this money and everyone is watching. Child guilty. 
child's name ali ahmed falah Please save my child from homelessness. 
Not enough persecution and torture
am protected from the European Commission and from the American Embassy and Church. Until now they besiege me with poverty. I only want to save my child from homelessness. No one wants to help him to enter the school and we are in the oil country of Kuwait|My europe no is you european union! Free Europe!|@bodegasladivisa 🍷🇪🇸🙏|Great speech🥈🎫🎫🎑🎗️🎑🎑🎫🎟️🎑🎁🎎🎑🎁🎁🎎🎐🎎🎁🎖️🎁🎟️🎟️🎖️🎖️🎟️🎁🎑🎟️🎁🎎🎁🎑🎑🎎🎁🎑🎁🎇🎑🎁🎇🎇🎇🎎🎈🎁🎁🎈🎎🎟️🎁🎐🏆🎁🎟️🥇🥇🎟️🥅🎿🔮🎿🥅🔮🎣🥅🥊🥅🥊🏓⛳🥊🏓🎣🥊🏏🥅🥊🎣🥊🔮🥅🎿🎣🎯🎣🎯🎯⛳🥊🎣🥊🥅🎣🥊🥅🎣🥅🥊🎣⛳🥊🥊🥊🎣🎣🥅🎣🥊",477
8,,,"From 2021 fathers in the EU will be entitled to at least 10 days of parental leave. By rebalancing the caring responsibilities between genders Lucia and Lubos have the choice to combine both work and family life.
#europeans🇪🇺 #parentalleave #worklifebalance #slovakia",europeans parentalleave worklifebalance slovakia,|👏🤩💙🇪🇺 what a great story!|@etude_theater_festival / 😍👏👏👏|😍😍😍🇪🇺🇪🇺🇪🇺👏👏👏|👏🇪🇺🇩🇪|The EU is the 4th Reich|💚|Sadly us in Britain might not get that luxury😔|ITALEXIT🇮🇹|@rosokeogan|SOS VENEZUELA🇻🇪🇻🇪🇻🇪🇻🇪|Sympaça..|Wow I just received my profits worth $20000 with a minimum investment of $2000 all thank to @howard.getson0112 for trading on my behalf DM him now and start earning more income weekly:@howard.getson0112|As a Brit I feel ashamed of Brexit :(|@bodegasladivisa 🍷🇪🇸🙏,545
9,,,"From fires 🔥 to accidents and mountain rescues Major John Kolovos and his team at the First Special Disaster Response Unit in Athens are ready to act when disaster strikes in Greece or elsewhere. They are volunteers in the European Civil Protection Pool.
#EUropeans 🇪🇺 #fires  #civilprotection #eu",europeans fires civilprotection eu,|Wrong Athens|If Bolsonari doesn't take your 20 million plant some new trees By this 20 million|Not so long ago Greek firefighters in uniform took to the streets of Athens as roughly one third of their jobs were at risk due to EU imposed hiring freeze and financial restictions.|Send Help to Amazonas-Bolivia Now⚠️⚠️⚠️⚠️⚠️ Its a Globally Emergency Amazonas Right Now⚠️⚠️⚠️⚠️⚠️ #sosamazonasbolivia #actfortheamazon|I'm in central Italy and I'm hearing a lot of fire brigade airplanes I hope these fires'll be exstinguished soon|YOU HAVE ALL THE DIVERSITY YOU NEED DONT COMMITTEE SUICIDE LIKE AMERICA DID. EUROPE SAVE YOURSELF|🇪🇺❤️❤️❤️🚒🚒🚒🙏🙏🙏💪💪💪|https://youtu.be/RpCSKhpvqeE|As Athens on fire spell hevete|Hecate arise https://youtu.be/DJZHabrymNc|https://youtu.be/Cng6ltHvFf4|https://youtu.be/ylF7rqVsLEg|https://youtu.be/qEVwn5ehs28|😲|The World Health Organisation statistics do not lie unlike the Dutch Government..they are poisoning us and the land. #DRIVENBYGREED #shameonyou for supporting them!! #STOPschipholgrowing! #timesupforpoliticiansdrivenbyGREED #timesupforschipholmaffia! You know nothing EU!|LOL,582
10,,,"The city of Biarritz in France is getting ready for the G7 summit which starts tomorrow. 🇪🇺 🇨🇦 🇫🇷 🇬🇧 🇺🇸 🇯🇵 🇮🇹 🇩🇪 & their leaders are attending. The fight against inequalities is the central theme of this year's summit. The focus is not only on income inequalities but also on inequalities related to gender the environment and technology.  That's why France has revamped the format of the G7 to involve civil society international organisations and non-G7 countries. 
#G7Biarritz #G72019 #G7 #G7Summit #donaldtusk #EU #europeanunion #France",g7biarritz g72019 g7 g7summit donaldtusk eu europeanunion france,"|Teslim Almadığım Sürece @ukparliament bu 🔥 durmayacak Sıfır noktasında kendisi açığa çıkana kadar toparlama işlemleri devam edecek .|Group Bruxelberg|Thanks for the information ❤|The Amazon rain forest is on fire. Members of the G7 PLEASE discuss this emergency|@eucouncil @ursulavonderleyen please investigate my case: The #EU invested European citizens's money in the #DomRep to promote projects for #womenrights where my author's rights are being violated by the #EU and its partners since 8 years ago: 8 years of illicit use and a PLAGIARISM of one of my Artworks. Lawyers that represent the ‪#EuropeanUnion‬ and its NGO partners are using delaying tactics: In April Judge ‪Judge #ArgeliaSenciónSantana ‬ ordered that next hearing on May 2 I would give my testimony but the  judge did not let me speak at the request of the defendants’ lawyers‪. Read my letter to the @europeancommission 👉 http://bit.ly/2YwugoS ‬#solidarity|@ursulavonderleyen please read my sister’s letter to the @europeancommission concerning the violations to her #copyrights by the Delegation of the #EuropeanUnion‬ to the Dominican Republic and its NGO partners and the delaying tactics their lawyers are using 👉 http://bit.ly/2YwugoS ‬Don’t discriminate against her because she’s a woman.|Don't fight and do a good job|STOP the supporting terrorist regime of Islamic republic of Iran  Iran is big jail for pepole lives in ... dictator perison is full of human innocent ... the Islamic republic marauding & assassination in this land|💖💐🇪🇺|Invite Brazilian leader to speak to him about Amazon|Can't wait to come home 🙌🙌|#PrayForAmazonas #ActForTheAmazon @eucouncil PLEASE SEND AIRPLANES WITH WATER TO AMAZONAS AND BOLIVIA⚠️💧💧💧💧💧💧💧|PLEASE DO NOT MAKE ANY DEALS WITH BRAZIL!!!!! THAT ANIMAL JAIR CHAINSAW NEEDS TO PAY!!!!! I’M BEGGING U TAKE ALL YOUR MONEY OUT OF BRAZIL. LEAVE THAT “ESCROTO” ALONE. HE THINKS HE IS THE “KING” . HE IS A KING THE KING OF IGNORANCE. THANK U EUROPEAN FRIENDS.|please do not buy anything from brazil anymore let their agriculture rot in their farms!!!! let’s make jair chainsaw pay for his ignorance without money he will not be able to get anything done in brazil. maybe this way he will be out sooner. but u have to remember he was sent to brazil by “ god”.💩|Call for an immediate EMBARGO on Brasil. Declare a global #climatemergemcy. #SavetheAmazon #ActNow|👍💞🇹🇩|#boycottbrazilianmeat|💖|کلیپ جدید زوج دستفروش 🙌❤🙏
@pedram_nazari__official
@neda_ghasir_official",1030
