,ID,shortcode,text,hashtags,comments,likes
1,,,"👏 One of MIT's newest Nobel laureates Esther Duflo born in 1972 is the youngest person and second woman to be awarded the Prize in Economic Sciences. She shares this year's Nobel Prize in economics with MIT Prof. Abhijit Banerjee and Michael Kremer of Harvard.

Image: Peter Tenzer/Abdul Latif Jameel Poverty Action Lab

#MIT #womeninscience #womeninstem #nobelprize #nobelprize2019 #nobellaureate #economics #economicsciences #miteconomics",mit womeninscience womeninstem nobelprize nobelprize2019 nobellaureate economics economicsciences miteconomics,|Congratulations!!🙌🙌🙌|What was the award for?|👏👏👏👏|😍|And she is so nice and humble!|👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏|Congratulations! 👏👏👏|Congratulations!! Thoroughly enjoyed Prof. Duplo’s remarks in the press conference! As did Prof. Banerjee’s comments!|💪🏼|Congratulations|👏👏👏🎊🎊🎊🎊|👏🏽👏🏽👏🏽👏🏽👏🏽🤩🤩|Many congratulations.. we here in India proud to have an Indian connection to Ms Duflo...Many congratulations to Prof Abhijit Banerji as well...|❤️|Congratulations!!!!👏👏👏|BEAUTIFUL MINDS EXTRADONIRY PERSONS|Hearty congratulations Prof Esther Duflo! 👏👏👏|What a day! 👏🏽 👏🏽 Congratulations!|Many congratulations to three of them for contributing so magnificent research😀|👏|If you don’t have a week paid jobor you want to learn how to work from homeyou should check out @natalia_bitcoins_trading I earned about 5500 DOLLARS from a little investment with 14 days all grattitude to  @natalia_bitcoins_trading|👏|🇮🇳♥️😊|♥️🇮🇳😊,3785
2,,,"Congratulations to MIT’s Abhijit Banerjee and Esther Duflo have won the Nobel Prize in economics “for their experimental approach to alleviating global poverty."" They share the prize with Michael Kremer of Harvard.

Reposted from @nobelprize_org (@get_regrann) 
The research conducted by this year’s Laureates has considerably improved our ability to fight global poverty. In just two decades their new experiment-based approach has transformed development economics which is now a flourishing field of research. 
Despite recent dramatic improvements one of humanity’s most urgent issues is the reduction of global poverty in all its forms. More than 700 million people still subsist on extremely low incomes. Every year around five million children under the age of five still die of diseases that could often have been prevented or cured with inexpensive treatments. Half of the world’s children still leave school without basic literacy and numeracy skills. 
This year’s Laureates have introduced a new approach to obtaining reliable answers about the best ways to fight global poverty. In brief it involves dividing this issue into smaller more manageable questions – for example the most effective interventions for improving educational outcomes or child health. They have shown that these smaller more precise questions are often best answered via carefully designed experiments among the people who are most affected. 
The 2019 Economic Sciences Laureates have played a decisive role in reshaping research in development economics. Over just 20 years the subject has become a flourishing primarily experimental area of mainstream economics. This new experiment-based research has already helped in alleviating global poverty and has great potential to further improve the lives of the most impoverished people on the planet.  See link in profile for news article.

#mit #NobelPrize #NobelLaureate #EconomicSciences #economics #poverty #endpoverty #research #experiment #science #society #prize #award #NobelPrize2019 #NobelPrizeannouncement #economicsprize #globalpoverty #education #health #healthcare #childhealth #development  #regrann",mit nobelprize nobellaureate economicsciences economics poverty endpoverty research experiment science society prize award nobelprize2019 nobelprizeannouncement economicsprize globalpoverty education health healthcare childhealth development regrann,|Congratulations!|congratulations🎉🎉🎉🎉|@jarad_ponce|Congratulations|😍😍😍🔥🔥|Congratulations 🎊 🎊 🎊 🎊|🇮🇳|Great!! Congratulations to the winners and to the MIT|Congratulations from South Africa👏|The reason for I love MIT 🔥🔥🔥 🇮🇳💪💗|Congratulations! 🙏|🎉🙏😁|🙏🏻🙌🏼|There is no such thing as a nobel prize in economics|@e.lauer|Congratulations from India|MIT MITMITMIT MIT ❤️❤️❤️❤️|शुभकामनाएं|❤️|Amazing!!! Congratulations 😍|Many congratulations..|👏👏👏👏👏👏👏👏|❤️|excellent🙌🙌🙌|Congrats 👏👏👏|@cuartosectoreco|Enhorabuena!!|Really glad to have such eminent personal in MIT N now I know why MIT is best university 😀|Congratulations!,4645
3,,,"Last Friday mechanical engineering seniors taking class 2.009 Product Engineering Processes participated in the annual Build Challenge. In this year's s'mores themed challenge teams were tasked with building crazy contraptions that could cross a chocolate channel and build a cracker causeway to save mallows from melting. #ThisisMIT

Reposted from @mitmeche
📸: @009mit 
Learn more: mit.edu/2.009

#mit #ProductEngineering #teambuilding #buildchallenge #009mit #009 #mitstudents @mitstudents @get_regrann",thisismit mit productengineering teambuilding buildchallenge 009mit 009 mitstudents,"|🔥🔥🔥🔥🔥🔥🔥🔥|Is ""cracker causeway"" kind of a given?|👏👏👏👏|If you have a good conscience avoid attacking defenseless #Kurds.
#Peace for the world is a #human_rights dream not just for you!|@009purple|We are fighting for democracy at #rojava  West Kurdistan  please help defenseless #kurds against turkey helicopters and army .|Pls let this be my university",2919
4,,,"Nearly 10 years ago Priyanka Bakaya MBA ’11 founded Renewlogy to develop a system that converts plastic waste into fuel. Today that system is being used to turn even nonrecyclable plastic into high-value fuels like diesel as well as the precursors to new plastics. “It’s important to focus on big problems you’re really passionate about” Bakaya says. “The only reason we’ve stuck with it over the years is because it’s extremely meaningful and I couldn’t imagine working this hard and long on something if it wasn’t deeply meaningful."" Learn more about Priyanka's journey and Renewlogy: 
http://mitsha.re/XhVx30pHjvD

Image courtesy of @Renewlogy

#mit #sustainability #entrepreneurs #plasticintofuel #innovation #pollution #environment #recycling #plasticrecycling @mitsloan",mit sustainability entrepreneurs plasticintofuel innovation pollution environment recycling plasticrecycling,|enerjide çevreci adim atmak geleceğimizi güçlendirir|Wow I want to get into mit 🔥|Great work!!!|❤️❤️❤️❤️|Well-deserved recognition Priyanka! Congrats and keep doing amazing work!!|That’s amazing|👏👏👏|Geh her: corsickAhh|That is amazing! The system should be adapted in a lot of places.|Great job. Keep going. Please keep in mind that these phenomenal breakthroughs need to be economically viable vis a vis existing technologies. Push for productivity and efficiency.  Good luck!|👏🔝Congrats & a lot thanks 4 your work 🙏 Greetings from Spain 🇪🇸|Look @justlikerainy ; )|Wow..❤️|Amazing work priyanka...the world needs more people like you🙂👏👏|✨✨✨,2860
5,,,"At MIT.nano we think every day is Nano Day. But we get really excited for October 9—National Nanotechnology Day. When the calendar hits 10/9 everyone gets a chance to celebrate research at the nanoscale on the date that corresponds to one nanometer 10^-9.
///
To help offer a sense of just how big the world is when seen from the perspective of the very small we're honoring the official Nano Day with the new MIT.nano Nanoscale Estimator a ruler to download and print for comparing nanometers to inches and centimeters.
///
It's great for kids—or any curious fan of the nano world! Visit mitnano.mit.edu/news/nano-day to print one out and start taking measure of the nanoscale in your world.

Reposted from @mit.nano (@get_regrann)

#mit #nanotechnology #nanotecnologia #nanoscience #nanometer #mit #technology #science #nanoworld #nanoscale #nanoparticles #dawnofthenanoage #mitnano #nanotechnologyday #nationalnanotechnologyday #nano #10totheminus9 #regrann",mit nanotechnology nanotecnologia nanoscience nanometer mit technology science nanoworld nanoscale nanoparticles dawnofthenanoage mitnano nanotechnologyday nationalnanotechnologyday nano 10totheminus9 regrann,|Smart dust|@takkksh|@photechno|@jarad_ponce|@becki_ho !!! incubation festival !!! @alex_barks|Marvelous idea connecting the date with nanoscale I would love to know if actually someone did that with speed of light when the date was 03/10/08.... 😅😍|@sevdijekr|👍|@margarida.barroso 😎|💪|@berkane.melissa|👍👍👍👍👍|Excellent. 👏👏👏|@siraltunjr|@gonzagadag|@gonzagadag|❗️|@tandissalem|😄|👍|@hanieh.yazdanfar|I love nano stuffs! Nano fabric is so gooood. It absorbs water very well and my sweat on nano clothes dries fast 🧡😇|@navidfth87|@lucasqiu,5555
6,,,"Happy #AdaLovelaceDay! Today we celebrate Ada and the achievements of all women in STEM fields.

Image: Chelsea Turner/MIT

#womeninscience #womeninSTEM",adalovelaceday womeninscience womeninstem,"|I bet she loved laces|GOAT|GOAT|GOAT|In memory of the mathmatical legend ""Maryam mirzakhani""❤️|Mathematica is acknowledgment of  generalized incomes|🔥🔥🔥|Ada Lovelaces Husband**|MIT is my space Cap space vessel possible. Thanks Clarence a white❤️|@ahsmakers|💯|Celebrating all STEMinist!💛🙌🏼|So true.|💯💯|🙌🙌🙌",4641
7,,,"MIT researchers discover why magnetism in certain materials is different in atomically thin layers and their bulk forms. Learn about the research: http://mitsha.re/pozB30pEwnS

Photo: Denis Paiste/Materials Research Laboratory
MIT physics graduate student Dahlia Klein (left) and postdoc David MacNeill.

#mit #research
#materialsresearch #physics @physicsmit",mit research materialsresearch physics,"|are you impossible @mitpics|MİT püf noktan var mı seni kazanmak için 😮😉|Congrats!|Awesome!|Fascinating👍👌|@mitpics Please look at the messages I left for you|Man I hope I can go to mit for college|it's crazy how the order of thin basically 2-d layers of smthn can change its magnetism|I love MIT. My only one Goal to study in MIT|I'd love to work on thermoelectric materials, hope this scientists could make electricity from heat as efficient as possible I think this is one of most demanded things on earth 🤞",3785
8,,,"Norhan Bayomi a PhD student in @MITarchitecture studies how low-income urban communities are adapting to changing heat patterns. She uses drones to investigate how building construction impacts residents’ resilience to rising temperatures.

Learn more about Norhan: http://mitsha.re/AxTF50wBFUc

Photo: Jake Belcher

#architecture #studentfeature #architecturestudent",architecture studentfeature architecturestudent,|Wow... it's a Great|So proud of this amazing woman 💟|we do all of your typing jobs with lowest price|🇭🇰Our architects only care about how to build higher buildings with small compartments so the land can be utilized to make profits as much as possible. And the temperature here just raise higher due to poor ventilation.|Wow 😮|This is awesome 🙌|#arbaeenwalk|#arbaeenwalk|Great post 👍 my appreciation and gratitude to mrs Ellen grace for making me who I am todayI can say I’m living my dream life today ..... Dm her @ellen_binary_trading indeed you truly are the creator of dreams @ellen_binary_trading|@mitpics Please look at the messages I left for you,2379
9,,,"AMITA (Association of MIT Alumnae) is celebrating 120 years with a new interactive timeline chronicling MIT women's history starting in 1870 with the admission as an “experimental student” of one Ellen Henrietta Swallow. Explore 100+ milestones see link in profile.

Repost from @MITAlumni

#MIT #womeninstem #mithistory #timeline #regrann",mit womeninstem mithistory timeline regrann,|🙌|origins of the Force..|🙌🏻|Yeahh🙌|Worried about an essay term paper dissertation research paper online class assignment or homework that's due or for some reason you are not able to write it? Pay me to handle it. Free from plagiarism quality guaranteed 100% Legit. DM for enquiries. https://t.co/OM5y0890G2|@shiksee all smart people write in cursive|we do all of your typing jobs with lowest price|❤️❤️,4130
10,,,"#OTD in 1964 MIT’s Cecil and Ida Green Building a.k.a. Building 54 was dedicated. It was designed by the late I.M. Pei ’40. Home to the Department of Earth Atmospheric and Planetary Sciences — not to mention quite a few inspiring window treatments — the Green Building is about to get a $60 million facelift: A planned upgrade will add about 12000 square feet of new space for meeting places classrooms and study areas.

Photograph by AboveSummit with Christopher Harting

#mit #aroundmit #IMPei #impeiarchitecture #architecture @mit_eaps",otd mit aroundmit impei impeiarchitecture architecture,"|Эх как прекрасен КПМ в Долгопрудном|😍|😍|@skyleapa look the green building|The crew team ran the stairs  during winter training we all wished it was a two story building. I also work in the Geology machine shop in 1967-68.|👌👌 i stay out. 😝😝|Love the perspective!|One of the best brutalist architecture of its time. Remained the tallest MIT building until last year. Good to see it’s getting some love.|😍|❤️ Great building. A lot of great memories!|Hello
Do you need help #assignment #essay #homework or fall online classes.
Email. onlineclassmanager1@gmail 
Whatsapp/Text: 469-369-0115|With God's help, I'll be at your university for three more years",4337
