,ID,shortcode,text,hashtags,comments,likes
1,,,"At the edge of this galaxy in the bottom-right corner of this photograph is a Type Ia supernova called SN 2018gv – the bright white star with a blue halo.
.
The image was created with colour composites taken with the Hubble Space Telescope using optical and near-infrared filters. Researchers recently discovered that 150 days after it exploded this supernova continued to fade in the optical but remained fairly constant in the near-infrared for roughly an entire year!
.
Corresponding author Dr Or Graur shares more about this discovery published in Nature Astronomy (doi.org/10.1038/s41550-019-0901-1) on the Nature Research Astronomy Community: go.nature.com/2l9HBFK (link in bio).
.
Image credit: NASA/ESA Hubble Space Telescope/Or Graur.
.
.
#supernova #astronomy #space #galaxy #hubble #hubblespacetelescope #spaceiscool",supernova astronomy space galaxy hubble hubblespacetelescope spaceiscool,|It has been a great change in my life since I started investing with Bitcoin with the help of @brain_rand_22  am so grateful sir.. DM @brain_rand_22  if you're interested in Bitcoin/crypto forex trade....❤️❤️,966
2,,,"Quasicrystals are materials with an ordered structural pattern but unlike traditional crystals that pattern does not repeat.
.
In 2011 Prof Dan Shechtman won the Nobel Prize in Chemistry for their discovery but other scientists have continued to study quasicrystal patterns. Now Prof Tomonari Dotera and colleagues in Japan and Slovenia have proposed a family of quasiperiodic tilings that can approximate a periodic appearance (Nature Communications: doi.org/10.1038/s41467-019-12147-z). They’re still quasicrystals but locally they behave like periodic crystals. In this image they’ve laid out one of the tiling patterns on the floor of the Academic Theater library at Kindai University. Read more about the science behind this image on the Nature Research Device & Materials Engineering Community: go.nature.com/2ZNE8Pb (link in bio).
.
Image credit: Tomonari Dotera.
.
.
#academictheater #kindaiuniversity #quasicrystals #chemistry #physics",academictheater kindaiuniversity quasicrystals chemistry physics,"|@robby_harley|@ciceroaragao|💪🔬😍|#togetherforscience💪
follow our profile and support science.🔬😃",762
3,,,"Researchers at UCLA have shown that a gut-living bacterium Turicibacter sanguinis interacts with its host to trigger increased serotonin production by intestinal cells which - in turn - helps create a more favourable environment for its own existence.
.
Serotonin - found mainly in the brain bowel and blood platelets - has a wide variety of functions in the body including a role in wellbeing. Chemicals that hinder re-uptake of serotonin at nerve junctions (selective serotonin reuptake inhibitors - SSRIs) are used as anti-depressants. A large proportion of serotonin is made by hormone-producing cells in the intestinal lining.
.
Posting on the Nature Research Microbiology Community Elaine Hsiao describes how she and her team discovered that increased levels of serotonin in the intestines of mice led to an increase in T.sanguinis colonies: go.nature.com/2Zrpqxt (link in bio). The team found that the bacterium has a protein similar to human serotonin transporter protein and their detailed investigations showed that this protein enables T.sanguinis to detect and respond to serotonin. They also found that an SSRI impaired T.sanguinis colonisation in the gut.
.
The way in which T.sanguinis colonisation is influenced by serotonin - and also how it is affected by an SSRI anti-depressant - raise interesting questions about how this gut microbe might be involved in wider host biology. The research was published in Nature Microbiology (doi.org/10.1038/s41564-019-0540-4).
.
Image: Turicibacter sanguinis (yellow) in the small intestine (blue)
Credit: Thomas Fung.
.
.
#microbiome #bacteria #bacteriology #microbiology #microbiota #serotonin #hormone #intestines",microbiome bacteria bacteriology microbiology microbiota serotonin hormone intestines,"|@brsneuro olha que interessante! 😘|@aliandamaira|@andreoliveira.ufmg|@norascience_ 😍|@triceadrianne quando bactérias tem mais serotonina do que eu 😂|Amazing!!!|@angelicabenvenutti|@erikbakkeren|@hilastuff @nataliabottasso @natavaleff|Excellent 🙌🏾 !|@mexi_p gut serotonin!|@gabimarinsek|Fascinating @brian.foody|@imunologista|👍🏻|@ioeilciboricette|@raul_neves|@prof_leonardo_machado|@makn_bakn|@mn_yefimova|@milo.gd|@rogerhcano|@mattmattoni|@felipesimoeslemos|Mr Webb sent us... @micah.baron @laurendodgson @ingrid.votruba @minniedarr @tuckerschulz @stella.sheckler17 @juliakskaggs @ella.lado @jacksontwalt|@maxjbarrera @micah.baron @tuckerschulz this is so us|😱|This is a very cool looking image 🙌|@mimitapia39|Would this have implications for insomnia?|Chécate está @davidsmhh|@alexon.nobre|👏👏|@jessi.lemos|@chaleceron|@thesleepbandit ain’t no pseudoscience|@matothho kolla|@ehdezsanabria|🍀|Puzzling symbiose and implication for depressive people?|@samuelgreggio @giventurin|Great finding|@eskeleto_15 olha isso!!|A GREAT TESTIMONY THAT CHANGE MY LIFE. 
I can’t still believe this happened to me. A great testimony that i must share to all HIV patient in the world i never believed that their could be any complete cure for HIV for over 4 years i have been suffering from HUMAN IMMUNODEFICIENCY VIRUS I have been taking treatment but I was not still feeling confortable one day i saw people’s testimony on health forum of how dr.Dohgo prepare herbal Medication to cure different diseases and virus especially HIV. i tired it and you cant believe that in just few weeks i started using dr.Dohgo herbal medicine i feel better more and i noticed change in my body system at this time i had to leave without the drugs the doctor gave to me. Right now i can tell you for few months now i have not had any pain no medical treatment and  i went to the hospital for test and the doctor confirmed that there is no trace of any HIV in my body. Glory be to God for connecting me to this genuine herbal doctor dr.Dohgo I am so happy as i am sharing this testimony. My advice to you all who thinks that their is no complete cure for HIV that is Not true just contact him and get your cure today for your HIV and you will be free and free forever Try it and you will not regret it
because it truly works. One thing i have come to realize is that
you never know how true it is until you try. Remember delay in
treatment leads to death. Here is his whatsapp number +2347053934573/(doctordohgo@gmail.com) 
get cure with other sickness like.
herpes
cancer
diabetes
Fibroid
Tubes block
Pregnancy|Get in touch at wickr/kik_____giftman677
t€xt____+1 740-241-8698 telegram____fastdeals1  for pharma products.",2903
4,,,"The white-throated woodrat is highly skilled at handling its favourite food the prickly pear cactus; not such an easy task for researchers though as Dr Rodolfo Martinez-Mota tells us in his behind the paper post on the Nature Research Microbiology Community: go.nature.com/32Di2gc (link in bio). 🌵 .
The balance of gut bacteria in white-throated woodrats (Neotoma albigula) is tailored to help them break down toxins in the cacti they feed on. To test the effects of diet on gut microflora Rodolfo and colleagues from the School of Biological Sciences at the University of Utah caught a dozen woodrats near Castle Valley Utah and fed them on various diets of either commercial food or Opuntia cactus (prickly pear).
.
By isolating characterising and comparing bacteria in the woodrat droppings the researchers found that the woodrats fed on commercial chow lost more than a third of their native microbial communities whereas those fed on cactus retained 90%.
.
The lifestyle of animals kept in artificial environments can be very different from the wild and the communities of gut microorganisms in such animals is often affected with implications for health.  These results highlight the importance of ensuring the diets of animals in artificial environments contain wild-natural foods to help maintain gut microbiome diversity. The research paper was published recently in the ISME Journal (doi.org/10.1038/s41396-019-0497-6).
.
Image: White-throated woodrats can be found in desert grassland and shrub from the south-west of the United States down to central Mexico. Cacti offer protection from predators and a succulent food source. Photo Credit: Margaret Doolin.
.
.
#microbiome #bacteria #bacteriology #microbiology #microbiota #ecology #cactus",microbiome bacteria bacteriology microbiology microbiota ecology cactus,"|🔥🔥🔥🔥|@analizvg|All thanks to @abolohome for curing my herpes virus with his herbal medicine i do not have much to say but with all my life i will forever be grateful to him and God almighty for using @abolohome to reach me when i thought it was all over today i am happy with my life again after the medical doctor have confirmed my HERPES SIMPLEX VIRUS of 4years is gone i have never in my life believed that HERPES SIMPLEX VIRUS could be cured by herbal medicine. So i want to use this means to reach other persons who have this disease by testifying the power of @abolohome that all hope is not lost yet try and contact him by any means for any kind of disease with his email abolospellhome@gmail.com or whatsapp him on +2348111229254 thank you Dr..|Awwww 😍|Good new i want to inform all the herpes patience how i was cured of HERPES  Virus by a great 
Doctor called @dromozojiealli  i have visited different hospital but they gave me list
of drugs like Famvir Zovirax and Valtrex which is very expensive to treat
the symptoms and never cured me. I was browsing through the Internet
searching for remedy on HERPES and i saw comment of people talking about
how dromozojiealli  cured them. I Was scared because i never believed in the
Internet but i was convince to give him a try because i was having no hope
of been cured of HERPES so i decided to contact him on his email dralliomozojieherbs@gmail.com and when i contacted him he gave me hope and send a Herbal medicine
to me that i took and it seriously worked for me am a free person now
without any disease  problem my HERPES result came out negative. You can contact him on
his Email: dralliomozojie herbs@gmail.com and get all
your problem solved.
Sickness of any kind
Help to CURE Hepatitis A B HIV/AIDS PREGNANCY PROBLEM FOR PENIS ENLARGEMENT DIABETES ETC.. thank you so much doctor @dromozojiealli|👌👌👌|❤️❤️❤️|very nice|Nice finding !",1521
5,,,"The bacterium Klebsiella pneumoniae flourishes in hospitals causing patient infections that can lead to sepsis. K. pneumoniae is already resistant to a number of antibiotics so infections are treated with Carbepenem but resistance to this last-line antibiotic is also rising rapidly.
.
Resistant K. pneumoniae are known to have modified channel proteins (called porins) in their outer membrane that prevent Carbepenem from getting inside. In a post on the Nature Research Microbiology Community (go.nature.com/30JcksJ – link in bio) Dr Joshua Wong outlines his work with colleagues at Imperial College London investigating two porins found in antibiotic-resistant K. pneumoniae.
.
By determining the crystal structure of one of the porins – OmpK36 ST258 (pictured) – the team made an exciting discovery: the existence of just two extra amino acids at a critical location caused a smaller pore size thus hindering movement of Carbepenem into the bacterium. These new findings help scientists understand the infection mechanisms of K. pneumoniae and supports the premise that more targeted use of antibiotics is needed in the treatment of infections. Read the full paper in Nature Communications (doi.org/10.1038/s41467-019-11756-y).
.
Image: Tessellated rainbow crystal structures of OmpK36 ST258.
Credit: Joshua Wong Imperial College London.
.
.
#antimicrobial #antibiotic #bacteria #microbiology #proteinstructure #crystallography",antimicrobial antibiotic bacteria microbiology proteinstructure crystallography,"|@annactcp|@thaishatakabarbosa @mikesmetz mostrem pro pessoal da sala!!!❤️|@d3cknavy|Beautiful work. Structure:function!|@wallaceblohem 😮😮|@monicaalmeida1234|❤️|👏🏼👏🏼👏🏼😍|😮❤️👏|@lorenzocastanon|@a_ne_mo_na|Just waow|OmpK36 ST258 said gay rights|antibiotic resistance 👎🏻|@vinay_sharma_007 read|@joannitalip|Carbapenem makes me think about you 😂❤️💭 @simone_maranesi|Great news!|❤️|All thanks to @abolohome for curing my herpes virus with his herbal medicine i do not have much to say but with all my life i will forever be grateful to him and God almighty for using @abolohome to reach me when i thought it was all over today i am happy with my life again after the medical doctor have confirmed my HERPES SIMPLEX VIRUS of 4years is gone i have never in my life believed that HERPES SIMPLEX VIRUS could be cured by herbal medicine. So i want to use this means to reach other persons who have this disease by testifying the power of @abolohome that all hope is not lost yet try and contact him by any means for any kind of disease with his email abolospellhome@gmail.com or whatsapp him on +2348111229254 thank you Dr..|Good new i want to inform all the herpes patience how i was cured of HERPES  Virus by a great 
Doctor called @dromozojiealli  i have visited different hospital but they gave me list
of drugs like Famvir Zovirax and Valtrex which is very expensive to treat
the symptoms and never cured me. I was browsing through the Internet
searching for remedy on HERPES and i saw comment of people talking about
how dromozojiealli  cured them. I Was scared because i never believed in the
Internet but i was convince to give him a try because i was having no hope
of been cured of HERPES so i decided to contact him on his email dralliomozojieherbs@gmail.com and when i contacted him he gave me hope and send a Herbal medicine
to me that i took and it seriously worked for me am a free person now
without any disease  problem my HERPES result came out negative. You can contact him on
his Email: dralliomozojie herbs@gmail.com and get all
your problem solved.
Sickness of any kind
Help to CURE Hepatitis A B HIV/AIDS PREGNANCY PROBLEM FOR PENIS ENLARGEMENT DIABETES ETC.. thank you so much doctor @dromozojiealli|@louiscrusoe look how clever Josh is! X|Wow! 🙌🏽|😍😍😍",1942
6,,,"What makes these beetles so white? Researchers studied two beetle species Lepidiota stigma (photo 1) and Cyphochilus (photo 2) and found out that the fantastic ultra-white beetle scales were the result of light scattering within the structure of the scales. With this knowledge it may be possible to design more sustainable paints. If paint can use the same trick as the beetle scales do white paints wouldn’t need to resort to pigments with a high carbon footprint.
.
The results were published in Communications Chemistry ( doi.org/10.1038/s42004-019-0202-8 ). You can find out more in a Behind  the Paper post by Stephanie Burg and Andrew Parnell on the Nature Research Chemistry Community: go.nature.com/2zoenpZ (link in bio).
.
The beetle images were taken by Andrew Parnell. A third photo shows Andrew Dennison (left) and Stephanie Burg (right) performing an X-ray nanotomography experiment to understand the optical nanostructure inside the ultra-white beetle scales. This was at the X-ray beamline ID16B at the ESRF in Grenoble France.
.
#biopolymers #bioinspired #materials #chemistry #beetle #science #sustainable #xray",biopolymers bioinspired materials chemistry beetle science sustainable xray,|@karolherculanoo|♥️|Brilliant 🙌👍|Marvellous!|Such beautiful beetles!☺️✨|@amybentsen ?|@ipedroni|@wunniezz blugybug,1506
7,,,"In this Nature podcast Eppendorf award-winner Georg Winter discusses his work on protein degradation. Learn about his research aiming to turn the notorious drug thalidomide into a ‘chemical knock-out’ for cancer: go.nature.com/eyia19int (link in bio).
.
#science #podcast #biology #chemistry #protein #degradation #molecules",science podcast biology chemistry protein degradation molecules,|🔝|✨|🙌,352
8,,,"We celebrated the 250th birthday of Alexander von Humboldt – a pioneering explorer geographer author scholar scientist and mentor – with a collection of research highlights behind the papers and personal perspectives from our editors and contributors on our Ecology & Evolution Community (see our Humboldt250 Stories Highlight too).
.
Between 1799 and 1804 Humboldt travelled extensively across Latin America including two years in the Andes where he observed and documented everything he saw. His travel diary amounted to 4000 pages and his findings laid the foundation of contemporary natural sciences. Humboldt’s work continues to influence and inspire scientists across the globe today.
.
Contributing to our Humboldt Anniversary channel Dr Damien Esquerre (currently a post-doc in the Keogh Lab Australian National University and originally from Chile) describes some of his most recent work on the diversity of lizards around the Andes. Damien is also a wildlife photographer and took these amazing images! In order: the Chilean Andes; an egg-laying lizard; and a non-egg-laying lizard. Both these species live in the Andes but their exact location on the mountain determines their mode of reproduction (whether they lay eggs or not). 🦎🦎🦎
.
Discover more by reading Damien’s post on our Ecology & Evolution Community: go.nature.com/2ZNPeop (link in bio).
.
Don’t forget for more Humboldt adventures see our Humboldt250 Stories Highlight! 🙂
.
#Humboldt #biodiversity #evolution #species #ecology #evolution #andes #lizard #naturalscience #chile",humboldt biodiversity evolution species ecology evolution andes lizard naturalscience chile,|@shefalinath humboldt’s namesake?|😍|@gabiroba09 tao falando do teu crush|🥳🥳🥳,1144
9,,,"3/3. Rotating neutron stars or pulsars are known to have occasional unpredictable “glitches” where the spin rate suddenly increases. In 2016 the Mount Pleasant radio telescope in Australia happened to catch a glitch in action in the Vela pulsar. Now researchers at Monash University in Melbourne have used this data to get a better idea of the pulse-to-pulse rotation changes that happen during a rotating neutron star glitch. Their finding matches a model in which the core of the pulsar is more complex than previously thought.
.
The results were published in Nature Astronomy (doi.org/10.1038/s41550-019-0844-6) and first author Gregory Ashton offers a look behind the scenes of this discovery on the Nature Research Astronomy Community: go.nature.com/2TpwUeY (link in bio).
.
This image by @knoxcarl shows an artist’s impression of what the neutron star interior might look like (3/3). In the second photo Paul Lasky and Gregory Ashton pose in front of the illustration inspired by their work.
.
#astronomy #physics #neutronstar #pulsar #sciart #astrophysics",astronomy physics neutronstar pulsar sciart astrophysics,|😍|Theories on why the switch ???,922
10,,,"Working together as one mammoth team over 100 researchers have combined their ecology expertise and marine science skills in a six-year project to collate information about the abundance of stony corals from two and a half thousand reefs in the Indo-Pacific oceans.
.
These fascinating marine animals are found all over the world. Some stony corals (scleractinia) are solitary but most live as colonies with their hard external skeletons forming the foundation of coral reef ecosystems.
.
The scientists evaluated the abundance of stony corals to understand the ecological effects of 21 different climate social and environmental stresses.  The outputs of this epic team effort will help inform the development of coral reef management strategies to avoid collapse of the Indo-Pacific reef ecosystems.
.
Emily Darling is first author (along with 80 co-authors!) of the recent research paper detailing the work (see Nature Ecology & Evolution: doi.org/10.1038/s41559-019-0953-8).
.
A conservation scientist in the Marine Program at the Wildlife Conservation Society New York Emily is a strong advocate for collaborative approaches to collecting vast amounts of data.  She shares ideas and inspiration for successful collaborations on the Nature Research Ecology & Evolution Community (go.nature.com/2L5DmUG - link in bio).
.
Image 1: Shinta Pardede WCS Indonesia marine scientist on a coral reef survey dive in Indonesia.
Image 2: Dr Sangeeta Mangubhai and Dr Stacy Jupiter of WCS Melanesia surveying coral reef communities in Fiji.
Image 3: A recent coral reef data workshop in Fiji organised by Emily. Participants are holding up their hard earned data they recorded underwater! 😁
Credit: Emily Darling/Wildlife Conservation Society.
.
#coralreef #marine biology #conservation #bigdata #ecology #ecosystem #environment #climate",coralreef marine conservation bigdata ecology ecosystem environment climate,|That’s amazing!!!😄😍|👏|👌🌟🌟🌟|Olha aí @guilherme4840,1013
