,ID,shortcode,text,hashtags,comments,likes
1,,,"Photo by @roshni.lodhia. Meet Naronyo Nang’oiho. As part of a TNC-coordinated grassland management program he's ensuring his community complies with their new grazing plan that will ensure healthy pasture for both livestock and wildlife in northern Tanzania. “It’s true cows are our livelihood. In the past we had grass so even the wildlife were close by. These days it’s different. The dry season lasts much longer. In 2016 so many of our cows died. It broke my heart but I had no control over it. The other challenge is that when cows graze in one area repeatedly it leads to barren lands. My hope is that this program will help us return the grasslands to how they used to be. When the grasslands improve everything improves: The wildlife increases and the cows get big enough to sell which means we can educate our children and have food on our plates.” Asante sana to Naronyo and all partners making this important effort possible: Northern Tanzania Rangelands Initiative Mara Training Centre Ujamaa Community Resource Team Dierenartsen Zonder Grenzen and @africanpeoplewildlife.
#indigenouspeoplesday #sustainablegrazing #tanzania #portrait #protectpreserve #livenature",indigenouspeoplesday sustainablegrazing tanzania portrait protectpreserve livenature,|❤️|Praying you have success. ❤️|Great initiative|Great shot Roshni!!,507
2,,,"Photo by Alejandro Bratti. Celebrating World Animal Day with this sweet photo of two cheetah cubs hugging it out in the Maasai Mara. 🤗⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
From the photographer: “They were playing around and the light was perfect.” ✨ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Hope you love it as much as we do! 👏
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Thank you for helping us protect the lands and waters that so many species depend on to thrive. 💚⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#worldanimalday #cheetah #toocute #magicalkenya #protectpreserve #livenature #naturephotography",worldanimalday cheetah toocute magicalkenya protectpreserve livenature naturephotography,"|💕|👏👏👏❤️|❤️❤️❤️❤️❤️❤️|🧡🙏🏻|🙏🙏🙏 família livres|I have never ever made much money so easily I'm talking about $3,000 weekly  I'm really happy i never knew Sir Dembsey Armstrong was real until I tried. You too can make so mush money just like me DM Sir @dembseyarmstrong",992
3,,,"Photos by @roshni.lodhia and @amivitale.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Research shows that girls in western Tanzania who attended any amount of secondary school have about half as many children as other women. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Staying in school means these girls typically marry and start having children at a later age and education provides women more opportunities to become employed earn an income and reduce their overall reliance on natural resources. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
By educating girls we have a better chance of saving forests that are home to 93 percent of Tanzania’s chimpanzees and a lake that provides food and income for thousands of families. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Education can also make a big difference on the global scale: The Drawdown Project lists educating girls as the number 6 solution to climate change. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
But for the 80 girls at Lagosa Secondary School who have a new dorm from a group of generous TNC donors the impact is immediate. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Now Teresia spends her afternoons hosting study groups with her fellow students. Her classmate Zainabu can study for more than one hour’s worth of flashlight batteries. And Magdalena no longer has to fear walking home in the dark. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
This dorm is more than just a building: it’s safety it’s nourishment and it’s a plan for their future. And in the long term it’s a ray of hope for the resources everything — from the chimps swinging through the trees to the women collecting fresh water — depends on.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
These girls are thrilled! And there’s a little more time for you to help too. Check out ‪nature.org/educatingteresia‬ (link in bio). ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#backtoschool #girlsrule #changemakers #tanzania #protectpreserve #livenature #climatechange",backtoschool girlsrule changemakers tanzania protectpreserve livenature climatechange,"|Great info, great photos 👍🏼",401
4,,,"Photo by @roshni.lodhia. Safari sounds pretty good right about now. Wouldn’t you say? 💚
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Nestled in the space where private ranch lands to the south meet community rangelands to the north Kenya’s @loisaba_conservancy bridges these two worlds and is providing a model of how they can work together to benefit wildlife people and a sustainable nature-based economy.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Thanks to generous TNC supporters this 56000-acre wild gem was permanently protected in 2014. Since then it has become a hub for research and regional wildlife security and a source of practical knowledge and support for local communities including the 10.8-million-acres of community conservancies within @nrt_kenya.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Loisaba’s security team eliminated poaching on the property and the new mobile anti-poaching team based here serves 530000+ acres of community and private lands across this wildlife-rich region.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Applied research by partners on Loisaba’s lion leopard elephant and giraffe is informing conservation plans reducing human-wildlife conflict and promoting peaceful coexistence.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
New and updated ecotourism facilities promise to fund ongoing conservation of the property as well as community health education and development projects nearby.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
And the Loisaba Conservation Center’s exhibits teach international guests and local school groups alike about wildlife food webs and the connection between conservation and local livelihoods.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Yet Loisaba’s story has just begun. Up next: reintroducing rhino!
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
@elewanacollection @giraffe_conservation @wildlife_conservancy @lionlandscapes ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#worldtourismday #sustainablesafari #magicalkenya #protectpreserve #livenature #seetheworld #wildlife",worldtourismday sustainablesafari magicalkenya protectpreserve livenature seetheworld wildlife,|🦒💕|❤️|Perfeitoss Proteção conscientização|Does @loisaba_conservancy and @nature_africa have a wildlife conservation program? I'd love to find out more.|Stunning 😎|Wow love this pic💜|beautiful photo|👍🏻,1476
5,,,"Photo by @nickhallphoto. For generations the Hadza — one of Africa’s last hunter-gatherer tribes — has lived off the land roaming across open savannas and through unbroken forests bows in hand. They watch for wildlife among the grasses. They climb giant baobab trees in search of prized honeycombs. And each day they return to camp to share their bounty. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
For years the tribe had been watching their ancestral territory disappear. With the vanishing land came the threat of a vanishing culture the loss of a proud identity. The future looked bleak. But the Hadza tribe is writing a new story shaping a sustainable future for the land a rich legacy for their children. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
This story is made possible thanks to the vision and efforts of the many committed partners in the Northern Tanzania Rangelands Initiative (NTRI) — a collaboration of 10 organizations that TNC helped launch in 2014. With assistance from the Ujamaa Community Resource Team the Hadza secured legal rights over their remaining forested areas — the first traditional use agreement of its kind. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Building on this historic achievement the patient work of many years the Hadza also collaborated with @carbontanzania the Dorobo Fund and TNC to establish a mechanism that pays the Hadza for protecting their forest. Over the past five years more than $250000 in carbon payments have gone to the Hadza for their conservation efforts. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Tonight the Hadza’s success and NTRI’s collective efforts to support the sustainable future they envision is being celebrated on the world stage. Ezekiel Phillipo has traveled to NYC to accept the prestigious Equator Prize on behalf of the Hadza for a remarkable achievement: safeguarding 81000 acres of their homeland in Tanzania’s Yaeda Valley a way to protect the wild landscape they depend on and the traditional life they cherish. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#equatorprize #hadza #sustainablefuture #tanzania #protectpreserve #livenature #climateweeknyc",equatorprize hadza sustainablefuture tanzania protectpreserve livenature climateweeknyc,|Awesome!!!|❤️😊|One of my absolute favourite shoots ever. Eternally grateful to @nature_org for the opportunity to shoot in Tanzania and spend so much time with some very special people #hadza. 🙏|❤️❤️❤️|👏👏👏👏👏|❤️❤️❤️|👏👏👏,1127
6,,,"Photo and words by Morgan Hauptfleisch. 🦏
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
“Taken in one of Namibia's pristine conservation areas. The critically endangered Southern Black Rhino displays its power and temperament in a mock-charge. The exact location cannot be disclosed as poaching syndicates scour the internet for clues to the location of rhinos for their valuable horns.”
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Let's keep the World Rhino Day love going! Zero black rhinos have been poached in northern Namibia for two years. Thank you @savetherhinonamibia! 👏

#worldrhinoday #iloverhinos #rhino #namibia #protectpreserve #livenature #naturephotography",worldrhinoday iloverhinos rhino namibia protectpreserve livenature naturephotography,|Check out @kunstnow_ page 🔥|❤️😊👍🏻👍🏻‼️|❤️😊👍🏻👍🏻‼️|❤️❤️❤️ go you gorgeous rhino go!|😍|💗💗💗💗💗💗💗😍a😍|Da ist einer auf Krawall aus? Geh bitte rechtzeitig in Deckung. 😃 Tolles Foto 👍🦏❤️🇳🇦|How can a huge thing like that can run so fast 😲😍,1090
7,,,"Photos by @roshni.lodhia and words by @wahukagwi. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
“This is a special #fbf ❣😊
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Earlier in the year Tumi and I took a small vacae to @loisaba_conservancy with @nature_africa. She is in looooovvvveeee with wildlife so you can only imagine how thrilled she was!
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
We totally enjoyed hanging out with the kids at Ewaso Primary School — sang danced & did some artwork with them around conservation. Was wonderful to see the kids exchange stories on their experiences and love for wildlife. Our kids are such great ambassadors for nature and we really must conserve it for them and for the future generations.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Happy Friday fam! 😘”
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#backtoschool #education #childrenareourfuture #magicalkenya #protectpreserve #livenature",fbf backtoschool education childrenareourfuture magicalkenya protectpreserve livenature,|Love these pics!|👏👏👏 yes indeed. We must conserve our wildlife!,352
8,,,"Photo by @yswildlifephotography. We asked and you delivered! Thank you all so much for submitting your beautiful photographs — and the stories behind them — to @nature_org’s global photo contest. Head on over to nature.org/photocontest to see the winners like this stunning Grevy’s illusion. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#grevyszebra #magicalkenya #protectpreserve #protectwildlife #livenature #naturephotography",grevyszebra magicalkenya protectpreserve protectwildlife livenature naturephotography,|Thanks for the feature @nature_africa 🙏|❤️❤️❤️❤️❤️❤️❤️|🔥❤️|@blugeisha325 😍|😍|😍|Super🦓|Perfeitas🙏,1201
9,,,"Nothing like dancing it out in your dorm! 🙌 Photo video and words by @roshni.lodhia. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
“The girls were so excited to have us there and couldn't wait to show us their new dorm. They started to cheer and Teresia busted out her dance moves. Safe to say these young ladies feel comfortable being themselves in their new space which provides a nice haven for them to be girls have fun and detach from the responsibilities of daily life to focus on learning.” ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Swipe left for an awesome video of the girls’ dance party and check out nature.org/educatingteresia (link in bio) for more about Teresia and her new dorm near Lagosa Secondary School in western Tanzania.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#danceitout #danceparty #backtoschool #education #girlsrule #tanzania #protectpreserve #livenature",danceitout danceparty backtoschool education girlsrule tanzania protectpreserve livenature,|👏👏👏👏👏👏👏❤️❤️🙌🌺🌺|😍😍😍😍😍|🔥🔥🔥🔥🔥🔥🔥🔥🔥,601
10,,,"Photo by @amivitale. Recent population monitoring by the “Twiga Walinzi” (Giraffe Guards) research team and systematic aerial surveys by @kenyawildlifeservice have been able to provide the first detailed population estimates of reticulated giraffe for the region. However relatively little is known about giraffe movements in these landscapes.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
That’s why we’re working with partners to fit reticulated giraffes with specially solar-powered GPS tracking devices to gain a better understanding of giraffe movements habitat usage and population dynamics in an effort to better protect them. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Data collected from 11 giraffes fitted in 2017 has already provided vital information about movement patterns as well as movement corridors and preferred areas of habitat. And an additional 28 giraffes were successfully ‘collared’ across northern Kenya just this past month including five at @loisaba_conservancy! ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Cheers to everyone making this important work possible. It’s big. The largest giraffe collaring operation ever in fact. 🦒 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Head on over to loisaba.com/blog for more. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
@giraffe_conservation @sandiegozoo @smithsonianzoo @kenyawildlifeservice @nrt_kenya @loisaba_conservancy ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#giraffe #magicalkenya #protectpreserve #protectwildlife #livenature #naturephotography",giraffe magicalkenya protectpreserve protectwildlife livenature naturephotography,|Love this pic!! 🦒|💚|Great to work with you on this project to help Kenya's endangered reticulated giraffe.,686
