,ID,shortcode,text,hashtags,comments,likes
1,,,"Is our weather being made worse by climate change?
Find out how our Environmental Change Institute researchers answer this question... #trueplanet",trueplanet,"|👏👏💓💓💓💓💓|Amazinh|That's what humanity needs. Work together for the sake of the greater good.😊|#saveourearth🌍|250 years over a time span of million of years a normal fluctation occurs at the moment...there is no man made climate change🤔|@markchristopherfarah|👌|Thats how britain works|Those who deny don’t actually know what green house gases do or how the enhanced green house effect works they only know that the climate has changed extremely in the past but that’s because of natural events like the orbital theory volcanic theory or sun spots

@oxford_uni can’t apply here because of no grade 9s 😞|@ashley_amouin|I want to join to your  college but sadly I have no money I hope you help me 🙌😞|@shivic_10|@shivic_10 VSCO club|@fontenuvem|Very interesting|❤❤❤❤❤|Sugar baby needed I’m willing to spoil you dm me $300 weekly ASAP|🙌|@arthurfeidelson",3315
2,,,"Here’s visual artist @niklaselmehed official portrait painter to @nobelprize_org giving us a behind the scenes look at the Nobel portraits! 🎨 
You can spot three Oxford-related #NobelPrize winners in the illustrations - Sir Peter Ratcliffe Prof John Goodneough and Prof Stanley Whittingham. Head to www.ox.ac.uk  to read more about the prizes and the global impacts of their work. Full credits © @niklaselmehed @nobelprize_org media.
@oxford_chemistry @newcollege @magdalenoxford",nobelprize,"|Very striking and unique 👌💥🎨 ❤️|Awesome 🤩🤩🤩🤩|UT Austin prof represent! John Goodenough!|😋|@oxford_uni 👍👍👍 incredible|我們向你保證你正在尋找的年級。與我們聯繫; #essays #onlinecourses #researchpapers #quizzes＃校對和編輯#cssa
微信: 【essaysstore】
Email: assignmentwriters2015@gmail.com|Ayurveda Touch has now launched.  10 spots for free massage in exchange for a follow on instagram and a review.  Save £55.00 and message me today|&|My name is Mr mike gaffen  I live in Chicago U.S.
I am a full member of the Illuminati am among the 1252 lodge▲▲▲I
was ordained by the grand master to go out to the world and bring
more members so am sure you want to be among the people that will be earning $500000 per month and a brand
new car▲so add me up now so we can achieve this great chance
of being rich for▲...your life will change for good so don't miss this
chance of being rich for life add me on Whats-app ‭tel.+1 (719) 623-7503|👏👏👏",5196
3,,,Dr Lucy Woodall works in deep sea and coastal systems to understand the impacts of humans on the marine environment – watch this video to hear more about her work with the @nektonmission & read more at http://po.st/Nekton #TruePlanet,trueplanet,|Woow|President of Ethiopia won nobel prize post his photo then we will appreciate you|❤️|Interesting life...,2270
4,,,We’re proud to be part of the @nektonmission to explore and conserve the ocean gathering the data needed for sustainable management of the ocean. Read more at http://po.st/Nekton #TruePlanet,trueplanet,|💥|🙌🙌🙌👍👍👍|@denise.swn 👏|Greetings I wish you all the best. Respectfully Mohammad Hassan Sattari Toronto|👍👏|👍|👍🏻👏🏻🍀|Amazing🔥🔥🔥🔥|Ok,2096
5,,,As part of Black History Month we are celebrating those who make a positive impact on others. So who symbolises #BlackExcellence to Phoenix? Head to our Instagram stories to find out! #BlackHistoryMonth,blackexcellence blackhistorymonth,"|BLACK IS BEAUTY AND BEAUTY IS BLACK...|😊|☺️☺️☺️☺️|Denisse Kho might go home Wednesday next week. Kill! #icangotojeju #icangotolv|so handsome !|I was so
depressed thinking of debts to be paid
when I ran into the page of Mr Anderson 
and I decided to invest because I saw
this as a Golden opportunity Today i am earning massively from investing in
bitcoin.
Thank you. @andersonmoore0|Look alike big sean|Hello Everyone Get A Free Mining Device And $2500 Worth Of BTC On Your Very First Registration With The SYN Mining Organization It's BTC OutWord Give Away Period We Guess You Won't Want To Miss On This Golden Opportunity , This Offer Is Applicable To All Colleges Around The World And It Might Be Your Turn Today And NOTE That this SYN CRYPTO isn't collecting any taxes Or asking any money from you , you'll do the mining all by yourself and get your earnings it's legitimate and Simple.
+18155150479 info@Lunobtc9@gmail.com
Your Surest Way To Be A Millionaire www.Luno.com",2779
6,,,"Looking for the latest research on greenhouse gas emissions biodiversity loss and where our climate is headed? 
Follow our #TruePlanet work at http://po.st/true_planet [ 📸 Borisoff/Shutterstock]",trueplanet,"|❤️|Beautiful 👍😉|Nektron Mission|Nekton Mission|Attention Attention everybody. I came across this lady @__amelia_mia_ on Instagram And she introduced me to binary options/forex trade and bitcoin wallet also which I started trading with her. I started initially with the minimum investment wage of her company that's $500 to earn up to $5500 in a week and after that. She called me and told  me that my trade is due for withdrawal I was very skeptical and said she was joking and she said he wasn’t then she told me to pay for the withdrawal fee which I called her a scam. And she said “miss I’m not a scam i’m a real trader with license” then she sent over his trading license. After which I paid the amount not too long i received an alert from my blockchain e-mail that I just received bitcoin of $5500 now I’m very happy. So I will love you to be part of what is going on to me now. You can trade with her and get paid also like me contact her
@__Amelia_mia_|#nature #love ❤️❤️❤️|Become $30000 rich before the week runs out. Feel free to ask me how|Wow great landscape❕❕🌎|brilliant|😍|🙌🏼🙌🏼🙌🏼|سبحان الله|Save our planet.✌|👌👌👌👌|👌👌👌|Hi i am providing my services as an academic writerwith having 4 years of experience in management sciences field.I have written several research papers including dissertation case studies and business assignments.I can provide you report which is plagiarism free. Rates can vary depending on task.Feel free to contact me..|Beautiful just been to the Barrier Reef in Australia and it's so sad too see how degraded it is.",6160
7,,,"An absolutely massive congratulations to Peter Ratcliffe - winner of the 2019 #NobelPrize in Physiology or Medicine! 🎉 Peter is based at the Nuffield Department of Medicine @magdalenoxford and @thefranciscrickinstitute. Read more about his groundbreaking work at www.nobelprize.org/prizes/medicine

Copyright © Nobel Media 2019. Illustration: @niklaselmehed @nobelprize_org",nobelprize,"|That’s tooooo awosome 😍|Absolutely amazing|Congratulations|❤️👏|congratulations😮😂|Holy shit your supervisor! @peter.monkey.liu|Congratulations! 🎉🙌🎉|❤️👏🏻|Congratulations✨✨|This is amazing! Congratulations 😍|👍🏻👍🏻👍🏻🎉🎉🎉|👌👌|Why he's looking like Imran Khan?😂|This is so beautiful👏❤️🙌|Congratulations it's awesome 👏|congrats！|A massive congratulations to Prof Peter Ratcliffe and all Oxford community|😮👏 Congratulations|It's so amazing🖤 @oxford_uni|😍😍|🎈|Splendid..congo👏|Congratulations William G. Kaelin Jr Sir Peter J. Ratcliffe and Gregg L. Semenza well deserved! @oxford_uni @johnshopkinsu @danafarber|congrats👐|Omg he looks exactly like ex president of Ukraine Yanukovich 🙈|Congratulations! 👏👏👏|👏👏💐💐|Congratulations ❤️|Congratulations 💐💐💐|Sto studiando medicina|👏👏👏👍👍👍|Lean nel calice di fuoco|🙌🏼💫|@oxford_uni Please look at the messages I left for you|Well done Peter!|Congratulations ❤️|Congrats🙌|🇬🇧🌹🌷💐|Many congratulations👏👏👏👏👏|Congratulations 👏|Attention Attention everybody. I came across this lady @__amelia_mia_ on Instagram And she introduced me to binary options/forex trade and bitcoin wallet also which I started trading with her. I started initially with the minimum investment wage of her company that's $500 to earn up to $5500 in a week and after that. She called me and told  me that my trade is due for withdrawal I was very skeptical and said she was joking and she said he wasn’t then she told me to pay for the withdrawal fee which I called her a scam. And she said “miss I’m not a scam i’m a real trader with license” then she sent over his trading license. After which I paid the amount not too long i received an alert from my blockchain e-mail that I just received bitcoin of $5500 now I’m very happy. So I will love you to be part of what is going on to me now. You can trade with her and get paid also like me contact her
@__Amelia_mia_|Become $30000 rich before the week runs out. Feel free to ask me how|Absolutely fabulous @oxford_uni 👏🙏|@choudhury_sonali potential neet ques|Congratulations 🌺🌺🌺👏🏻👏🏻👏🏻👏🏻|That's amazing congrats!|Hi i am providing my services as an academic writer,with having 4 years of experience in management sciences field.I have written several research papers including dissertation, case studies and business assignments.I can provide you report which is plagiarism free. Rates can vary depending on task.Feel free to contact me..",6760
8,,,"“You need to understand what’s gone on in people’s lives.”
Leila a student at @balliolcollege1263_oxford explains why #BlackHistoryMonth and cultural history in general should be appreciated by everyone for everyone in our stories.",blackhistorymonth,"|当你一个跟你说 让你欠她一辈子，这样也要感谢，感谢什么|👏|Follow Oxford New York @oxalumny 🙌|Why the Black History Month celebrated??.....|Hello
Do you need help #assignment #essay #homework or fall online classes.
Email. onlineclassmanager1@gmail 
Whatsapp/Text: 469-369-0115|أخواننا اللي بالخارج  يشاركون هذا الهاشتاك حتى عودة الأنترنيت 🇮🇶🇮🇶🇮🇶 ‏#30_million_Iraqis_in_complete_isolation_from_the_world_after_the_Internet_was_cut_off 🇮🇶🇮🇶🇮🇶
#30_مليون_عراقي_في_عزلة_شبه_تامة_عن_العالم_بعد_قطع_شبكة_الانترنت_عنهم

#save_the_iraqi_people 🇮🇶🇮🇶🇮🇶|Oh... Happy Space Week... 🌷 ( 4 - 9 October ) 2019 🌷 👍 🌷 🚀🌷👌🌷|...Credit: universal_astronomy... 🌷|Hello I am here to help you get the most out of your university experience. My service is 100% confidential 100% plagiarism free always delivered on time and we have best researchers ready to help you. 
Services Covered;
√ Essay Writing Service
√ Assignment Writing Service
√ Research Writing Service
√ Dissertation Writing Service
1-518-347-9771|👏nice|👏👏|. I’m a sugar mummy  and I’m willing to shower you with gifts as I’ll give you $500 weekly in exchange for your attention and company. nothing sexual. I’ll like to hear from you.. t|I miss ❤️",2658
9,,,"“A celebration of culture is crucial for all people. It is not something you should feel ashamed of.”
Head to our stories where Josh a @kebleoxford student explains why #BlackHistory and #BlackHistoryMonth is important to him and who he thinks personifies #BlackExcellence.",blackhistory blackhistorymonth blackexcellence,"|Absolutely right Josh
That is the rich and fabulously diverse world 🌍 in which we live
All the very best in Oxford|مرحباً أيها العالم هناك شعب يقوم بثورة الآن، في شوارع العراق
Hello world there are people making revolutin now  in lraq! Show your support for right of lraqi people to protest Peacefully! #Save_the_Iraqi_people 
هذا الهاشتاك اريدكم كلكم تنسخوه وتنشروا بصفحاتكم الشخصيه وبالتعليقات شكد متكدرون لان اذا صار مليون هاشتاك يعتبر انتفاضه عالميه ويوصل صوتنا للعالم اذا لم نتمسك ونصبح يد واحده سنموت واحداً بعد واحد 💔|I am an Iranian . I wish to study law at this university and try to achieve my dream💪♥️|I'm sure one day I will come to Oxford University. This is my biggest  wish|I love science. But in Iran the conditions are difficult to study😭|#_save_the_iraqi_people|Exactly as they say home is the best|#save_the_iraqi_people💙🇮🇶|👏❤|Oh is my boi 🔥🙏|@ogabrielseiti @adilsoon_junior|@pedro.hos|I almost never hear about Native-American history ? Why is that ?|💛💛|Congratulations  this is the ture way of humanity|❤👏|university merchandise make you self conscious (according to study)|I'm here looking for stupid comments on a uni page 😂|My name is mr mike  I live in Chicago U.S.
I am a full member of the Illuminati am among the 1252 lodge▲▲▲I
was ordained by the grand master to go out to the world and bring
more members so am sure you want to be among the people that will be earning $500000 per month and a brand
new car▲so add me up now so we can achieve this great chance
of being rich for▲...your life will change for good.so don't miss this
chance of being rich for life add me on Whats-app ‭tel.+1 (719) 623-7503|Nice T Shirt can to buy it?|@joshdjaba 🔥|🔥🔥Hello I am here to help you get the most out of your university experience. My service is 100% confidential 100% plagiarism free always delivered on time and we have best researchers ready to help you. 
Services Covered;
√ Essay Writing Service
√ Assignment Writing Service
√ Research Writing Service
√ Dissertation Writing Service
1-518-347-9771|I hope someday I can study at Oxford🙏😭|👏👏|. I’m a sugar mummy  and I’m willing to shower you with gifts as I’ll give you $500 weekly in exchange for your attention and company. nothing sexual. I’ll like to hear from you.. t|Holasaaaa mckoiney|@naaam.priv my guy...look at the college init 😂",3958
10,,,"""We just deserve to be here. We don't need to be heroes."" What does #BlackHistoryMonth mean to you? Head to our stories to see what the month means to Andi from @balliolcollege1263_oxford and stay tuned over the month  to hear from more of our University community!",blackhistorymonth,|👍👍|The best😊💙💚|👍👍❤️❤️|🇩🇿|👍👍👍|Please look at the messages I sent you|Any scholarship for Pakistani students kindly dm me if have ?|#save_the_iraqi_people|🎩|@tsm_myth is that you|Your storues are really painful i know im not a black guy but i have hurt too much in my life so we are the same in so many cases|I too want to get into @oxford_uni after 2 years|n ramalho nolega anointed by god .. who has sin and is evil can't see me ... born without one of my ribs ... i'm being victimized by a satanic older brother made by the church and the brazilian government. .. just like the truman program attacking me everywhere in colleges ... i am an internet person ... with channel channels created to attack .. various incarnations on this planet amurates buddha adao jesus. ... orders that the memory of all my lives that is not called Brazil is attacked and this country wiped out on the map in God's honor that country is deleted on the map and with all Satan worshipers in Brazil dying. who come together for others and attack Brazil and kill them all ... a merciless attack ... I am a divine creator of the human race and humanity and responsible for their spiritual development ... do not world or society and thus eliminate Brazil and all Brazilians because I will judge them in the end|👏|👏👏|Elissss broo|❤️❤️❤️|👏👏,3700
11,,,"From battery storage to the role of nuclear in sustainable future discussions around energy policy can play a big role in climate change mitigation & today’s Oxford Energy Day is leading the conversation > http://po.st/yIcFue 
#TruePlanet [📸 geniusksy/Shutterstock]",trueplanet,|🌺👋👌|Spectacular 🔥🔥|😍|Sustainable energy rather than fossil fuels|👏|Wish you best luck|Please look at the messages I sent you|#save_the_iraqi_people|🔥❤️❤️❤️❤️❤️|n ramalho nolega anointed by god .. who has sin and is evil can't see me ... born without one of my ribs ... i'm being victimized by a satanic older brother made by the church and the brazilian government. .. just like the truman program attacking me everywhere in colleges ... i am an internet person ... with channel channels created to attack .. various incarnations on this planet amurates buddha adao jesus. ... orders that the memory of all my lives that is not called Brazil is attacked and this country wiped out on the map in God's honor that country is deleted on the map and with all Satan worshipers in Brazil dying. who come together for others and attack Brazil and kill them all ... a merciless attack ... I am a divine creator of the human race and humanity and responsible for their spiritual development ... do not world or society and thus eliminate Brazil and all Brazilians because I will judge them in the end|👏👏👏👏,3974
12,,,"Confused by the science behind the current biodiversity crisis? Unsure what you can do about it?
All today we’ll be posting Instagram stories from @morethanadodo – where we’ll be spending the day listening to talks music films and activities co-organised with #conservationoptimism and @extinctionrebellion. Head to stories to see what’s happening. [📸 M Thomas/Shutterstock]
#TruePlanet",conservationoptimism trueplanet,"|🌻💙|Remarkable|❤️👌👌|❤️❤️❤️❤️👌🏾👌🏾|افيش ياريحة هلي😔😂|Gorgeous!|VERY NICE👌|I don't remember solomon's flowers✨✨✨|Beautiful|Love so much this pict|❤️|❤️❤️🔥🔥wow|Let flowers grow!|❤️❤️🤩🤩|Pretty flowers✨|Nice pic|Beautiful❤️|Solasta|Hi dear friends! I need some help in physical training. Please share with me informations about ""the importance of physical education in personal and professional development"".|Hello look at the messages i sent to you|@narasu1ova salam sizdən kömək ala bilərəmmi?|excuse me MR/MRS ,, I interested for this university,, I have ambition for some time after passing from UNPAM one each University of Indonesian I'll go there to study english well🙏♥♥",6674
13,,,Extinction Rebellion and Conservation Optimism join forces at our Museum of Natural History this weekend in a day of activities around the current biodiversity crisis and what we can do to alleviate it... http://po.st/O9gNIf #TruePlanet [ 📸 K.Menden/Shutterstock],trueplanet,|adidas|لعنتی کجایی که من در به در دنبالتم😂💜.... دانشگاه از این بهترم مگه داریم 😍|“....and I rigged the game young...” Queen V ❤️|😍😘|🙏🇲🇽|🎬💚💛🐝|@basicgabril 💐🦋🐝|❤️|p|😍|Beautiful picture!|The Natural Order of procreation begins without chaos but by harmony and colourful species all majestically interacting in a beautifully captured photo.|@nishu.3870,4216
14,,,"Today’s #ClimateActionSummit is demanding an “unprecedented effort from all sectors of society” to tackle the defining issue of our age.
Find out what we need to do next via the link in our biog. #TruePlanet",climateactionsummit trueplanet,"|Responsible is globle warning|We are gonna die before go Oxford|Bomb the shit outta China they are the number 1 polluter|😢|Ice is beautiful|I'm looking for a sugar baby who is loyal honest and can keep my company talk to me when needed and give me advice sometimes. With an allowance of $700. First 60 tp like and follow me get $700 instantly. I'm legit 24 hours
#sugarmummyneeded 
#sugarbabyneeeded..Dm me|When body systems start to breakdown one by one when the liver kidney heart break down next is death. When people fight hate attack each other the universe can't hold itself together. We are all connected.We can't protect the earth if we still hate and fight each other it makes no sense for mother nature to save us! But we can try.|Nature has its own beauty|Please look at the messages I have sent to you|❤❤❤❤❤|Theirs no stopping it.|Azerbaycanlilar ses eleyin 👏|❤️|I really want to there|I really want to thereoxford university is my fav💙|Wow Ice falling global warming|😮😮|The place that i hope to come 💔💔💔💔💔💔💔💔💔💔💔|😯😯|@xibatvl|Thy climate",7679
15,,,"You might have seen the global ‘climate stripe’ – Oxford has its own. We’ve been recording temperatures since 1815 – the redder the stripe the warmer the year.

Want to more about our #climate research? Read more via the link in our profile. [Credit: @climatehawkins @UniofReading for Oxford’s Climate Stripe]

#TruePlanet #climatestrike #schoolstrike4climate",climate trueplanet climatestrike schoolstrike4climate,"|🌈🔥💜🙏🏼😻|Awesome job you all are doing but the recent stripes are alarming.|@aratrika_19|💙|❤️|😱|Sad 😔|Stop brainwashing ! Thats political left agenda no scientific at all ! Climate has been changing for millions of years ! Lets talk about preservation  sustentability...ReaL STUFF !|Oh it's great|👏👏👏👏👏|🔥🔥🔥🔥|@jasminirisha|😢🔥|😍👌|نبي منح منح|Wow 😳|Balıkesir Başarır Erkek Ögrenci Yurdu 2019 2020 kayıtlarımız başlamıştır.ögrencilerimizin rahat etmesi için herşey düşünülmüş olup 24 saat güvenlik sistemison sistem parmak izi ile giriş sistemi ve ortak kullanım alanları ile yeni sezona hazırdır.sizde yerinizi ayırtmayı unutmayınız.|It looks like netflix intro|Do something for the Earth 🌍|İf we didnt save the climate oxford will be exford😢|That climate|I wonder|Thank you for this visual|I'm looking for a sugar baby who is loyal honest and can keep my company talk to me when needed and give me advice sometimes. With an allowance of $700. First 60 tp like and follow me get $700 instantly. I'm legit 24 hours
#sugarmummyneeded 
#sugarbabyneeeded..Dm me|👏",5865
16,,,If you took part in today’s #YouthStrike4Climate movement and have questions around the latest climate work – from shifting to renewable energy to how extreme weather is linked to man-made climate change – check out our #TruePlanet research via the link in our biog.,youthstrike4climate trueplanet,"|@sam.kx1|But there is Kepler-452b|@universityofauckland|PiANET!?😂|Who tell you planet is hetero ? (b/bi... please laugh)|There’s mars duh|@g._.tsop|There might be a Planet B or even more. Yet even in that case too we should take a good care of our existing planet Earth.|save🌎🌎🌎🌎|🙌🙌🌱|@oxford_uni This strike is a good thing but “renewables” only will not work and you guys should change this. Renewable energy on its own will not solve the problem. The researchers in both energy markets/policy and power generation technology at Oxford University (I am speaking as a representative of the latter) are well aware that shift to renewables-only would not be a successful solution to the climate crisis. Yes you read this right - it is not climate change anymore but a climate crisis. Renewables + nuclear is the ultimate carbon free energy mix of the future.|Innerspace to the rescue.|💪🏻❤️ @lintaanggp @ummunzakia @devintasn_ @maela_fs|I see u liked this post 👍@bangkit_sm|@kmadanil @iran_ngo|What happened today?|nice|👍👍👍|☹️|Yet*|👏🏻👏🏻👏🏻|Zarmina|@robertgreenpartivert|What about MARS|👏👏👏|🙌|And there is the limit in this limitless world|>Send me Book Name and Author name for Book PDF just @₹10 or $1 or £ 0.5 only
>Billions Books are available 🥰
> all Kind of stationary available > all kind of electronic gadget Available 
@ low prices
https://chat.whatsapp.com/K4ZriP7UH4HAWh573IHuXF
✅Send books nameAuthor and edition
✅Check availability ✅Pay online
✅Send screenshot of payment
✅Receive PDF online on your whatsApp🥂|Mars..",7255
17,,,It's #OxOpenDay! ☀️ We hope everyone is having a good time exploring the city - and quizzing our students and staff! There are lots of people on hand to help so don't be afraid to ask questions.,oxopenday,|@ferryanayunita I'm sure you pingin rene :v|wow😍😍😍😍😍|😍😍😍|💚|Been there seen that/it...|😍|Wow💛💛|Not human proffersers and human thinking universities meJesus universities human life adventure universities not any available to any universities any proof|👏|she is hereeee🔥|Highly qualified advisors and I found one of them so supportive. Thanks|It my dream to study here😔|Do you find great students attractive? You have have a beautiful mind! Follow #StudentTeachStudent|Salutatemi il mio compaesano|👍👏,5504
18,,,"As temperatures rise so does the likelihood of extreme weather and the risk of losing ecosystems like coral reefs. The good news is that scientists estimate that if we limit global warming to 1.5 degrees by 2030 we can reduce many of those negative outcomes...
🌎 #trueplanet",trueplanet,"|No stfu|No|I mean im warm so ....|Press X to doubt|@jamie_woodington|@kevinn_guo|Temperatures are getting higher than the difficulty of the Oxford MLAT and THAT is saying something.|Is Oxford university a vegan establishment now then or are you not actually practicing what you preach?|Eight thousand years ago global temperatures were much hotter than now! 7-8 degree hotter! Evidential research proves this! And guess what! No human influences contributed to it! Stop spreading fake news!|We are over populating so if we stopped the heat we would die from starvation anyways x|No|Fake news|@thisisagentace2050|No they’re not|Ma ears are dying listening to this pish|No|This is scary @charlotte.lidgate|Yeh you guys are so much smarter than oxford|Why don’t we make a big fridge and put the world in it??|What’s the deal that Oxford invest in fossil fuels ?? (Like I don’t actually know someone tell me?)|I never knew people could deny such overwhelming evidence. Ignorance is bliss.|💔😙|can you guys accept me lol|🌲🙌|Save the world🌎👍|Earth is only one👌every single act of you matters!|@clara.mouton|If it is man made then man should think about it. Small steps at daily routine level can work. e.g less use of fossil fuels walk or use public transportation plant a tree or more and many more small things like this.|I'm getting scared and nobody is doing anything about it|Adaptations will help genetically modify humans with reptile dna to grow scales and have more adaptive features to such extreme high temperatures|💖👍👍👍👍|When they say something to us we want to make Sure we marsh it|Planting more trees would prevent all that too|More thn ppl othr species of our planet r suffering!!! 😕😟😔|Is there honestly a climate change or is this only a ""political game"".|Serem yah @mayamuchlis @anindamek|STOP THE LEFT AGENDA ! CLIMATE HAS ALWAYS CHANGED ! does @oxford_uni also supports 789 human genders ? Also supports oppened borders ? Come on ! Stop making politics ! Stop MARXIST GLOBALIST AGENDA !|The world should follow the example of Brazil where 62% of native forest still preserved and 85% of industry energy is CLEAN ! CLIMATE IS CHANGING FOR MILLIONS OF YEARS ! THATS A POLITICAL ISSUE NOT SCIENTIFIC ! lets preserve and take care but there are no reasons for panic !|How many persons dies from cold temperatures ? Come on ! Stop the left agenda ! This is ridiculous ! All about politic. Come on.|Regarding Worlds best minds"" yes! We need'em. S Hawking also stated that at some point humanity would stand shoulder to shoulder since land mass is a constant. We al know that this is wrong...""worlds best minds"" and all...|हाँ|Also be very carefull with stating exact figures and dates that far into the future today we can't even predict and give an acceptable wether forcast 5 days ahead.|🧠 💪|May have caused 70.000 deaths? How can you say that without beeing sure about it? Further you comic shows that a nuclear plant is removed and you should know that nuclear plants don't cause any co2 and climate change (but of course have other issues). Sorry but this post is very poor!|♥️|I think it’s 100 on the BBC list!|@resinmarsel|Instead of using term ""climate change"" try to use ""climate crisis"" or ""climate emergency""|now is climate crisis|That is right|Yes|Okay but u still invest in fossil fuels tho|Shame you can acknowledge this and yet the uni still invests massively in fossil fuels...|Most of the Oxford Uni Colleges invest in the fossil fuel industry|Don't you invest massively in fossil fuels tho|And yet you still invest in Fossil fuels?|At Mousuni an island in the Ganga-Brahmaputra Delta less than 100 miles from my city almost one 1/4th of the inhabitants have lost their homes to the sea. Documents still bear these ghost addresses on them which are now under the sea|Well. For sure there is a change in climate. Here in Poland summers used to be warm but windy so it made one feel mostly chilled. Nowadays (around 10 years later) it's boiling hot with no wind nor rain whatsoever. Also there is less storms than it used to be and if there occurs one it's strong than what I would expect. I realise it could be a time change of weather. But what concerns me is maybe even not the temperature. It's the trash we get rid of every single day be it market food waste or home plastic waste. As for food it is organic so it won't be an obstacle but seriously the amount of wasted food during the harvest market and preparing processes would diminish the world hunger problem. And as to the plastic it is a bigger problem. Simple to produce and keep but later on it is only a waste of space time and health. Not many plastic packages are safe for human health and it works for animals too. I hope that we all will wake up at some point and try to do something for the environment as people and not wait for the organizations to solve the problem. We also have the power we just need to start doing and stop hoping and waiting. Love!💛|@robertgreenpartivert|No|You know you do still invest in fossil fuels... try leading from the front this time|Fake news|Thanks...This really help me about my IB geography :)|i've heard that you guys invest in fossil fuels? correction: it seems like a well known fact do you think you should actually be environmentally friendly on the inside AND out rather than just posting about it while killing our planet :))|We need nuclear power stations again|Come on your oxford university stop spreading this fake news. Science has proved we have no effect of climate change and there is no way to stop it. It has been happening for hundreds of millions of years longer than humans have been around 🤦‍♂️ but then again universities aren’t for education any more there sole purpose is to indoctrinate kids into a liberal mentality. Shame on you.|NO PEOPLE ARENT DYING BECAUSE OF CLIMATE CHANGE THE OPPOSITE LESS PEOPLE DIE DUE TO NATURAL DISASTER THAN AT ANOTHER POINT IN Recorded history. The First Church of Climatology sure does like missing out and mis repressing facts don’t you 🤦‍♂️🤡|💖💖|💔😙",7602
19,,,Oxford will be the first UK city to hold a Citizens Assembly on Climate Change. Hosted by @oxfordcitycouncil & our own @oxfordsbs the #OxfordCitizensAssembly will feature around 30 expert speakers including from our university - more at http://po.st/983sLG #TruePlanet,oxfordcitizensassembly trueplanet,"|❤️😍|What a view certainly remember walking these streets fondly...|We have some models for you! With so much left to do we look forward to the interaction and exchange! Love Dan|Wow 😍|@claire.r.wang|👏|🎈|❤️❤️❤️|I'm going to come here soon💪💪💪❤|😍|That's wonderful!!! 🎉🎉|❤️|Pengen sklh disini ya allah 😭🙏|One day i will be there|😍 Wonderful ❤️ OXFORD|😍😍|😍|😊🔥💚|👏👏❤️|Such an enchanting city.|❤️|One day❤️|Save the BEARS! 🐻 👏|Very nice|This pic is so so beautifull😍|Wow!!!|👌👌👌|Please look at the messages I sent you|Masya Allah😍 I'm going to come here soon🙏😍❤️❤️❤️|@sebastiansoneyra 😍 great!!|So gorgeous!🤩💕|We will be there soon🙃☺️|Favorite University🙏 Hopefully one day I can study at Oxford University🙏|Love love love|♻️🌎💚|I'll be there soon... 😊|Looking forward to this 
Merlin 🧙‍♂️|if anyone need a taxi from airport please DM me|One day|@pierrezrm @sebzein|👍|#mantapjiwa 🇮🇩|I want study English in your university|Waiting for it ❤️|😍😍😍😍💜|انشاء الله💔|cool!!|Go Oxford! ✨🙌🌱❤️|@zarwanda_az InshaaAllah jadi calon sekolahku wan wkwk|@oxford_uni Important work 👏|💖😘😍💋|Ich gratuliere ihnen 🌹♥️|Allahumma Sholli 'ala Sayyidina Muhammad. Wa 'ala ali Sayyidina Muhammad :""""|👏👏👏👏|One of my favourite places on the planet! 🌟|👌👏#Oxford|He will come there🙃!|Beautifullllllllllllll 😍😍😍😍😍😍😍|😍😍😍🇺🇿🇺🇿🇺🇿❤️❤️❤️|@isabellaconte_ what a uni! so Jealous right now :P|❤️|This is my dream ❤️|🔥|So pretty|I wonder|Amazing pic|One day😍|Wow... what a click|Allahım ne olurdu biraz beyin verseydin de Oxford a gitseydim|There is great and I'm going to come here one day 🌸|@pretinelakandi kapan bisa kesana?|Wow that’s stunning! 😍|🔝👏🏻|So beautiful|Energy saving must be taken into measure to build a better place for the planet.|Soo beautiful😍 Bismillah Allohumma sholli'ala sayyidina Muhammad wa'ala ali sayyidina Muhammad one day",18690
20,,,Leading academics policymakers civil society actors and business leaders from around the world are meeting in Oxford to discuss what net zero means and how it could be achieved. #TruePlanet,trueplanet,|Hello|👍🏻|🖒🖒🖒|🔥🔥🔥🔥🔥🔥🙌|Welcome Net zero 🌸|👏👏👏👏|I like this work can you come and work in Africa?|That good but we just have something make a little elektrik to be big power elektrik|@cwasinger @jac0br0b @agus_zavala|@mrazkenari  none from Australia I bet.|🌍🌎🌏|Nice 👍🏻 @satenglishmaster|Please read my messages Believe you will be interested|Perfect speech..got motivated..thanx @oxford_uni,2133
21,,,In June the Government made a commitment to reach net zero carbon emissions by 2050 but how do we actually get there? Our 'Achieving Net Zero Conference' starting today brings leading academics and policymakers together to find the answers: http://po.st/Net_Zero_Conf #TruePlanet,trueplanet,|Perfect❤️💙|💕|Love the research you do.|hey|🙋👍|👏👏👏|What a nice picture 😍😍😍|Good|@jujulemons oh look a ⭕️|🎈|🦊😍✌️👏|❤️❤️|Yes!👏👏👏❤️💜. How did we get so far off track?!!!|@oxford_uni will you commit to the principles for guiding investment towards a stable climate that have been developed by your own researchers (Millar et al. 2018)?|Omg love this 🙌🏽|Take me in Oxford|Totally fascinating|Follow Oxford Alumni Association of New York @oxalumny x|💪✨💙❤️|🔥🔥🔥👏👏|Love the research u do|👏👏 great|I wish one day i cloud be study in your campus😅,9263
