,ID,shortcode,text,hashtags,comments,likes
1,,,"#ptiphotos 
Sikhs place ornamental flowers in a boat to decorate the curbs of the sanctum sanctorum of the Golden Temple during celebrations of the recently concluded 485th birth annversary of the fourth Sikh Guru Guru Ramdas in Amritsar.

#amritsar #goldentemple #sikh #gururamdas #festival #photooftheday #instadaily #ig_daily #bestoftheday #flowers",ptiphotos amritsar goldentemple sikh gururamdas festival photooftheday instadaily ig_daily bestoftheday flowers,|🙌👏,152
2,,,"#ptiphotos 
A vendor sells bubble-making toys at Marina Beach in Chennai.
#chennai #photoftheday #picoftheday #india #instadaily",ptiphotos chennai photoftheday picoftheday india instadaily,|Please tag the photographer,231
3,,,"Photo by @manvendervlav 
#ptiphotos 
Reflection of Goddess Durga i idol is seen on an oil lamp at Arambagh Puja Pandal during the ongoing Durga Puja festival in New Delhi.
#durgapuja #festival #god #india #bengali #celebrations #photooftheday #picoftheday #navaratri",ptiphotos durgapuja festival god india bengali celebrations photooftheday picoftheday navaratri,|👌 Nice capture.|Nice pic jai mata di,223
4,,,"#ptiphotos
Police personnel detain students during a protest against cutting of over 2600 trees in Aarey Colony a green belt to make way for a Metro car shed in Mumbai.
#treecutting #aarey #protest #deforestation #maharashtra #metro #mumbai #nature #globalwarming #news #lattergram",ptiphotos treecutting aarey protest deforestation maharashtra metro mumbai nature globalwarming news lattergram,|shame|Photgrapher's name please,308
5,,,"#ptiphotos
Battered by heavy rainfall for the third consecutive day Bihar lost at least 18 lives on Sunday to mishaps caused by the downpour that inundated streets water-logged railway tracks and marooned business
establishments. The state capital continued to be among the worst affected some of its parts submerged in water levels rising up to the chest and its residents being rescued with the help
of municipal cranes normally used for moving earth.
#bihar #floods #weather #climate #rain #monsoon #photooftheday #picoftheday #news #india #asia",ptiphotos bihar floods weather climate rain monsoon photooftheday picoftheday news india asia,|🙌🌹|😔😔😔😔😔,221
6,,,"#ptiphotos 
A man helps a scooterist to cross a flooded road along the Sambhaji Lake that overflows following heavy rainfall in Solapur district.
#floods #weather #monsoon #ganga #river #india #asia #photooftheday #picoftheday #lattergram #instadaily #instagram #nature #climatechange",ptiphotos floods weather monsoon ganga river india asia photooftheday picoftheday lattergram instadaily instagram nature climatechange,|👏,111
7,,,"#ptiphotos 
A Rajasthani man plays a ""Ravanahatha"" (traditional stringed instrument) in Pushkar. 
#music #tradition #sunset #sky #musician #photooftheday #instadaily #ig_daily #ravanahatha #silhoutte",ptiphotos music tradition sunset sky musician photooftheday instadaily ig_daily ravanahatha silhoutte,|Very nice amazing|🙌🙌nice @ajay_rawat00  ji|Great @ajay_rawat00  Bhai ji|Beautiful click @ajay_rawat00|😍😍😍😍❤️👌,146
8,,,"Photo by @sunil.r.khandare 
#ptiphotos 
In this April 29 2018 file photo Bollywood actor @amitabhbachchan waves to his fans at his residence in Mumbai. Bachchan on Tuesday Sept. 24 2019 was selected unanimously for Dada Sahab Phalke Award.

#amitabhbachchan #amitabh #photooftheday #bollywood #celebrity #dadasahebphalke #instadaily #igdaily #cinema",ptiphotos amitabhbachchan amitabh photooftheday bollywood celebrity dadasahebphalke instadaily igdaily cinema,|❤️,232
9,,,"#ptiphotos 
Flood-affected residents carry their belongings as they relocate from a low-lying area on the bank of River Ganga to a safer place in Patna. 
#patna #flood #bihar #ganga #instadaily #ig_daily #f4f #follow4follow #photooftheday #bestoftheday #india #indiagram #asia",ptiphotos patna flood bihar ganga instadaily ig_daily f4f follow4follow photooftheday bestoftheday india indiagram asia,|👏🌹|Fantastic click,129
10,,,"#ptiphotos 
Floodwaters surround the areas by the River Ganges in Prayagraj. Heavy monsoon rains have raised the water level of the Ganges River above the danger level triggering evacuation of thousands of people from flooded homes around the area.

#prayagraj #flood #uttarpradesh #climate #climatechange #photooftheday #instadaily #ig_daily #bestoftheday #followforfollow #f4f #ganga",ptiphotos prayagraj flood uttarpradesh climate climatechange photooftheday instadaily ig_daily bestoftheday followforfollow f4f ganga,|🙌❤️,107
11,,,"Photo by @its_deepshiva 
#ptiphotos 
A farmer burns paddy stubble in a field on the outskirts of Amritsar.
#airpollution #stubbleburning #pollution #farming #india #asia #photooftheday #picoftheday",ptiphotos airpollution stubbleburning pollution farming india asia photooftheday picoftheday,|🙌❤️,96
12,,,"Photo by @miteshbhuvad 
#ptiphotos 
Bollywood actor @beingsalmankhan performs at the 20th IIFA awards ceremony in Mumbai.
#iffa #salmakhan #bollywood #celebrity #india #asia #instadaily #mumbai #photooftheday #picoftheday",ptiphotos iffa salmakhan bollywood celebrity india asia instadaily mumbai photooftheday picoftheday,|Excellent picture @miteshbhuvad|Gadar😂😂😂|Wonderful picture sir @miteshbhuvad|Lovely|#FabulousClick @miteshbhuvad 😍,272
13,,,"Photo by @manvendervlav 
#ptiphotos 
A view of the illuminated Safdarjung Tomb in New Delhi. 
#safdarjungtomb #heritage #monument #delhi #indiapictures #photooftheday #architecture #instadaily #ig_daily #bestoftheday #newdelhi",ptiphotos safdarjungtomb heritage monument delhi indiapictures photooftheday architecture instadaily ig_daily bestoftheday newdelhi,|Shaandaar🔥,159
14,,,"#ptiphotos 
Women walk through a waterlogged road following heavy rainfall in Vijayawada.
#rain #flood #rain #weathers #india #vijayawada #asia #picoftheday #photoftheday",ptiphotos rain flood rain weathers india vijayawada asia picoftheday photoftheday,|With this kind of brilliant content you are going to gain a lot of followers and likes! Keep up with good posts!,165
15,,,"Photo by @ravindra.photojournalist 
#ptiphotos
A dog is stranded on a boulder among the strong currents of Narmada river following heavy monsoon rain at Bhedaghat in Jabalpur.
#river #monsoon #dog #picoftheday #photooftheday #rains #narmada #india #asia #instagram",ptiphotos river monsoon dog picoftheday photooftheday rains narmada india asia instagram,|Was he saved??,157
16,,,"Photo by @umar.ganie 
#ptiphotos 
An elderly man takes a nap near a closed market during restrictions in Srinagar.
#srinagar #kashmir #india #picoftheday #lattergram #photooftheday #asia",ptiphotos srinagar kashmir india picoftheday lattergram photooftheday asia,|This is a classic image|😞,104
17,,,"Photos by Anand Sharma 
#ptiphotos 
Muslim women watch from windows as devotees carry 'Tazia'(unseen) during a Muharram procession in Ajmer.
#muslims #muharram #india #shia #rajasthan #asia #photooftheday #picoftheday #instadaily",ptiphotos muslims muharram india shia rajasthan asia photooftheday picoftheday instadaily,|Great Work @as.photojournalism_ ji|Nice work|🔥🔥🔥🔥|Ultimate clicks sir @as.photojournalism_,184
18,,,"Photo by @atulyadavpti 
#ptiphotos 
A troop of monkeys walk across a road at Rajaji Marg in New Delhi.
#monkey #india #asia #photooftheday #picoftheday #delhi",ptiphotos monkey india asia photooftheday picoftheday delhi,"|👌nice shot|@atulyadavpti beautiful sir.|Oh, I do not like them and so many😮",212
19,,,"Photos via ISRO @senthilpti  @shailendrabhojak

#ptiphotos  As the nation awaits with bated breath for the soft-landing of the 'Vikram' lander on the south pole of the lunar surface the first attempt by any country we take a look at the journey so far of Chandrayaan-2.  At exactly 1:55 am on Saturday Sept 7 2019 the Chandrayaan 2 is scheduled to make a soft landing. This tricky maneuver of 35 km till the lander and the rover land on the moon's surface without any injury will be ""15 minutes of terror"" even for the top scientists at space agency ISRO.

Photo 1: GSLV MkIII-M1 / Chandryaan 2 vehicle night view at the Second LaunchPad.

Photo 2: Satish Dhawan Space Centre in Sriharikota Andhra Pradesh

Photo 3: ISRO personnel work on the orbiter vehicle of Chandrayaan-2

Photo 4:  Lift -off of Chandrayan 2.

Photo 5: People watch the launch of Chandrayaan 2.

Photo 6: ISRO successfully launches GSLV-MkIII-M1 rocket

Photo 7: First set of images of the Earth captured by Chandrayaan-2 Vikram Lander

Photo 8: ISRO Chairman K Sivan displays a model of Chanrayaan 2 orbiter and rover during a press conference. 
Photo 9: Images of Lunar Surface captured by Terrain Mapping Camera -2 (TMC-2) of Chandrayaan 2. 
#chandrayaan2 #chandrayaan #moon #space #moonmission #india",ptiphotos chandrayaan2 chandrayaan moon space moonmission india,|Best of luck to entire team 💐,165
20,,,"#ptiphotos 
A view of Mumbaikars braving the heavy monsoon rainfall as it lashed the city and surrounding areas on Tuesday and Wednesday. A lull in the rains today offered much-needed respite with trains and traffic returning to normal. Schools and junior colleges in the city would remain closed on Thursday following a government directive. .
#mumbai #maharashtra #monsoon #rainfall #weather #climate #climatechange #globalwarming #public #instagram #picoftheday",ptiphotos mumbai maharashtra monsoon rainfall weather climate climatechange globalwarming public instagram picoftheday,|🚨|What mumbai perhaps needs immediately is  an extensive overhaul of its rainwater drainage and storage systems. Instead what government is investing on is expensive and uneconomical transportation like Mumbai Pune hyperloop.,255
21,,,"Photos by @its_deepshiva 
#ptiphotos 
Chaos ruled at a firecracker factory in Batala of Gurdaspur district today evening after a blast which claimed atleast 21 lives and injured more than 27. Teams of the National Disaster Response Force (NDRF) and the State Disaster Response Force (SDRF) have been deployed for the rescue operation.

#batala #gurdaspur #blast #firecrackerfactory #breakingnews #news #indianews #ndrf #instadaily #ig_daily #photooftheday #india",ptiphotos batala gurdaspur blast firecrackerfactory breakingnews news indianews ndrf instadaily ig_daily photooftheday india,|So sad,131
22,,,"#ptiphotos 
Farmers lay jute in a pond for decomposition in Nadia district of West Bengal.
#india #asia #picoftheday #photooftheday #farming",ptiphotos india asia picoftheday photooftheday farming,|follow @michh__elinaa 🌹❤️🌹❤️,123
23,,,"Photo by @senthilpti 
#ptiphotos 
A Lord Ganesha idol brought from Maharashtra being carried to a pandal for Ganesh Chaturthi celebrations at the Central Railway Station in Chennai.
#chennai #india #photooftheday #picoftheday #asia #lordganesha #festival #hindufestival",ptiphotos chennai india photooftheday picoftheday asia lordganesha festival hindufestival,|Veera vinayaga,383
24,,,"#ptiphotos 
Fishermen silhouetted against the setting sun as they return from Brahmaputra River in Guwahati.
#guwahati #assam #india #nature #sunset #photooftheday #picoftheday",ptiphotos guwahati assam india nature sunset photooftheday picoftheday,|👍❤️|Photographer name pls..!!,145
25,,,"#ptiphotos 
Students wave as they stand outside their classrooms painted like passenger compartments of a train at Govt. Maharani Girls Sr. Secondary School in Bikaner.
#bikaner #rajasthan #school #train #picoftheday #photooftheday #instadaily #india #asia #indianrailways",ptiphotos bikaner rajasthan school train picoftheday photooftheday instadaily india asia indianrailways,|👌,203
26,,,"Photo by @sunil.r.khandare 
#ptiphotos 
Bollywood actor @katrinakaif walks the ramp showcasing a creation by designer @manishmalhotra05 at the Lakmé Fashion Week (LFW) Winter Festive 2019 opening show in Mumbai.
#celebrity #lakmefashionweek #fashion #mumbai #bollywood #photooftheday #picoftheday",ptiphotos celebrity lakmefashionweek fashion mumbai bollywood photooftheday picoftheday,|Niceeeeee!,130
27,,,"#ptiphotos 
A man walks on the Old Yamuna Bridge which has been closed for traffic due to rise in the water level of the Yamuna river after release of water from Hathni Kund barrage.

Photo by @arunsharmaht 
#yamuna #waterlevel #photooftheday #instadaily #ig_daily #oldyamunabridge #flood #standalone #",ptiphotos yamuna waterlevel photooftheday instadaily ig_daily oldyamunabridge flood standalone,|Hello please like my recent post i will back too💓,185
28,,,"Photo by @theankurbhaskar 
#ptiphotos 
A chopper of the Indian Air Force approaches to airlift two persons stuck on an under-construction bridge at the flooded Tawi river in Jammu.

#jammu #airforce #tawiriver #flood #bridge #rescue #photooftheday
#instadaily #ig_daily #bestoftheday #indiapictures",ptiphotos jammu airforce tawiriver flood bridge rescue photooftheday instadaily ig_daily bestoftheday indiapictures,|👌,194
29,,,"Photo by @dineshbikaner 
#ptiphotos 
An attempt to capture light trails of the traffic using the 'long exposure' technique at a round about in Bikaner on the occasion of World Photopgraphy Day in Bikaner. 
#worldphotographyday #photography #photooftheday #instadaily #igdaily #longexposure #colours #lighttrail #indiagram #instagram #indiapictures #bikaner #rajasthan",ptiphotos worldphotographyday photography photooftheday instadaily igdaily longexposure colours lighttrail indiagram instagram indiapictures bikaner rajasthan,|@dineshbikaner,115
30,,,"Photo by @its_deepshiva 
#ptiphotos 
Border Security Force and Pakistani Rangers personnel take part in the beating retreat ceremony at the India-Pakistan Attari-Wagah.
#india #pakistan #beatingretreat #attari #wagah #photooftheday #picoftheday",ptiphotos india pakistan beatingretreat attari wagah photooftheday picoftheday,|🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳💪🏼💪🏼💪🏼💪🏼💪🏼💪🏼💪🏼💪🏼|👏,291
31,,,"#ptiphotos
""Where the mind is without fear
and the head is held high
where knowledge is free...
In to that heaven of freedom my father
LET MY COUNTRY AWAKE!"" ---- Rabindranath Tagore Gitanjali .
.
.
Wishing everyone a very happy Independence Day.

Photos by @miteshbhuvad Ashok Bhaumik @vijayvermapix @shailendrabhojak

#independence day #nationalflag #parade #dance #culturalperformance #photooftheday #instadaily #ig_daily #bestoftheday #instagram #india #indiagram",ptiphotos independence nationalflag parade dance culturalperformance photooftheday instadaily ig_daily bestoftheday instagram india indiagram,"|Follow all the international news 24h / 24h, be informed of the continuous news, in images and videos on Facebook, Instagram and Twitter on @leflambeaufr",270
32,,,"Photos by @atulyadavpti 
#ptiphotos 
Parliament building lit up in multiple colours after new lighting system in New Delhi. The exterior of Parliament has been installed with permanent colourful lights ahead of the 73rd Independence Day celebrations.
#independenceday #india #parliament #photooftheday #picoftheday #asia #indian",ptiphotos independenceday india parliament photooftheday picoftheday asia indian,|Awesome👏✊👍 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,157
33,,,"#ptiphotos
Workers rescue a stray dog trapped in a flooded region at Thanneerpanthal  in Kozhikode. 
#weather #rain #floods #india #asia #picoftheday #photooftheday #igers #animal #dog",ptiphotos weather rain floods india asia picoftheday photooftheday igers animal dog,"|Follow all the international news 24h / 24h, be informed of the continuous news, in images and videos on Facebook, Instagram and Twitter on @leflambeaufr",177
34,,,"#ptiphotos

Bollywood actor @nawazuddin._siddiqui during the promotion of 'Sacred Games' Season 2 in Mumbai. 
#sacredgames #netflix #netflixindia #bollywood #nawazuddin #actor #celebrity #photooftheday #instadaily #igdaily #portrait #instagram #india @netflix_in @sacredgames_tv",ptiphotos sacredgames netflix netflixindia bollywood nawazuddin actor celebrity photooftheday instadaily igdaily portrait instagram india,|Aye😍|Who is the photographer? @ptiphotos,162
35,,,"Photo by @sharma.aaaa 
#ptiphotos 
Children sit under a structure along the bank of River Yamuna as the historic Taj Mahal is seen in the background on a rainy day in Agra. 
#agra #clouds #cloudporn #monsoon #tajmahal #igdaily #photooftheday #instagram #hertiage #river #yamuna #indiagram #india",ptiphotos agra clouds cloudporn monsoon tajmahal igdaily photooftheday instagram hertiage river yamuna indiagram india,|That's a nice shot at the Taj! 🙂,154
36,,,"Photo by @theankurbhaskar 
#ptiphotos 
A scooterist loses his balance on water lodged road during rainfall in Jammu.
#jammuandkashmir #rain #people #picoftheday #photooftheday #india #asia",ptiphotos jammuandkashmir rain people picoftheday photooftheday india asia,|Woohhhhhh wat a shot|😱|Great shot📸👌🏽|Gadarrrrr🔥🔥🔥🔥👌👌👌👌👏|Powerful picture.,488
37,,,"#ptiphotos 
72 years after Partition Pakistan on Friday opened the doors of the historic Gurdwara Choa Sahib in Punjab province to Sikh devotees including from India in the run-up to the 550th birth anniversary of Guru Nanak Dev in November. 
#pakistan #india #choasahib #sikh #sikhism #gurunanakdev #viral #photooftheday #instadaily #igdaily #world #worldnews #news #instagram #gurudwara",ptiphotos pakistan india choasahib sikh sikhism gurunanakdev viral photooftheday instadaily igdaily world worldnews news instagram gurudwara,|🔥🔥🔥,112
38,,,"Photo by Anand Sharma
#ptiphotos 
Devotees use a rope to cross a flooded street following monsoon rainfall in front of Dargah Sharif in Ajmer.
#weather #rain #ajmer #dargahsharif #india #newsoftheday #picoftheday #photooftheday #igers #asia",ptiphotos weather rain ajmer dargahsharif india newsoftheday picoftheday photooftheday igers asia,|Nice action shots.|How you managed to reach there when it was flooding ?|So very nice picture. action shots,183
39,,,"Photo by @rgskutty 
#ptiphotos 
Devotees perform rituals at Marina Beach on the occasion of Aadi Amavasai festival in Chennai.
#marinabeach #rituals #hindu #festivals #aadifestival #photooftheday #picoftheday #instadaily",ptiphotos marinabeach rituals hindu festivals aadifestival photooftheday picoftheday instadaily,"|Follow all the international news 24h / 24h, be informed of all the information continuously, in images and videos on @leflambeaufr",129
40,,,"#ptiphotos 
Policemen use water cannon at Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) laborers during Mukhyamantri Gherao for completion of their nine points demands in Patna.

#protest #patna #photooftheday #instadaily #igdaily #indiagram #india",ptiphotos protest patna photooftheday instadaily igdaily indiagram india,|गजब तस्वीर!  फ़ोटोग्राफ़र कौन है?,132
41,,,"#ptiphotos 
Egrets sit on a one-horned rhino at flood-affected Kaziranga National Park in Assam.
#flood #kaziranga #assam #wildlife #nature #weather #monsoon #photooftheday #instadaily #picoftheday #animals",ptiphotos flood kaziranga assam wildlife nature weather monsoon photooftheday instadaily picoftheday animals,|Nice click,127
42,,,"Photo by @senthilpti 
#ptiphotos
A Hindu devotee hangs from a pole  with hooks pierced to his back as he performs a ritual to mark ‘Aadi’ festival in Chennai.
#festival #aadi #chennai #photooftheday #picoftheday #igers #hindufestival #asia",ptiphotos festival aadi chennai photooftheday picoftheday igers hindufestival asia,|Gud shot|@udayansankarpal dada where were you please don’t miss such events|Om nama sivaya,186
43,,,"#ptiphotos 
A birds eye view shows Mahalaxmi Express bound for Kohlapur from Mumbai stranded following heavy monsoon rain near Badlapur in Thane district. 
#mahalaxmitrain #monsoon #mumbai #flood #rain #mumbairains #thane #photooftheday #igdaily #igers #mumbaigram #indiagram #india",ptiphotos mahalaxmitrain monsoon mumbai flood rain mumbairains thane photooftheday igdaily igers mumbaigram indiagram india,"|🇮🇳Indian's most popular Astrolger 🙏
Divorce  problem solution Advice-one 
Call Quick solution we provideing 
vashikaran Service in whole world
//////****//////////*****/////////
अपना खाया हुआ प्यार वापस पाए मात्र 21  घटो में कॉल लगाओ और समाधान पाएं +91-8505011257
🤳🇺🇸________""""_""____""""""""__""""""____________
1 All problem solution with in 24 huors
2 One call change your life🤳
3 Love marriage problem solution💑
4 Love problem solution
5 Husband 🤵 and wife 👰 after marriage problem+91-8505011257
6 Divorce problem solution
7 Inter Cates love marriage problem ❤️",315
44,,,"Photo by @senthilpti 
#ptiphotos

Officials of widlife and fisheries attempt to remove a whale shark washed ashore near Royapuram fishing harbor in Chennai. 
#whale #whaleshark #wildlife #photooftheday #instadaily #igers #igdaily #chennai #indiagram #india",ptiphotos whale whaleshark wildlife photooftheday instadaily igers igdaily chennai indiagram india,|Niceeeeee!,143
45,,,"#ptiphotos 
To commemorate 20 years of its victory over arch-rival Pakistan in the Kargil War PTI releases a set of images from the war saluting the supreme sacrifices and valour of the fallen heroes in recapturing several mountain heights seized by Pakistani intruders in Kashmir. July 26 is immortalised as 'Kargil Vijay Diwas' and represents a saga of glorious victory of the nation in the Kargil conflict fought from May-July in 1999. Indian Army soldiers fought legendary battles in Dras Kaksar Batalik and Turtok Sectors.

#kargil #kargilwar #vijaydiwas #kargilwar #archive #archivephotos #photooftheday #instadaily #igdaily #igers #indiagram #india #pakistan #war  #instagram",ptiphotos kargil kargilwar vijaydiwas kargilwar archive archivephotos photooftheday instadaily igdaily igers indiagram india pakistan war instagram,"|Jai hind|Jai Hind....I salute our bravehearts,our real Heroes,our Armymen....",188
46,,,"#ptiphotos

Villagers carry coals near a coal field fire area at Bokapahari in Jharia in Dhanbad. 
#coal #dhanbad #coalmining #photooftheday #igers #ig_daily #instadaily #jharia #indiagram #india",ptiphotos coal dhanbad coalmining photooftheday igers ig_daily instadaily jharia indiagram india,|Osm.,176
47,,,"#ptiphotos 
Bollywood actor @aditiraohydari walks the ramp to showcase a creation by designers Pankaj and Nidhi during the FDCI India Couture Week in New Delhi.
.
#fashion #indiancoutureweek #delhi #models #india #instagram #photooftheday #picoftheday #igers",ptiphotos fashion indiancoutureweek delhi models india instagram photooftheday picoftheday igers,|Wowwwwww 🔥🔥🔥🔥🔥🔥🔥,95
48,,,"#ptiphotos 
A man walks along a crack developed in a flooded area following incessant monsoon rainfall at a village in Sitamadhi. 
#weather #rain #monsoon #photooftheday #newsoftheday #picoftheday #igers",ptiphotos weather rain monsoon photooftheday newsoftheday picoftheday igers,|Selam.guzel paylasim takip edib son videomu kaydedermsn,149
