,ID,shortcode,text,hashtags,comments,likes
1,,,"Are we enabling the 253 million Indian adolescents to take part in the country’s development? We must act to ensure a healthy safe educated and empowered world for them. 
The 10to19 Dasra Adolescents Collaborative has set out to empower adolescents so that they can fulfil their potential. 
Join the #AbMeriBaari  initiative. Partnered with @dasraindia",abmeribaari,|😑😑😑😑,97
2,,,"You’ve met the Mahatma. Now meet Mr Gandhi. .
.
.
.
#gandhi #gandhiat150 #gandhijayanti #mahatmagandhi #mahatma #mahatmagandhiquotes",gandhi gandhiat150 gandhijayanti mahatmagandhi mahatma mahatmagandhiquotes,|😭,312
3,,,"Meet the women farmers in Maharashtra who are fighting for their right to own land.
.
.
.
{Every week #EcoIndia brings you stories of innovations from across India and Europe and the people who make them possible. You can watch the full episodes on scroll.in/ecoindia}
.
.
.
.
#farming #indian #india #indianfarmer #indianfarming #maharashtra #sustainable #environment",ecoindia farming indian india indianfarmer indianfarming maharashtra sustainable environment,"|Our women are such an inspiration! Leading a silent revolution to bringing transformations in their lives and communities. Thanks @scroll_in for visiting us (Swayam Shikshan Prayog) and sharing success stories of our women change makers!! 👍|@the.secular.beard|All Farmers are in lost their life|Plz, new mic! Literally begging!",585
4,,,"Now follow and debate the day’s most significant stories on #ScrollExchange.

Click on link in bio to check it out. 
#Brexit #Isro #Chandrayaan2 #Kashmir #Article370 #EconomicSlowdown #IndianEconomy #NRC",scrollexchange brexit isro chandrayaan2 kashmir article370 economicslowdown indianeconomy nrc,|Scroll exchange requires way too much traffic than you guys have. And people anyways debate on twitter and facebook. Might wanna reconsider.|If any mp who is in the government and vote against it  anti defection law would automatically come in place I assume. So to cut short NO|Not ever! Not a word of dissent from anyone out of fear|India is the great  proud to be indian. *( just on paper and fake pride )|The Chandrayaan 2 thing was so embarrassing! Smh|Yes this could happen only if Congress is in power..|India is democratic in just name. Actually it is totally becoming like Chinese govt where if you speak against the govt you are anti nationalist. Have to save democracy|Its jst like a dream dat overs after sleep,901
5,,,Prime Minister @narendramodi consoles @isro.in’s Director K Sivan after his address to the scientists from the space agency’s control room in Bengaluru. This came hours after the Vikram lander of #Chandrayaan2 lost communications with #ISRO around 2 km above the moon’s surface. Video courtesy: @ddnews_official,chandrayaan2 isro,"|Okay this has gotta be the most awkward thing I have watched all year.|Someone please tell them how proud they've made us 🥺|I will appreciate ISRO for trying. As Rag n Bone man said ""I'm only human after all don't put the blame on me.""|@danish_katoch|I proud|Failure is nothing... at  least we tried... that is the road to success.  Proud of you isro...|@nanduribhai|How many different levels of 🙄|Koi nahi sir we can do it again bhut himmat hai app may aur isro may|Super proud of ISRO. But something is bugging me. The incident happened at night right and I also saw PM leave in the live stream. And this video is in the day time. 🤔 So confusing|I was watching this post and then my neighbor came and we watched it together. He said this post really changed his life and it touched my heart. My village people are so grateful. Am proud to say cool post wow thanks for sharing|At least we tried I don't see this a failure. Remember how many times a company such as Space x failed|We are proud of where ISRO has taken India on the International Space map ! The world is in awe of this feat ! PS - @scroll.in We need to be more responsible in projecting our top scientists in a personal moment - let’s focus on images that showcase the strength & tenacity of the project.|Isme bhi publicity kar lii modiji ne khud ki ....we are proud of our scientist's|It's sad...but efforts made by ISRO scientists are really appreciable....we will make it one day!!!👍|Congratulations to Dr Sivan and his team for a job extremely well done. Don’t be disheartened.|🤔ye kya bakchodi hai...?|Wut|So freaking embarrassing!|सम्पर्क टुट गया तो क्या हुआ?
वेद मन्त्रो से सही कर दो
पन्डित शनि कि दशा बदल देते हैं
ये तो चन्द्रमा जरा सी चीज है।|Well try ISRO.. We'r proud of you..|#kashmirisHappy #chandryaanfail #kashmirbleeds|loving you more now @narendramodi @isro.in|Don't worry Sivan sir we Indian love you and support your hard work.... 🙏🙏🙏🙏🙏|😂😂|Attention seeker...|How come daylight immediately after 2am? Why cant you clearly say next day morning he was consoles outside the building|Modi ek drama company chalayiye",1950
6,,,"We bring you another season of inspiring stories about making this world stronger and better. .
.
.
#ecoindia #sustainability #ecofriendly
#environment",ecoindia sustainability ecofriendly environment,|@jazzmineraine @harahouse_|👌🏾|We want morning fix🔥🔥🔥,175
7,,,"“I am Indian citizen by birth have lived here for 58 years. I have another 10-12 years to live if they want to send me to Bangladesh so be it.” . .

#HumansOfAssam is a collection of stories of people living in the state who fear losing their Indian citizenship. It is part of the month-long reporting project called #TheFinalCount. More than 19 lakh people have been excluded from Assam’s final NRC list that was published on Saturday. BJP minister Himanta Biswa Sarma said the SC should allow re-verification of names for a ‘correct and fair NRC’; former Assam CM Tarun Gogoi blamed the BJP while the Trinamool Congress claimed Centre was trying to drive Bengalis out of Assam. . .

Rupa Dutta’s father Krishna Pada Dutta Choudhury was made the honorary principal of the Tinsukia Commerce College when it was carved out of the Tinsukia College in 1972 in the eponymous Upper Assam district. It was an acknowledgment of his many years of service as a teacher in the Tinsukia College. . .

However her father’s glowing legacy has not helped 58-year-old Rupa Dutta a homemaker from Guwahati convince the authorities updating Assam’s National Register of Citizens so far that she is not an “illegal migrant” from Bangladesh.
.
.
To be eligible for inclusion in the NRC an applicant has to prove that they or their ancestors were in India before the midnight of March 24 1971.
.
.
Rupa Dutta’s struggle to prove her citizenship is primarily a result of a sudden dislocation that took place in the family in the early 2000s when her mother’s health suddenly deteriorated. After Krishna Pada Dutta Choudhury death in 1994 Rupa Dutta’s mother had been living alone in the family’s Tinsukia home. “But then she fell very ill and could not manage by herself” she said. “So sometime in the early 2000s me and my husband went to Tinsukia packed all her stuff in a matter of days and got her along with us.” In the rush a lot of things were left behind including Krishna Pada Dutta Choudhury’s documents.
.
.
.
Click on the link in the bio to read her story. .
.
.
#Assam #HumansOfAssam #NRCAssam #NRC #NRCList #NRCFinalList",humansofassam thefinalcount assam humansofassam nrcassam nrc nrclist nrcfinallist,|These are surreal times  scary people doing shameful things.|So many stories like this. Beyond belief the pain and harassment people are facing due to this exercise.|Sorry this is happening to you! Don’t give up- they can’t force you|Only religious fundamentalists hooliganism and their political conspiracy.,363
8,,,Did @bbcnews @aljazeeraenglish and @Reuters fabricate reports about a large protest in #Kashmir? Is the case made by liberals for abolishing the state of J&K flawed? Is @bjp4india finally willing to face facts and take action on the economic slowdown? Would #India’s cricket legends make better selectors? Now follow and debate the day's most significant stories on #ScrollExchange. Click on link in bio for more details.,kashmir india scrollexchange,|It's been long since I saw your posts... Welcome back scroll in.. keep posting your videos on YouTube ...🙏🙏|To hell with your biased debates.scroll-unsubscribed.think about nation first n chod do hindu Muslim ka rona.👎|Randi Rona,543
9,,,"Books come alive in their movie adaptions.

Experience the stories that have gone through this re-birth with #TheBookmarkedCollection — Curated by the passionate reader for the cinephile. Weeknights at 9 only on @andprive. #FeelTheOtherSide",thebookmarkedcollection feeltheotherside,|We need a scroll episode explaining the Kashmir situation in detail,101
10,,,"#FeelTheOtherSide of stories transformed from books into great films that left an impression on cinematic minds. 
Presenting #TheBookmarkedCollection — Curated by the passionate reader for the cinephile. Starting July 22 weeknights at 9 pm only on @andprive. (Partnered)",feeltheotherside thebookmarkedcollection,|Classy video 👌|Woaaah so cool.|Godfather 🤩❣️|Voah Great 💯|😍😍😍|Would love to watch some of these movies|Amazing video!😃|Woah! Looks amazing🔥|Why have you stopped making the morning fix? @scroll_in,93
11,,,"#DeathByCitizenship: A loving son a brave mother a distraught father – faces of Assam’s tragedy

__________________________

Birosmoni Das struggles to complete a sentence without breaking down. But this much she remembers clearly: her son Bhaben Das did not sleep a wink on the night of March 2. The next morning as the day broke he went out clutching a thick wad of papers: documents he would furnish at a hearing in neighboring Kalaigaon in Udalguri district ten days later to prove his and Birsomoni Das’s citizenship.
Both mother and son had been left out of Assam’s draft National Register of Citizens a list which aims to sift “illegal immigrants” from bonafide Indian citizens. The draft list was published on July 30 2018 while the final list is slated for release on July 31 2019.
At the hearing conducted by an NRC official they could make one last claim to citizenship.
Bhaben Das 50 returned home around 8 am put the documents back in their original place in a rusty black trunk and said “Ma I am not going to touch these papers again.” Then he stepped out again.
Minutes later he was found hanging to a nearby tree. According to the postmortem report Das died of asphyxia – lack of oxygen – “following suicidal hanging”. Click on the link in our bio to read the full story. 
#TheFinalCount #HumansOfAssam",deathbycitizenship thefinalcount humansofassam,|This government - fuck you fuck you fuck you fuck you! You are a bunch of sons of bitches! Undeserving of any polite language! Asking destitute groups to provide documentation! Where the hell will they go?! Fuck you!|Instead of providing employment and infrastructure this is the priority? Why? Making lists of citizens is 100 percent valid but why force these people into this grey area of statelessness?|This is sad.|Admin saab blame the jihadis in state administration not BJP. illegal immigrants must go|😢😢😡😡|Harman 1995,288
