,ID,shortcode,text,hashtags,comments,likes
1,,,"We're big in Japan. (Well this weekend anyway).
🇯🇵
#Wanderlust108Tokyo on Sunday!
🇯🇵
To mark the occasion we're checking out #wellness trends in Japan on the stories!
🇯🇵
Sure there's matcha but have you gotten a good Hanami session in lately? Hmm? 🤔 .
.
.
.
.
📷: Natsuki Maruta
#wellness #globalwellnesstrends #wellnessaroundtheworld #japan #tokyo #wanderlust108 #wellnessinjapan #tokyoyoga #matcha #hanami #kintsugi",wanderlust108tokyo wellness wellness globalwellnesstrends wellnessaroundtheworld japan tokyo wanderlust108 wellnessinjapan tokyoyoga matcha hanami kintsugi,|See you all there. #tokyo|غيري مفرشك ب ارخص سعر والدفع عند الاستلام 🤚🏻🌹|So cool! Go get em @wanderlustfest ✨|🙌🇯🇵|💛💛💛💛💛💛💛💛💛💛💛💛💛💛,393
2,,,"How @NicoleaCardoza turned a messy path to the cover of Yoga Journal into an opportunity to create systemic change by funding under-represented wellness entrepreneurs via @ReclamationVentures.

Her appearance on the @CTZNWELL Podcast hosted by @KKellyYoga (and recorded on the @YogaFosterSchoolbus at the #Wanderlust108 in #Brooklyn) is a must-hear for the wellness community and we've excerpted it here for you:

WLFe.st/CTZNCardoza ...or swipe up from our stories to get the scoop. 📸: @ericaelan

#wellness #wellnessforall #representation #accessibility #diversity #beyondyoga #socialjustice #ctznwell #ctznpodcast #reclamationventures #entrepreneurs",wanderlust108 brooklyn wellness wellnessforall representation accessibility diversity beyondyoga socialjustice ctznwell ctznpodcast reclamationventures entrepreneurs,"|💗💗💗💗|👏🏾👏🏾👏🏾👏🏾|👍👍👍👍🧡🧡🧡|I never believed it works this way I was very doubtful about FX Trade and Bitcoin mining after been scammed several times. But I'm really glad I met Mr Gaines B Curtis who proof to me that online trading is real with him I was able to earn $5500 with $500 after being scammed several times trade with him today @profits_with_curtis_
Connect him via Whatsapp
+1(917) 275-0797|Yoga is life!|غيري مفرشك ب ارخص سعر والدفع عند الاستلام 🌹👍🏻|🙌🏾✨🙌🏾✨🙌🏾",642
3,,,"We’re gathering in Brisbane Australia this weekend for Wanderlust 108 with our friends @wanderlustausnz! To mark this mindful celebration with Eoin Finn (@blissology) @amplifiedyoga @larazilibowitz @keminekvapil and more we're diving into wellness trends in Australia today on our stories!
🌿
From #adaptogens and Aboriginal healing traditions to protecting the Great Barrier reef you can get up with what's going on down under on our stories.
🌿
Read the full scoop at WLFe.st/wellnessAUS .
🌿
📷: of #Grampians National Park #Australia by @manuelmeurisse

#wellness #globalwellnesstrends #wellnessaroundtheworld #australia #brisbane #wanderlust108 #wellnessdownunder",adaptogens grampians australia wellness globalwellnesstrends wellnessaroundtheworld australia brisbane wanderlust108 wellnessdownunder,|غيري مفرشك ب ارخص سعر والدفع عند الاستلام 🤚🏻🌹|This will be an epic celebration and I am beyond thrilled!|Great photo 🙏|We can’t wait to see you open hearts and get Brisbane all ✨🙌✨|Very excited for this !! ♥️|Breathtaking ♥️|Amazing ❤️|Awww I miss Australia and all my Aussie friends!  Wish I was there!|Any dates for Auckland NZ yet @wanderlustausnz ?|Love it 💖,1121
4,,,"“While there are benefits to the old paradigm of meditation I believe movement and flow are where things are going” says @DrJinju Dasalla. She has taught flow arts at our festivals and she says “These practices optimize the whole brain and body function by activating opposing patterns of movement thus creating new pathways in the brain and body that bring about new ways of being.”
.

Read more about this form of moving meditation in her piece on http://wanderlust.com entitled “Meditation for Bad Meditators”.
.

Check it here: WLFe.st/flowartsmeditation

Photo: @jadeelhardt

#meditation #movingmeditation #movement #movementasmeditation #flowarts #poi #flow #hulahooping #getmoving #wanderlust  #wanderlustfestival #findyourtruenorth",meditation movingmeditation movement movementasmeditation flowarts poi flow hulahooping getmoving wanderlust wanderlustfestival findyourtruenorth,|I love @drjinju 🧡|This is beautiful!!|💪🏽💪🏽|I can not find your site re meditation for bad meditators. Plz help.|💓|What a sweet surprise to wake to this beautiful memory from the summer! One of the best summers of my life thanks to you @wanderlustfest 🙏🏼 Love you guys!!!🌺|So beautiful,686
5,,,"""Adopt the pace of nature: her secret is patience."" ~Ralph Waldo Emerson .

#nature #patience #sundayslowdown #pause #reflect #goinward #meditation #mindfulness #slowdown #sit.
.
📷: @allliiibaba 🌼",nature patience sundayslowdown pause reflect goinward meditation mindfulness slowdown sit,|Thanks for sharing!|🙏✨|Beautiful 😍|Beautiful photo I took one very similar to this recently ❤️|True thanks for reminder|Yes nature is our biggest teacher 😊🙌|💛🕊💛🕊💛🕊💛🕊💛🕊💛🕊💛💛|💛,807
6,,,"“When women and girls rise the communities and their countries rise with them.” @MichelleObama 💫

To all of the girls and women in your lives we wish you a wonderful wanderful #DayOfTheGirl 💫

How we show up for girls how we demonstrate that we hear them and value them will shape our collective future. It’s as imperative to our future wellness as any issue out there. (See: @projectdrawdown solution #6 to the climate crisis. #EducatingGirls) 🙌

Who are the women in your life who showed you they valued you as a little girl? ❤️ #InternationalDayoftheGirl #girlpower #letgirlslead",dayofthegirl 6 educatinggirls internationaldayofthegirl girlpower letgirlslead,|📿|📷: @allliiibaba 😘|Kids and family yoga - yeassss!!❤️🙌🙌,402
7,,,"💫 Last chance to stream our new Binaural Medicine series from @DJTazRashid for free on Wanderlust TV💫

Didn't get enough sound healing? Use code BINAURAL (until midnight ET tonight 10/11) to get the next three months of WLTV at 50% off. Featuring transformative practice from the likes of @MaryBethLaRue @Tracee_Stanley @LightWatkins and many more.

Get your dose of #BinauralMedicine here: WLFe.st/binaural 🎧
🎧
🎧
🎧
🎧

#binauralbeats #binauralsound #binauralaudio #soundhealing #soundhealingmeditation #wanderlust #wanderlusttv #meditation #soundmeditation #practiceandalliscoming #findyourtruenorth #findyourtruebeat",binauralmedicine binauralbeats binauralsound binauralaudio soundhealing soundhealingmeditation wanderlust wanderlusttv meditation soundmeditation practiceandalliscoming findyourtruenorth findyourtruebeat,|🙏🏼♥️⚡️|I absolutely loved creating these tracks. Please let me know how they work for your meditation sessions. Remember to slip on a pair of headphones. ❤️🎧❤️|♥️🎧|Awesome @djtazrashid ✨|Awesome @djtazrashid ✨|@gwsherlock|❤️|@fitbridget this is like the class I took at wanderlust|💗🙏|🙏💜✨|🙌🏼🙌🏼🙌🏼,382
8,,,"Crazy but true: anxiety is your new secret weapon. 💫
.
“Anxiety is the brilliant messenger that tells us if we are living out of alignment” suggests @julianbrass in our newly-released #mentalheath piece on wanderlust.com.

Discover more about owning your anxiety here: 
WLFe.st/anxiety .
.
.
.
.

#mentalhealthawareness #mentalhealthmatters #mentalhealthday #mentalhealthsupport #anxiety #ownyouranxiety #wellness #slowdown #pause #breathe #breatheandalliscoming",mentalheath mentalhealthawareness mentalhealthmatters mentalhealthday mentalhealthsupport anxiety ownyouranxiety wellness slowdown pause breathe breatheandalliscoming,"|🙌🏻|@badtasticb @ahutchphoto|💙🙏💙|💙🖤|@kayelena_ 🌈|™️✨📣🦄|Nicely said. 👏👏👏|Love 💕|Color me extremely blessed then 😜|@kaitlinlunde|We love this❤️ We’re building a much needed Non Profit latino yoga community please check us out ...Follow us and help us spread the word🙏🏼 This is only the beginning we have so much in store😊 # . 
We’re looking to collab/work with Latino/a/x Owned Businesses/Organizations  before we have our Big Launch in NYC🙏🏽",856
9,,,"💫TELL US: WHO INSPIRES YOU?💫
.
The Wanderlust core crew has gathered on retreat in the breathtaking mountains back where it all began over ten years ago.
.
We're here to ground down reimagine and re-emerge with fresh ideas on creating a Wanderlust that inspires you in 2020.
.
Who are the luminaries teachers speakers and change-makers you'd like to see at Wanderlust next year?
.
What teachings modalities activities or wellness trends are you interested in engaging with?
.
📷: of @janetstoneyoga by @allliiibaba ✨
.
.
.
.
.

#wanderlust #findyourtruenorth #transformation #imagine #create #evolve #inspire",wanderlust findyourtruenorth transformation imagine create evolve inspire,|💯 this woman right here! @janetstoneyoga I’ll follow you into the mists of Avalon! 💓🙏🏼💓🙏🏼💓|This amazing woman @ninahaleyyoga|@ddchand 🙏🏻🙏🏻🙏🏻|There’s tons of teachers that have help me form my personal and teaching practice. Some of them I got to meet during one of your events and I would love to continue seeing them there. Among them are: Ana Forest Rodney Yee  Sean Corn David Swenson Mat Giordano... and my first mentor Yogi Vishvketu @vishva.ji|@schuylergrantyoga always!!|I'd love to see @merylarnett @octaviaraheem deliver programs on the Art of Chill & Meditation or whatever else they bring as their amazing souls and are impactful b/c of their level of authenticity.  @wildsoulyogaclt for an amazing journey of flow or ayurveda insights. @tracee_stanley yoga nidra and everything magical as she literally helped challenge me at Squaw Valley to surrender she's golden. @lamarodowens Dharma talk about social activism and spiritual wellness we need more of him and his lessons to inspire inclusion and be about more than ourselves on the mat. #inspire #truenorth #representationmatters|Scott Schwenk. I first took his class in Oahu and now travel to see him at retreats or wherever I can get to him. He is a light in this world. I also really connected with Anne Marie Kramer from Zuda Yoga. 🙌|@Che_yoga Buti 🔥|Soooo Many STRONG- FIERCE- INSPIRING- MOTIVATING WOMEN that have given me the Wonderful Opportunity To Meet them 💎💎 @j_maria @facesbyjanna ❤️@harrisonwwhite @giltyaschgd 💕@jessicawoosells 🥂 @katgword 🍑 @jinxeb 🍀|@ombodyoga !!!|Rodney Yee Gerry Lopez and Ana Forest for Yoga Teachers @yogaslackers for slackline fun. Tubby Love and Amber Lily Paul Izak All of the Artis family for music. @the_connectress makes magic connections.|Always @knowledgeofthedetails  really enjoyed the speakeasy at Snowshoe with @marybethlarue and @jackicarr. @chelseykorus is always challenging and inspiring and @jfkyoga always grounds it all and puts it into perspective|“Un” wellness!!! Stepping away from gimmicks and potions and powders (good as they can/may be) and bringing it back to basics.|I’d LOVE the opportunity to take class with @jo_tastula.|Bryan Kest is always inspiring !!!|I LOVE @bonniemyahwallace of @joyasanah and her Renew Body Sequence program for healing work - she is an amazing yoga teacher and music therapist with some wonderful unique offerings! 🙌❤️❤️❤️✨✨✨|Wouldn’t be wanderlust without the powerful energy from @amplifiedyoga and @jesseblakemusic 🌈 !!! Also would love to see @janetstoneyoga @seanecorn and @elenabrower again ✨|@amplifiedyoga 100% some of the most impactful and healing experiences I’ve had at Wanderlust.  @aboveandbeyond @paavoab with @elenabrower in Squaw was amazing and would love to see that partnership continue.  Also super impactful to me have been: @jesseblakemusic @joebarnettyinyogi @dannipomplun @marybethlarue @caleyalyssa & @garthstevenson ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️|The founder of @joyasanah & @renewbodysequence ; @bonniemyahwallace is solely a teacher who inspires me by networking opportunities that have connected people and situations for betterment.|@Renewbodysequence @joyasanah 💗🌸☀️|@shermansally|@joyasanah and the Renew Body Sequence inspires me!!!!! 🙌💖|@karina_mackenzie @seanhoess are my top two 🙌|Maybe some reiki booths/energy healers!|@seanecorn again because I really want to meet her in person and take a class with her or attend a Speakeasy with her as the speaker. & As for activities reiki Qi gong Oracle card readings and kirtan! Oh and on the kirtan part Krishna Das if he can.|@janetstoneyoga @elenabrower @mcyogi @spirituallyfly and so many others on a daily basis. 🦋🦋❤️|@mcyogi & @samadhivibration_ 🙌🙌|Love the views and white outfit 😍,704
10,,,"• It’s time to wander...
•
mañana • domani • amanhã
•
𝗯𝗮𝗿𝗰𝗲𝗹𝗼𝗻𝗮 • 𝗺𝗶𝗹𝗮𝗻 • 𝗹𝗶𝘀𝗯𝗼𝗻
•
#Wanderlust108
•
run • yoga • meditate
•
¿quién esta viniendo? • chi viene? •  quem vem?
•
•
•
•
•
📷: @wanderlust_portugal in Lisbon 2018
•
#wanderlust #findyourtruenorth #wanderlustbarcelona #wanderlustmilan #wanderlustlisbon #yoga #meditation #running #yogagram #practiceandalliscoming #travel #barcelona #milan #lisbon #wanderlust108lisbon #wanderlust108barcelona #wanderlust108milan #wanderlust2019 #livelovetravel",wanderlust108 wanderlust findyourtruenorth wanderlustbarcelona wanderlustmilan wanderlustlisbon yoga meditation running yogagram practiceandalliscoming travel barcelona milan lisbon wanderlust108lisbon wanderlust108barcelona wanderlust108milan wanderlust2019 livelovetravel,|@wanderlust_portugal ✨ Estamos tão animados por você! ✨|@wanderlust__spain 🙌 va a ser un día magnífico! Estamos pensando en todos ustedes!🙏|@wanderlust__italy 🙏 Buona giornata domani ❤️|❤️|💜💜|Beautiful all south Europe united 🙌🏼💙🙏🏼|HI ANGELS! I just sent you guys a request (aka one of your hundreds!!) but wanted to reach out through IG as well!!! Im just going to keep stalking you all until I make my Dream come true and am singing on your stages this year of Vision 🤩🤩🤩 2020!!!🙏🏽🙏🏽🙏🏽🙏🏽🌈🌀🌀🌀🌙🌻🌻🌻🙌🏽🙌🏽🙌🏽✈️|😍,737
