,ID,shortcode,text,hashtags,comments,likes
3.1,,,#Riverdale actor @vanessamorgan is back on set as her character Toni Topaz but things are a little different this time around 🤰🏽At the link in bio Vanessa opens up about the experience of working while pregnant.,riverdale,|@vanessamorgan IS A QUEEN 💜|SPOILER WTFFFF 😭😭😭😭|QUEEN SH*T 😍✨💕|queen 😍|Hello beautiful girl❤️,5074
3.2,,,"#TVGenerationNext's presentation week is here! 💞 Meet Elliss Solomon (@ellissellisselliss) the designer merging the past and future. At the link in bio she talks to @himichelleli about sustainability adapting during COVID-19 and the old nudist magazines she hopes to keep forever.

📸: @josefinasantos
👗: @himichelleli
👯: @annahstasia + @scientwehst",tvgenerationnext,|Thought this was will Smith daughter for a second but like could i get a “orange” chain going on my recent post or even a follow please?|🔥🔥|Yesss!!! Thank you!! @emilyzirimis @himichelleli @ellissellisselliss 💙|👾👾👾|😍😍😍|beautiful and perfect angels!!!!|❤️❤️🙌🏽🙌🏽🙌🏽🙌🏽|Cutteee..!!! 💕💕😜|Cutteee..!!! 💕💕😜|Cutteee..!!! 💕💕😜|Loving this|Awesome🙌🙌,2674
3.3,,,"""One of the biggest misconceptions about Columbus is that he was righteous."" At the link in bio find out why more people are celebrating #IndigenousPeoplesDay instead of Columbus Day.",indigenouspeoplesday,|I'm native American|Yasss 🔦 🔦🔦|🙌🏽|@10diegol10|Thank youuu!! 🙌🙏🙌|👏👏👏|Happy Columbus Day 🇺🇸|We don't get to choose who discovered our continent.,3946
3.4,,,"Welcome to #TVGenerationNext's presentation week our yearly showcase of up and coming fashion designers! 💫 From 10/12 to 10/15 each of our selected designers will be presenting short films accompanied by images of their favorite NYC muses in hand-selected pieces from their collections. First up is Elliss Solomon (@ellissellisselliss): a sustainable designer with a passion for collaging and film whose brand toes the delicate line between casual and cool 💖

Film director: @stroma_cairns
Production: @ellissellisselliss
DOP: @ryan_eddleston_dop
Styling: @patriciavillirillo
Music: @shilparayofficial
Hair: @pyuuuuuu 
Makeup: @elainelynskey 
Casting: @lisadymph
Model: @nicolepires
Fashion Assistants: @ne_li_ma and @marthaketcher
Camera Assistant: @clostoegoessolo",tvgenerationnext,|❤️💝|Cutteee..!!! 💕💕😜|❤️♥️💘💘💘💕😍😍💕💘💘|😍😍|💖💖💖,1563
3.5,,,I mean who hasn't wanted to be Hannah Montana? @milliebobbybrown shares her #Firsts with Teen Vogue at the link in bio 💫,firsts,|Nope! I just want to be myself lol 😝|💕💕💕💕|Cool|❤️|Love you MBB!!!|♥️ I love her so much|With all respect.. Is it just me who thinks she looks way much older than her age???|Wkwkw @baktisetp|shes soooo cute and such a good actress|Calling all gen zers! we want to hear from you! Submit to our first Issue using the link in our bio tell us your opinions on social justice and politics!|👍|oh my gosh her accent has changed a lot since coming to the u.s.!|😍😍😍😍|Such a gem!|I will never ever forget the time where she was super rude and acting like she’s The queen at the zip lines and asked what we’re looking at and insisting to have the place to themselves 😂 I will forever not like her after I heard this.|She looks like shes dressed up like sara palin for Halloween.|💓💓💓💓💓|@nevi_gio_ 😄|😍|@mxrcososa|Wait she was 2 years old when Hannah Montana was released 👁👄👁,15697
3.6,,,#NationalComingOutDay is a celebration of being open and free about your identity—but it's a lot more complicated if you're not out yet. Thanks to the @trevorproject there's now an *actual* handbook full of guidelines and advice on how to come out as LGBTQ 🏳️‍🌈 Read more at the link in bio. 📸: @laurenwithrow,nationalcomingoutday,"|What a disgrace😂 unfollowed|@ij_kella1 🌈|😍😍😍😍|Embrace who you are and always be yourself ❤️🏳️‍🌈✌️|Awesome!|You encourage people to be against nature .. You cannot live against what your body offers you .. If you are in a male body then you are male and your body will not desire a non-female .. And vice versa .. You will live while fighting your mind emotion and body and this is not healthy at all ..|🌈😂|Get Harry Styles to tell your parents for u:)❤️✨|SO GOOD TO SEE 🥰|❤️🧡💛💚💙🏳️‍🌈|okay i get it let me think i guess is my turnn ;)|They’re only 2 genders brw|❤️|Idk what happened to u people|But what if I'm not sure in which part of the community I fit in?|But, what if I'm not sure in which part of the community I fit in?",6181
3.7,,,"After years of struggling to find her voice Kristen Stewart says she is finally relishing her queer identity 🌈 At the link in bio Kristen opens up about discovering her true self and the ""enormous pressure"" to be an #LGBTQ role model.",lgbtq,|I’m deadass one follower away from 4k  and its my goal🤒🤕|AS SHE SHOULD 😌|I guess we already could tell she was apart of the LGBTQ+? Nonetheless congratulations on coming out Kristen! 👏🏻|Follow for follow|Well LGBTQ isn’t normal or natural so if course it’s a struggle when you are faking|While living paycheck to paycheck make $8500 a week you don’t send money to anyone ask me how?|😍😍😍😍|HELLS YEAH🤪🙌🏽|Why the labels|💖|She is simply beautiful I like her queer self ✨|Hella scammers and trolls in these comments. Anyway queer women are the best 🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈|@gloubitchou 👀👀|I am in LOVE!|💕|@elizannehope this fit I'm dying|talk to a shrink|🤢🤮|Wow💖|She’s gorgeous 😍|🌟🌟🌟🌟💚💚💚💚|🌼🦋❤️|Chaeyoung|I love her so much!!!😍😭💕|Nice pic👌|💋💔👌💘🌜⭐☀️💋💔|❤️|💯|Love her 💗|@nhoomo <3|god i love her so much|Love K Stew!!!!!!!|😻😻😻😻|😍😍😍|She is the best 💖💖💖!|❤️hiii|we been knew ❤️|LINDA! ❤️|#Blonde🔥#Teen|🔥🔥,29562
3.8,,,Tonight's the night!! Join Senator @BernieSanders and Teen Vogue on @YouTube for a special live-streamed virtual town hall at 8pm ET. Tap the link in bio to watch! #BernieXTeenVogue 🎥: @arjununcle #teenvote2020,berniexteenvogue teenvote2020,|ugh i’m gonna be at work 😭😭😭 someone tell him i love him for me please|my king|We need to encourage voting! #voteready #votechange #votebleu. Check out all of our vote stories!|Check out the book Petrichor by Ash Gabrieli. Deep fast and powerful read 💕🌸💕🌸💕|🙏❤️🙏|This was so inspiring! Thank you!|♥️|Please Nigerians are also protesting #endsars #endsars|ELLA UR THE FRONT COVER!!!|If Bernie cared he wouldn’t have dropped out|@real.dior & @mel.francois LET’S GO🔥|@teenvogue Powerful 💥...& Thank You 😊|Together we can save the world.. United we stand. Remember to ♻️ it important #blacklivesmatter #climatechange #fashioncrisis|🇦🇿🇦🇿🇦🇿,4362
3.9,,,"""your task force failed if the PRESIDENT of the US contracted COVID lmaooo"" I meeeeannn 👀 at the link in bio our brilliant #teenvote2020 committee sounds off on tonight's #vpdebate between Kamala Harris and Mike Pence.",teenvote2020 vpdebate,|wonderful🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊💪🏆|WHO ALL SAW THE FLY ON HIS HEAD|#voteforthefly2020|She’s such a queen 👏❤️|Wtf are these posts?|Kamala ate it up !!!! And left no crumbs|🦟🦟🦟|how do i get a job at Teen Vogue??? literally any position. i wanna work for y’all|Wowowow|Pleeeeeaase vote|Damn I’m early 🤦🏾‍♀️|💟😍|Let's not forget the fly landed on his head when Pence was arguing that implicit bias and systemic racism do not exist. Lol|She destroyed him in this debate 💀💀💀|Life has been good for me this lockdown and I met this faithful special woman I can’t describe how trust worthy she is @earn_with_ayonacryptotrade|Haha when covid is all apart of trumps campaign “If I contracted covid and beat it then so can you. America will push through together”|Vote Republican|Biden and Harris 2020! 👏🏻✊🏻|When you kill 210000 people and still be able to say you’re pro-life.|I would think as a magazine you would stay neutral on political opinions.|Hi 💁🏻‍♀️ I’m from VA with a liberal governor....and he contracted COVID. Is this really your message?|I do not support trumo but it is very sad to see how biased US media is|VOTEEEEEE|🦟🦟🦟🦟🦟🦟🦟🦟🦟🦟🦟🦟😭|That fly is an ICON 😻|YEAH THANK TO CHINA SENDING THE VIRUS OVER HERE!!!|GAGGED|He didn’t tho.|The only true prevention is taking care of the immune system. And if you believe the president got COVID you don’t understand politics!|It’s a bad head cold. Fix it. I sneeze out my mouth right now I hope I can get rid of itttttttttt|Pathetic|That caption 💯|What a stupid post by your magazine! Way to lose subscribers. There are some well read and researched teens.  Don’t underestimate them.|He looks like a healthier version of Tywin Lannister. Therefore you still can't trust him.|👏👏👏👏|Teen Vogue back with the FACTUAL QUOTED shaaaaaaddddeeeeeeeeee 🌴🌴🌴🌴🌴 (in my Tamar voice) 😂😂😂😂😂|If you think she beat VP Pence then you're delusional. The reason why is because the news was full of the fly in his hair and his red eye. They are just trying to get the spotlight off of her poor performance. Her attitude during the whole debate was childish. Not something people (especially women) should look up to. I know I don't.|💖💚💖💚💖💚💖|Pence killed it 🔥🔥🔥🔥|So many awesome conversations happening!|And now they are using Trump's plasma to develop cures which is futile since 3 organizations in America are already on stage 3 testings. Pence won that debate and if you say otherwise you are more focused on their person than the validity of the statements they are saying.|Trump and Pence. Pence just killed this debate 💕|i think with your type of platform you should not be so one sided.. especially in politics. not trying to be rude just think more people would feel accepted towards your type of content knowing you except everyone and their beliefs. Xo|Like its Logo Teen Vogue is tilting Leftist!|Biased.,20408
3.10,,,"@kamalaharris said ""😒😄 I'm sPeaKiNg 😄"" P.S. are you watching the #vpdebate tonight too? 👀",vpdebate,"|Trump Pence 2020🇺🇸🇺🇸🇺🇸🇺🇸|So disgusting the way she acted|If she was speaking why didn’t she continue 🤡🤡|We got lock em up kamala and electric fence pence what a great election.|She 🧢|#bidenharris2020|Trump 202020200202|Me when I watch CNN and there are no facts.|And she is rude as hell and said so many things bad about Joe Biden but yet she is VP people like her will do anything for fam|Lol|This woman’s so full of herself when meanwhile she’s a bigger clown than Biden is🤡🤡|She’s not in court anymore time to act like a VP and not a lawyer cause you really didn’t do that great of a job of it in SF. Unless you consider throwing thousands of African Americans in jail for weed possession or blocking evidence for a death row victim a great job.|This is so biased and as a female myself I can say it|Love a man that doesn’t respect women enough to let them finish their sentences 🤤🙄😒|Kamala steady spawning lies😂|Pence did a great job. Filipino's for Trump 2020!!✊|Filipino's for Trump/Pence 2020!! Let's goooooooo. Our National GDP is about to hit rock bottom if Biden wins|They both interrupted each other. It’s a debate! That’s what happens.  And she was lying so he was making it obvious to viewers that Harris was lying about taxes.|Acts just like his Boyfriend|Shut it 🤐👨🏻‍🦳|She s too busy eating him to actually properly answer the questions😂😂y’all have the wrong priorities|“I’m speaking” 👌🏿|Mike DEMOLISHED Kamala.|queen|she has such a cute but powerful smile i’m starstruck not gonna lie|Ewww🤮🤮🤮🤮🤮 Kamala is so annoyingly disgusting...I hate hearing her talk🤮🤮🤮 omggggggggggg you idiots what have you allowed ??????|https://www.nytimes.com/video/us/100000007172148/rosenstein-mueller-trump-russia.html?playlistId=video/Trump-Russian-Connection

Right. Bc SHE wouldn’t consider interrupting or over-talking. She has *such* good manners. 🙄|QUEEN|speaking lies|Kamala harris playing the victim as always.|This was funny|She needs to join Oprah and go eat bread|@annacohenuram|GO KAMALA GOOOO|More fly content|She’s such a sociopath. She makes me cringe 😬|😂|the way she just laughs at how stupid pence is is everything❤️|We love her ❤️|Her smile makes me smile|@itsjaredpatrick sound like you|Typical man interrupting a woman. She handled herself with grace|👏👏👏👏Kamala💗|She said it so well|Remember when trump blocked dna evidence to exonerate a man from death row...... oh wait that was Kamala Harris|Remember when 1500 people in California were locked up (mostly minorities) for weed violations by trump and then later laughed about smoking it...... Oh wait that was Kamala Harris....|🗣🗣🗣|We hosted a live debate watch party last night with our community members! Love to see so many different perspectives here in the comments! 💙💛|hello  hello ! she did that !!!!|Like this if your voting for Biden Harris but don’t like either but find Biden Harris to be a better Candidate then Trump Pence|Oh it was soooo cringy. I told my family that the only people that will appeal to are snowflake millennial feminists. And I was right as evidenced on this post.|Queen|@moiraedelman|Does no one see he gave 0 craps he ran herrrr|Tell him to shut the f up|Men|yessss!!🤩|Her acting makes me CRINGE|she really thinks she something💀💀|Fly on his head lol|yikes so many pick me girls with internalized misogyny in these comments. Praying for you all ❤️|👊🏼|She lied so much it made me sick|@tessahope.7|Yeah|🙌🏾|BIDEN 2020|HARRIS 2020|Literally I cannot. Trump and pence are so immature|YASS TELL HIM WHOS SPEAKING💯💯💯|She's so classy😍❤️|Wow she said something good for her she got caught lieng btw|😂😂|Funny!!! 😂 lol|OKAYYY PERIODTTTT|SHE IST IT AND THAT’S FACTSSSS|Ooooooo I got chills 🤯🙂|@nbcsnl|""that's a great segway""|Lol it takes a great level of intelligence and manners to not interrupt a person when they’re talking|Yes the truth would be nice Mrs. Harris.  Expect to be interrupted when you refuse to tell the truth.|1'1ààw2w🙌'|@ethanmayofficial|She’s a joke|Does he think he’s watching from home and just adding his commentary? Too bad that wasn’t the reality....|The way Senator @kamalaharris looks at Pence. 🔥🔥🔥🔥|Trump Pence 2020 🙏🏻|👑 IM SPEAKING PERIOD HAVE RESPWECT LOVE HER DID WELL DEBATE TRUTH|😄 HE MISGONIST YT HELD OWN CMON NEXT VICE|How is this a win?|Periodt✊🏿|She👑 said  shut the f up 😂|@elisa.accardo|So many women go through this at least once in their lives. Let us SPEAK.|Kamala was amazing!!!! 💙💙💙|So many racists comments here.|Wasnt it for the most part a respectful debate? I didn’t watch it but was getting the vibe from people that they acted professional|Gooosebumpsddd|This is that “per my last email” energy....and I’m here for it|Who cares. The important thing is policy. And unfortunately Trump is the clear choice if the US wants to keep it's dominant world stance. Social justices are far less important than maintaining the US's future|@sainthoax raw material|🙌🏽|@zacdonovan|Trump the bravest president in American history🇺🇸🇺🇸🇺🇸🇺🇸|@yaminazone|👏🏻|LOVED THIS🙌🙌|@the_initials_pb|He’s a clownnnn they’re all clowns in that administration smh 🤣|Daaaammmnnnnn 😂😂😂😂|Don’t you just wanna 🥊 the guy|Asc|😂|BDE|Pence destroyed Harris in this debate 😭 Kamala couldn’t even answer half the questions proposed especially on packing the courts|Didn’t he have a fly on his head?|She's ridiculous 🙄 tonight's debate was very hypocritical.|Except she completely dodged the question when asked “will you pack the court”|Is it good or bad?? I dont understand 🤣🤣🤣|SHE SAID WHAT SHE SAID DOE-|TRUMP PENCE 2020🇺🇸💪|YOU 👏 TELL 👏 HIM 👏|Dude Mike Pence did SO GOOD|Pence killed her with facts 🤷🏾‍♂️😂|Two hypocrites going at each other|BECAUSE ITS MY OPINION!!!|PERIOD.|I mean she interrupted him literally 30 seconds before this clip|YUP.|She’s speaking but she’s lying.... if someone was outright speaking lies and MISINFORMATION not aligned with your President Nominee’s platform.... like does she not even know what Biden is about—— bc Pence was just trying to correct her in what Biden’s Administration plans are bc what she’s saying is not aligned with that.... but sure. Keep talking.... 🤦🏻‍♀️🥴|😂😭It’s crazy how this post is about him interrupting her not about him calling out that she wasn’t telling the truth and that biden will reverse tax cuts given by the trump administration.|@littooga|it’s the ✨BIAS✨ for me.|oh and *unfollowed|Like President like Vice President|She’s incredible|She wasn’t prepared at all 😂|Which is immature AF. #PenceWON|SHE SAID SHE’S SPEAKING|That's ittttt 😂😂🔥🔥|I hope ppl watched the full clip not just this part he was saying some facts|Seen it 🔥🔥🔥🔥🔥🔥|She thought that was a mic drop?? He shut her down with what you conveniently cut out|drag him 😂|❤️|Like president like vice president|Hey you want to finish that clip for the VP being factual? Guess not.|QUEEN👑|Trump 2020!!!....VP PENCE WON THE DEBATE TONIGHT HANDS DOWN BY USING THE TRUTH. SENTER HARRIS LEFT BEHIND IN A CLOUD OF SMOKE....SHE SMILES WHEN SHE IS LYING AND KNOWS SHE IS.....|You just posted a video of Mike Pence calling her out on a lie...|The fly on pence's head was the highlight of the debate|I love her!!! Let's gooo KAMALA BIDEN 2020 💙💙💙 #VOTEHIMOUT|😂💀💀😂💀😂💀😂💀😂💀|She crushed him and the fly that was on his head|She got smoked lmao|I dont agree with everything she supports but her GRACE AND CLASS is 💅🏼💅🏼💅🏼💅🏼|She didn’t answer his question though....|Kamala Harris is every woman every day.|🪰|Pence demanding the truth is a trip|Lmaoooo! The fly tho!!😂😂😂|@eardleycp im speaking beech 😂|Queen!!! 🔥🙌👑|Honestly I really wanna know who watched this|Kamala is iN Her ELEMENT|❤️ Let’s talk Truth ❤️|she put her mom voice on|shut it mike|SAID I’M 👏🏾 SPEA 👏🏾 KING 👏🏾 🙃👏🏾🙃👏🏾|Her smile reminds me of my sisters whenever she has to deal with a Karen|🤢|She looks like can you shut😂🤣|And this is why we love mamala 🙌🏻 She’s like we take turns here love show some respect @kamalaharris|Why she look like that|SHE’S BRILLIANT|she popped off|Kamala wasn’t taking it she said I’m talking here so keep your mouth shut 🙌🏼 Periodt👏🏼👏🏼|ok but did anyone else see the fly in his hair|PERIOD QUEEN😁|baddies for biden/harris2020|Did yall catch the fly on Mike Pence 💀 head yo....👀 #NoKap @andersoncooper 👓|Love it when the white supremacist gets schooled by the smart black woman! 🙌|Yes You’re speaking. Say the truth. 😂|Yaaas👏|@lulutro por un mundo en el que no tengamos que decir eso con una sonrisa tan grande|Let her speak 👌 periodttt🔥|and she said what TF SHE SAIDDD|Yaaassss! 👏🏾👏🏾👏🏾👏🏾|A lot of buzz about my appearance #fly2020 🇺🇸|HAHAHA|Uooow 👏🏻👏🏻👏🏻|👏👏👏👏|😭🙌|I WOULD HAVE YEETED TO SPACE|Idiot|And he still didn't let her complete...|I LOVE HER|I love her|All these little pissed white girls complaining cracks me up - they are so ignorant to the fact the current admin wants the Handmaids Tale in America.|TRUMP 2020!!!|you should show what pence said about how he was proud of her for electing smh|@kateskeff this is so funny I can not|ew harris|Oooop @_le.thanh|😂😂😂😂|Yeah I thought it was rude. She was obliterated tonight. TRUMP 2020🇺🇸|YES YES YES|Every woman in a room full of men|Classy and respectful she is a great example|@kamanne FOUND ITTTT|Yes she did. 👏|Is this all we’re getting out of the debate? That she’s speaking? 😭|Why isn't she a Presidential Candidate|They gave more time the entire debate! She was condescending and didn’t stop lying the entire time!|He wasn’t wrong though|kamala ain’t my favourite person but go off|It's like Trump. Like him he kept interrupting not only that the time for him to speak also ended and he continued! Oh man I should have more respect for others.|@foxy_mama20  omggggg I love herrrr|Kamala...talk talk talk. But never answering a question|@klaraherz7  she said !!!|Nasty woman|She held back evidence that would free a man on death row until the courts forced her to. So progressive|I mean she did lie several times and has terrible record... but hey she has a diva attitude. So quirky so cool 😎🤪|Thank god for @teenvogue coming through for the younger generation. And let’s be honest ... the older generation too. 🤣|She meant “I’m lying”|HAGAAAHA|Such a queen.|What a queen|using this|She felt so fake. He came off as inviting to an independent like myself|bro i died when the guy w the white hair had a fly on his head LMFAOOOOOO|Worst part she was lying the whole time in this segment lol|😂 Luv it! Stand up as a woman 👏|PHEW y’all see how flustered he got when she came for his neck like that 👀 “phbluh- we- pff- i-“ pack it up garbage  disposal|Kamala’s amazing! 🔥|Trump/Pence🇺🇸|👑‼️|😂👏👏👏|Queen|She destory him so bad|Preach it girl! 🙏|You guys are delusional!! Kamala was lying with a smile right on her face. It’s a good thing that Pence brought that to the the audience’s attention. The American people want the truth and even though media will cover up all of her lies and brush offs this was a big step toward uncovering the truth|💕💕💕💕|🙌🏾|@amanda_deoliveiraa|he rlly said “the sanctity of life🥺🥺🙈😝😇🤩🥰😴✌️”|she has no chill and i’m here for it|WATCHING RN LMAOO I CANT WITH PENCE RN|😂😂😂😂😂|Never seen a woman so rude|TRUMP-PENCE 2020!|i love her so much she’s grilling mike so much and it’s funny as to watch|💛 Her|Is this a joke? The Dem VP is opposing what The presidential candidate said is their plan and youre not concerned about that conflict?|if this isn’t RELATABLE!!|🙌🙌🙌|Yas Queen|Respect a woman never interrupt a woman who is speaking. Be a gentleman|Being a woman on STEM be like:|She is amazing and strong. Love her! 👏🏻👏🏻👏🏻❤️❤️❤️|@anarachelrichardson when you’re interrupted in a group of men|Women in stem be like|I WAS LIKE 😍😍😍😍|Yes I am|PLSSS THE BEST LADY|She’s gorg bro|♥️|He has no respect for women only respect he has is for his very masculine men..|VP’s answer was epic! Classy! God bless him|Y’all need to post about the fly 💀💀💀|I'm voting for the fly on his head.|YESS|I love her she ain’t takin any of his shi|QUEEN|@teenvogue HOW CAN AMERICANS CITIZENS VOTE FROM ANOTHER COUNTRY?|A. QUEEN.|It was the fly on his head for me. Flies love garbage 😋|AN ICON|Trump 2020!!!!! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸|Who gon tell him there was a fly in his head|😍😍😍 Yess queen|Let’s gooo Mr. Pence!! 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸|That smile at the end. She owned him!!|Lol y’all forgot all the times she interrupted him|My vote is where ever trump is 😊|SUCH A QUEEEEN|😂|HAHAHAHAHA I LOVE THIS @rosatucks|QUEEN|let her talk😂😂|AS SHE SHOULD|#fly2020|Can we talk about the fly??👀😂|And all with a smile. ✨|PENCE IS KILLING IT AND SHES TOO BUSY ACTING TO ANSWER A QUESTION.|the fact that i have to do the same thing in every conversation i have with a right wing male|QUEEN KAMALA|QUEEN KAMALA|✨Power moves ✨|We love a strong woman|It’s the laugh for me 😂👏🏻|Unbothered yes ma’am|she is KILLING IT!!!👏🏽👏🏽❤️❤️|And she’ll do it again bop bop|I SAIDDDDDD|Hopefully its nothing like last years dosasteer|I never watched debates but had to watch this one....Kamala Harris on fire 🔥🔥|👏👏👏|😃|Wrap it up Elf on the shelf 👁👄👁|What a disrespectful man! and it's sad that we know so many of them.|Kamala wasn't hear for the bs ...bad birch energy>>>>|Yes!!! And I wish Pence would shut the hell up when he’s supposed to!|She interrupted him before that. And he said nothing rude to her.|Are y’all hiring? 👀 cuz I bet I’d be a good asset|I wish Senator Harris would just answer a question I get that she can tell somebody to let her talk but say some thing|AND THEN PROCEEDED TO LAUGH AT THE FOOLERY AS SHE SHOULD|Screaming|If a woman smiles like that at you....run. 😆|🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻|She popped off|Pence is Trump 🤡🤡🤡🤡|LOVE HER|PERIODTTTT QUEEEN|HAHHHW I LOVE HERR!!!|Oop!|icon|SHE👏IS👏DRAGGING👏THE👏WHOLE👏TRUMP👏ADMINISTRATION👏|@gakarl IM SPEAKING|Careful teenVogue your political agenda is showing!|SHES EATING HIM UPPPP|Mike is such a Gentleman Go Pence Go!!!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸|HAHAHAHAHAH😍😍😍😍😍|Let's talk about Pence's response to Kamala! 🔥 #facts|This energy for all of next year|Yes! She is awesome|what an I C O N|That man was shook|yashh queen💜💜|He wasn’t ready....ok bye mike|Her smile when she said “I am speaking” she is nothing but positive vibes|Of all the things being said on that debate stage that’s what you’re highlighting? 🤦‍♀️🙄|😂😂😂😂😂|I'VE GOT CHILLS|PERIODTTTTTT 👏🏼👏🏼👏🏼|Biden 2020 🔥🔥🔥🔥🔥🔥🔥|kamala is eating mike up we love to see it|💯|🙌|Every woman in a meeting 🔥|Her smile is so contagious 🤩|Watching|A QUEEN 👑|🔝|My favorite part so far 😍🙌🏾|Kamala ain’t taking none of his shi|Kamala is on fire|the disrespect from mike will not be accepted by kamala😌 she's shutting him down as she should #bidenharris2020|👏🏼 👏🏼 👏🏼|@logan.morris02 ...|ok!!!|she’s an unbothered queen|THIS. THIS. AND ALL THIS.❤️❤️❤️❤️🔥|A reflection of what if’s like to be a woman in the workplace.|He probably never once let a girl finish if you catch my drift|😭😭|Yea damn right he is our Vice President say it again. Go off Pence|Love it 👏🏻|kamala 🥰|I’m speaking !!!!!💕|What an ICON|I don’t think he heard the first time 👁👄👁|Okay... but what is she talking about???? Both have barely answered any questions... 🙄🥱|@ivanrosalesb97|she’s killing it 🙏🏻 go Kamala !!!!|Why have a debate if they’re not gonna answer the questions.  #debate #politics #trump #election #biden #joebiden #maga #democrat #vote #donaldtrump #republican #america #conservative #liberal #kamalaharris|AS SHE SHOULDDDD|Wow|Slay Sen. @kamalaharris 👏👏👏|ICON",63976
