2020-11-18 10:09:09,787 INFO    MainThread:11857 [wandb_setup.py:_flush():68] setting env: {}
2020-11-18 10:09:09,788 INFO    MainThread:11857 [wandb_setup.py:_flush():68] multiprocessing start_methods=fork,spawn,forkserver
2020-11-18 10:09:09,788 INFO    MainThread:11857 [wandb_setup.py:_flush():68] setting login settings: {}
2020-11-18 10:09:09,788 INFO    MainThread:11857 [wandb_setup.py:_flush():68] setting login settings: {'api_key': '5f9e58ca56d4adf11a964d20e06eb4716850d1de'}
2020-11-18 10:09:09,788 INFO    MainThread:11857 [wandb_setup.py:_flush():68] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fa0c00cf250>
2020-11-18 10:09:09,789 INFO    MainThread:11857 [wandb_init.py:_log_setup():302] Logging user logs to /home/medha/College/Sem5/IRE/Major_Project/HashtagGeneration/bert/wandb/run-20201118_100909-2hg5t198/logs/debug.log
2020-11-18 10:09:09,789 INFO    MainThread:11857 [wandb_init.py:_log_setup():303] Logging internal logs to /home/medha/College/Sem5/IRE/Major_Project/HashtagGeneration/bert/wandb/run-20201118_100909-2hg5t198/logs/debug-internal.log
2020-11-18 10:09:12,880 INFO    MainThread:11857 [wandb_run.py:_console_start():1213] atexit reg
2020-11-18 10:09:12,880 INFO    MainThread:11857 [wandb_run.py:_redirect():1083] redirect: SettingsConsole.WRAP
2020-11-18 10:09:12,881 INFO    MainThread:11857 [wandb_run.py:_redirect():1114] Wrapping output streams.
2020-11-18 10:09:12,881 INFO    MainThread:11857 [wandb_run.py:_redirect():1130] Redirects installed.
2020-11-18 10:09:12,881 INFO    MainThread:11857 [wandb_watch.py:watch():33] Watching
