2020-11-18 11:28:04,877 INFO    MainThread:6051 [wandb_setup.py:_flush():68] setting env: {}
2020-11-18 11:28:04,878 INFO    MainThread:6051 [wandb_setup.py:_flush():68] multiprocessing start_methods=fork,spawn,forkserver
2020-11-18 11:28:04,878 INFO    MainThread:6051 [wandb_setup.py:_flush():68] setting login settings: {}
2020-11-18 11:28:04,878 INFO    MainThread:6051 [wandb_setup.py:_flush():68] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f8a45959ee0>
2020-11-18 11:28:04,879 INFO    MainThread:6051 [wandb_init.py:_log_setup():302] Logging user logs to /home/medha/College/Sem5/IRE/Major_Project/HashtagGeneration/bert/wandb/run-20201118_112804-1r7qpioe/logs/debug.log
2020-11-18 11:28:04,879 INFO    MainThread:6051 [wandb_init.py:_log_setup():303] Logging internal logs to /home/medha/College/Sem5/IRE/Major_Project/HashtagGeneration/bert/wandb/run-20201118_112804-1r7qpioe/logs/debug-internal.log
2020-11-18 11:28:06,662 INFO    MainThread:6051 [wandb_run.py:_console_start():1213] atexit reg
2020-11-18 11:28:06,663 INFO    MainThread:6051 [wandb_run.py:_redirect():1083] redirect: SettingsConsole.WRAP
2020-11-18 11:28:06,663 INFO    MainThread:6051 [wandb_run.py:_redirect():1114] Wrapping output streams.
2020-11-18 11:28:06,664 INFO    MainThread:6051 [wandb_run.py:_redirect():1130] Redirects installed.
2020-11-18 11:28:06,664 INFO    MainThread:6051 [wandb_watch.py:watch():33] Watching
